"","Nmass_mg_g.18.comps"
"Wave_696",0.0556285091441605
"Wave_697",-0.00723071930930564
"Wave_698",-0.0422005239369934
"Wave_699",-0.0561472654790059
"Wave_700",-0.112436210927068
"Wave_701",-0.122837623735699
"Wave_702",-0.173325225339617
"Wave_703",-0.180635351993173
"Wave_704",-0.193511676043127
"Wave_705",-0.152659089425281
"Wave_706",-0.184076741988603
"Wave_707",-0.135423125944025
"Wave_708",-0.0974421107234575
"Wave_709",-0.00105863904049771
"Wave_710",-0.041460128799199
"Wave_711",-0.0957629508786205
"Wave_712",-0.0891630704932038
"Wave_713",0.0562574177644554
"Wave_714",0.062071529961756
"Wave_715",0.0415043534281373
"Wave_716",0.0607501865420495
"Wave_717",0.114166753805842
"Wave_718",0.0593545949122604
"Wave_719",0.0275514574004401
"Wave_720",-0.00205113774459532
"Wave_721",0.0229713232657902
"Wave_722",0.0612104381592911
"Wave_723",0.0378439746556414
"Wave_724",-0.00296082787881622
"Wave_725",-0.0233022525812003
"Wave_726",-0.0502136923499749
"Wave_727",-0.0666622106645529
"Wave_728",-0.0450004174606129
"Wave_729",-0.0424295717721054
"Wave_730",-0.0184818050151056
"Wave_731",-0.024996460520371
"Wave_732",-0.0552893279777006
"Wave_733",-0.0605795805953156
"Wave_734",-0.0626924825961199
"Wave_735",-0.0374194378943555
"Wave_736",-0.0415819622498724
"Wave_737",-0.0020529523307843
"Wave_738",0.0728053187921531
"Wave_739",0.121204480118205
"Wave_740",0.173248786202745
"Wave_741",0.200512686426173
"Wave_742",0.21184223774363
"Wave_743",0.187906494883918
"Wave_744",0.207343978945635
"Wave_745",0.241091319036414
"Wave_746",0.266061928918428
"Wave_747",0.267523932688776
"Wave_748",0.262810132331749
"Wave_749",0.219354575032248
"Wave_750",0.175521936408103
"Wave_751",0.167984790509265
"Wave_752",0.168649985852579
"Wave_753",0.153054308352799
"Wave_754",0.115530032340339
"Wave_755",0.0939172616293205
"Wave_756",0.0621443777627875
"Wave_757",0.0377767144740987
"Wave_758",0.0332719860503471
"Wave_759",0.0438993181229206
"Wave_760",0.0481513548908447
"Wave_761",0.0420256392311462
"Wave_762",0.0421076277212524
"Wave_763",0.061734676430637
"Wave_764",0.0314637316510994
"Wave_765",0.032137174624153
"Wave_766",0.0459742111860763
"Wave_767",0.0335757394204093
"Wave_768",0.0340378299612992
"Wave_769",0.0118587191520486
"Wave_770",-0.0093145202316704
"Wave_771",-0.0282804377616349
"Wave_772",-0.0348921028406557
"Wave_773",-0.0130472376410363
"Wave_774",0.023237728887607
"Wave_775",0.00810907750703974
"Wave_776",-0.0249873271688096
"Wave_777",-0.0335084862341936
"Wave_778",-0.036756586241964
"Wave_779",-0.0373795845430418
"Wave_780",-0.0211973142854855
"Wave_781",-0.0582077449894351
"Wave_782",-0.0673481317244517
"Wave_783",-0.0764483016697497
"Wave_784",-0.0576410116297796
"Wave_785",0.0116135574309114
"Wave_786",0.00622255162580792
"Wave_787",-0.0090412197791453
"Wave_788",-0.0399036576626268
"Wave_789",-0.0809840185706849
"Wave_790",-0.103547318048492
"Wave_791",-0.0562420567701638
"Wave_792",-0.0278160812067628
"Wave_793",-0.0341664497004309
"Wave_794",-0.0728540960098368
"Wave_795",-0.120132909306027
"Wave_796",-0.135623673702225
"Wave_797",-0.1159547401333
"Wave_798",-0.0638127867309845
"Wave_799",-0.0100980653061187
"Wave_800",-0.063064484780985
"Wave_801",-0.111549897853117
"Wave_802",-0.149058037181603
"Wave_803",-0.170303262815242
"Wave_804",-0.177036535235845
"Wave_805",-0.138258138642093
"Wave_806",-0.100970536135102
"Wave_807",-0.0949596404013331
"Wave_808",-0.0937449457926101
"Wave_809",-0.166398272003493
"Wave_810",-0.175143106361621
"Wave_811",-0.157538849648801
"Wave_812",-0.12013272674632
"Wave_813",-0.126561319297315
"Wave_814",-0.1503045930797
"Wave_815",-0.150107341798333
"Wave_816",-0.139549780020425
"Wave_817",-0.133135403115608
"Wave_818",-0.126302664559434
"Wave_819",-0.0750564792430449
"Wave_820",-0.0369699944015809
"Wave_821",-0.0658651706611143
"Wave_822",-0.0926293961632145
"Wave_823",-0.118727441589771
"Wave_824",-0.0908161642074911
"Wave_825",-0.0882952658035534
"Wave_826",-0.07085414395143
"Wave_827",-0.0621951825014644
"Wave_828",-0.123855591643575
"Wave_829",-0.092713161739019
"Wave_830",-0.096587585508058
"Wave_831",-0.078881153408571
"Wave_832",-0.0329651155723944
"Wave_833",-0.0409278198668248
"Wave_834",-0.075162543340463
"Wave_835",-0.0846966794333713
"Wave_836",-0.0553987147790211
"Wave_837",-0.0858342460326493
"Wave_838",-0.0943797288139823
"Wave_839",-0.0868844825497857
"Wave_840",-0.0775803254955134
"Wave_841",-0.000601524952391366
"Wave_842",0.0488527035743221
"Wave_843",-0.00354836337540237
"Wave_844",-0.0195276442095725
"Wave_845",0.00757244944100639
"Wave_846",0.00746709569423955
"Wave_847",0.015495146276586
"Wave_848",0.0794390349834295
"Wave_849",-0.0115228414049173
"Wave_850",-0.0161273792318985
"Wave_851",-0.0282431320398705
"Wave_852",0.000975935912104032
"Wave_853",0.0460816305602099
"Wave_854",-0.0379813676176384
"Wave_855",-0.0259200352979239
"Wave_856",0.0133842002347883
"Wave_857",0.0350285063633973
"Wave_858",0.0497500417193565
"Wave_859",0.0817572316374655
"Wave_860",0.11694610073609
"Wave_861",0.079818835984677
"Wave_862",0.0695008468101458
"Wave_863",0.0383851571516703
"Wave_864",0.0195263858894795
"Wave_865",0.04179367108554
"Wave_866",0.0350817648050254
"Wave_867",0.0227154100006286
"Wave_868",0.0275355564352412
"Wave_869",0.0344843345961512
