"","LMA_gDW_m2.9.comps"
"Wave_696",-0.138961277133729
"Wave_697",-0.151825975845461
"Wave_698",-0.181112706840869
"Wave_699",-0.202101614315269
"Wave_700",-0.198730172850279
"Wave_701",-0.197354628251707
"Wave_702",-0.200025100439142
"Wave_703",-0.196947013030046
"Wave_704",-0.186246506556408
"Wave_705",-0.175633560103859
"Wave_706",-0.155869377265847
"Wave_707",-0.15126949050858
"Wave_708",-0.141231672717821
"Wave_709",-0.132497463025607
"Wave_710",-0.113159662073675
"Wave_711",-0.0837472766704403
"Wave_712",-0.0671393691989216
"Wave_713",-0.0730766577891668
"Wave_714",-0.0412292430224441
"Wave_715",-0.030478513782312
"Wave_716",-0.0400542471041853
"Wave_717",-0.0607750722441148
"Wave_718",-0.0396012496386505
"Wave_719",0.00645435888618895
"Wave_720",0.0683115744953891
"Wave_721",0.0792081368842566
"Wave_722",0.0799108139057211
"Wave_723",0.0941928369170707
"Wave_724",0.102601567384509
"Wave_725",0.103802457768783
"Wave_726",0.122141567753467
"Wave_727",0.146487847331049
"Wave_728",0.147346269209107
"Wave_729",0.160090521827418
"Wave_730",0.174826827101661
"Wave_731",0.192163085279453
"Wave_732",0.218742953473655
"Wave_733",0.233522225316335
"Wave_734",0.22032317366022
"Wave_735",0.214814762828556
"Wave_736",0.211079175661486
"Wave_737",0.193872106513972
"Wave_738",0.193705669572165
"Wave_739",0.183827542483276
"Wave_740",0.163757675845699
"Wave_741",0.152005750163258
"Wave_742",0.154685834409832
"Wave_743",0.160675341210574
"Wave_744",0.163654548887625
"Wave_745",0.140973252203918
"Wave_746",0.130791619637172
"Wave_747",0.119702023038701
"Wave_748",0.104490556504343
"Wave_749",0.098848321561426
"Wave_750",0.0952272818926845
"Wave_751",0.099285879000455
"Wave_752",0.0971666588386916
"Wave_753",0.0946793068966039
"Wave_754",0.0923492064783294
"Wave_755",0.093643421805843
"Wave_756",0.090077598384603
"Wave_757",0.0758499492642985
"Wave_758",0.0514231086800476
"Wave_759",-0.00398575219068579
"Wave_760",-0.0448315785288393
"Wave_761",-0.0724905819753268
"Wave_762",-0.0212561588358087
"Wave_763",0.00941124675271039
"Wave_764",0.0372824382239192
"Wave_765",0.0555512236962436
"Wave_766",0.077780390068309
"Wave_767",0.0611720063228052
"Wave_768",0.0488202693953834
"Wave_769",0.0538234235671219
"Wave_770",0.0587954596820051
"Wave_771",0.0468329105122936
"Wave_772",0.0475164622025652
"Wave_773",0.0454983340945151
"Wave_774",0.0416582137959726
"Wave_775",0.0471130570617756
"Wave_776",0.0355608560262269
"Wave_777",0.0268625108160515
"Wave_778",0.0321569225876139
"Wave_779",0.0383439651523275
"Wave_780",0.0293188442142337
"Wave_781",0.0202133584701478
"Wave_782",0.00883684155372008
"Wave_783",0.000311388788539363
"Wave_784",0.00458378897024705
"Wave_785",0.0155947932660884
"Wave_786",0.00690399874512516
"Wave_787",0.00286602840071441
"Wave_788",0.00496885058848215
"Wave_789",0.004539804579771
"Wave_790",-0.000384387027589918
"Wave_791",-0.0161686313186816
"Wave_792",-0.0118866264404093
"Wave_793",-0.00928995651507327
"Wave_794",-0.0194763804216522
"Wave_795",-0.0133455888119154
"Wave_796",-0.0169992911671682
"Wave_797",-0.01682797712021
"Wave_798",-0.0318877793435022
"Wave_799",-0.0389357437034989
"Wave_800",-0.0416679610912107
"Wave_801",-0.0537191735911779
"Wave_802",-0.046350987328256
"Wave_803",-0.0312009765773814
"Wave_804",-0.0392377737600226
"Wave_805",-0.02783738265707
"Wave_806",-0.0482006614926895
"Wave_807",-0.0552522518106536
"Wave_808",-0.0464423012619574
"Wave_809",-0.0439742847113394
"Wave_810",-0.0349807881954391
"Wave_811",-0.0438145677245074
"Wave_812",-0.0435870943219768
"Wave_813",-0.0227958116774139
"Wave_814",-0.0156160610243465
"Wave_815",-0.0253168225202962
"Wave_816",-0.0536453289212906
"Wave_817",-0.0554263871562883
"Wave_818",-0.0696329365491225
"Wave_819",-0.077798869546294
