"Spectra_Name","Location","Instrument","Species_Code","Measurement_Date","N.mu","N.q25","N.q975","Cab.mu","Cab.q25","Cab.q975","Car.mu","Car.q25","Car.q975","Cbrown.mu","Cbrown.q25","Cbrown.q975","Cw.mu","Cw.q25","Cw.q975","Cm.mu","Cm.q25","Cm.q975"
"BNL1236","Utqiagvik","ASD_FieldSpec_3","SAPU15","20130725",1.5317279878786,1.52313288776555,1.55678540846779,34.9768078493748,34.4864539510949,36.3394479331429,16.899790111805,15.6893725907418,20.5484332799366,0.00750457599477017,0.00268891608389711,0.0259145232377667,0.0181732714814368,0.018029313011286,0.0186030930479867,0.00489560434073622,0.00459240202321605,0.00582690343393352
"BNL1238","Utqiagvik","ASD_FieldSpec_3","SAPU15","20130725",1.30155982700541,1.25440559923853,1.68482973573687,33.6957965930174,27.4458819975751,81.6980342537823,8.56891829794819,8.68622137558861,12.0622228478872,0.0243012715314466,0.00541714477197782,0.0885980086226383,0.0147512259441782,0.014038618183916,0.0163826311954572,0.0038822344684174,0.0026385024222094,0.016096937215354
"BNL1240","Utqiagvik","ASD_FieldSpec_3","SAPU15","20130725",1.37398751911277,1.36760530233313,1.39375679140974,30.5309776871833,30.137313072335,31.6459313111202,12.335574223843,11.5683344113783,14.5280981638014,0.00977662588691712,0.00395032935703019,0.0280972884351233,0.0164388546131016,0.0163153178239075,0.0168060803082494,0.00371776347644941,0.00348006809972285,0.00444672891395687
"BNL1242","Utqiagvik","ASD_FieldSpec_3","SAPU15","20130725",1.40481927309093,1.39771021560472,1.42561473510712,24.916528145993,24.6129263551326,25.8615780284233,7.80641600903884,7.38959645930678,9.01232255543798,0.0177678769861607,0.00825777952066817,0.0465102085665558,0.0147884013565059,0.01466437761122,0.0151901036589866,0.0031985510861904,0.0029402738277937,0.00394624966583009
"BNL1244","Utqiagvik","ASD_FieldSpec_3","SAPU15","20130725",1.39355332180955,1.3851629948355,1.41452849695418,27.0812832230943,26.7244418733092,28.1560320282731,9.68473135368678,9.08999560759143,11.3863001789468,0.0134318466824539,0.00462793039849249,0.0437940094085878,0.0164750781062376,0.0163155432374274,0.0169251245658379,0.0043791129217712,0.0040719159844067,0.00518615813699463
"BNL1245","Utqiagvik","ASD_FieldSpec_3","PEFR5","20130725",1.86692625383877,1.8590397405426,1.88997122728238,37.6264071830979,37.1358282137445,39.088108422204,14.5504645900564,13.6067740402297,17.4331557636017,0.0319750057345743,0.0196326798509079,0.0666619881799795,0.0324324869494117,0.0322110014686667,0.0330814016512082,0.000283202567280864,0.000155694710405742,0.000702672674915763
"BNL1246","Utqiagvik","ASD_FieldSpec_3","SAPU15","20130725",1.4870698144702,1.4799203852825,1.50914833125669,29.550513044035,29.1512296276014,30.6708441191829,10.2056478064768,9.56268187814395,12.1694610168643,0.0186078738446917,0.00850200555554906,0.0476711603316667,0.0144688439437831,0.0143491559435544,0.0148152688146486,0.00370772157678552,0.0034609248038705,0.0044504733730817
"BNL1247","Utqiagvik","ASD_FieldSpec_3","SAPU15","20130725",1.48444754547706,1.4763564069787,1.50952639783563,35.0284111310684,34.5560821951573,36.4538891782958,18.3066817398757,16.8808858172902,22.6517634288658,0.00690299828933352,0.00222469813240832,0.022076689331088,0.0185938803356509,0.0184530310364972,0.0190079747542753,0.00548017303239357,0.00516802454940451,0.00643991016919578
"BNL1248","Utqiagvik","ASD_FieldSpec_3","SAPU6","20130725",1.48974563781288,1.48313538775683,1.50796566868715,28.3204656457617,27.9379305949932,29.3232858106708,10.3617798332739,9.72038722278256,12.4838966288592,0.0598094529631065,0.0488207707139782,0.0934390469766574,0.0271108705642563,0.0269375081325935,0.0276182942252089,0.00043313538759489,0.000234608213426431,0.00103898238707135
"BNL1249","Utqiagvik","ASD_FieldSpec_3","SAPU15","20130725",1.54255196934529,1.52521494545169,1.63885790183034,40.2598788157637,39.0955055173372,54.0746169862254,32.2767430327995,27.9151027527164,51.1878057921589,0.0135461642386615,0.00300576066417027,0.0486706984241823,0.0210410856716407,0.0207383697701747,0.0220051544078206,0.00578283280022508,0.00523654367981113,0.00879136357753796
"BNL1251","Utqiagvik","ASD_FieldSpec_3","SAPU15","20130725",1.5750218444007,1.56533217109367,1.60374183007318,36.2093535414971,35.7510181668876,37.6202981159785,18.0874519981442,16.6683683179996,22.5085736074312,0.00643251030638742,0.00199099262244303,0.0216053515968951,0.019293259961432,0.0191577940117008,0.0196934227887268,0.005847325739557,0.0055159837543627,0.00681828333718026
