"","Vcmax_Spec_Tleaf.12.comps"
"(Intercept)",16.3239673215734
"Wave_500",-0.886031989102626
"Wave_501",-0.82361620314173
"Wave_502",-0.765410463289207
"Wave_503",-0.735905162278344
"Wave_504",-0.675729523738352
"Wave_505",-0.623496654114598
"Wave_506",-0.572576969648196
"Wave_507",-0.562622876412921
"Wave_508",-0.52694807813436
"Wave_509",-0.474617817057624
"Wave_510",-0.417189569164354
"Wave_511",-0.364386101196547
"Wave_512",-0.311645514662236
"Wave_513",-0.256775870186414
"Wave_514",-0.21451597113613
"Wave_515",-0.160390014172412
"Wave_516",-0.0929761697257475
"Wave_517",-0.0226534648859261
"Wave_518",0.0469133466209462
"Wave_519",0.0907125683226035
"Wave_520",0.107271622242045
"Wave_521",0.115018521082727
"Wave_522",0.110089014863742
"Wave_523",0.109496562413911
"Wave_524",0.138113628412602
"Wave_525",0.137482241578492
"Wave_526",0.144239389904124
"Wave_527",0.174208758814848
"Wave_528",0.133564364170388
"Wave_529",0.120405293133366
"Wave_530",0.127141798300681
"Wave_531",0.114258812856011
"Wave_532",0.104092704226726
"Wave_533",0.085011489474287
"Wave_534",0.0444320485957901
"Wave_535",0.0168524060136173
"Wave_536",0.0162765578937307
"Wave_537",0.0323717712272279
"Wave_538",0.0497693458426874
"Wave_539",0.0599994976435334
"Wave_540",0.0636046662552749
"Wave_541",0.060048225979846
"Wave_542",0.0670944372078217
"Wave_543",0.0797460597707534
"Wave_544",0.0918914494025131
"Wave_545",0.094438881197836
"Wave_546",0.0919000169988414
"Wave_547",0.0894460040193278
"Wave_548",0.0882533655956634
"Wave_549",0.0727246803507169
"Wave_550",0.0784511213606257
"Wave_551",0.0999269700947332
"Wave_552",0.12215005110437
"Wave_553",0.133170918353136
"Wave_554",0.129252345275749
"Wave_555",0.113528058906437
"Wave_556",0.128879215684879
"Wave_557",0.1016457930634
"Wave_558",0.0562486889552188
"Wave_559",0.0399179432519017
"Wave_560",0.0153393753804821
"Wave_561",-0.00428239210471907
"Wave_562",-0.0100607661303879
"Wave_563",-0.0174828143950114
"Wave_564",-0.0370444439662129
"Wave_565",-0.0543538281790032
"Wave_566",-0.0599976738861848
"Wave_567",-0.0589119081572626
"Wave_568",-0.0536395553333122
"Wave_569",-0.0498072659780691
"Wave_570",-0.078497903269375
"Wave_571",-0.0855985791992205
"Wave_572",-0.0960302148974287
"Wave_573",-0.111079670391976
"Wave_574",-0.0988673805878343
"Wave_575",-0.101509958790437
"Wave_576",-0.117569422949915
"Wave_577",-0.152746049992607
"Wave_578",-0.165262162167023
"Wave_579",-0.164341428289868
"Wave_580",-0.157773278034582
"Wave_581",-0.143543378879137
"Wave_582",-0.145151189458399
"Wave_583",-0.1527957056523
"Wave_584",-0.162076488412727
"Wave_585",-0.159403386777679
"Wave_586",-0.15775107396739
"Wave_587",-0.155306946178766
"Wave_588",-0.138695317445965
"Wave_589",-0.130251044686447
"Wave_590",-0.121116167431899
"Wave_591",-0.108832451826246
"Wave_592",-0.120369359132569
"Wave_593",-0.11692607392667
"Wave_594",-0.104226050368221
"Wave_595",-0.0860955774653214
"Wave_596",-0.0700818110017321
"Wave_597",-0.0594159516640714
"Wave_598",-0.0595470679243651
"Wave_599",-0.0772011393137536
"Wave_600",-0.0853627522237255
"Wave_601",-0.0928995615490206
"Wave_602",-0.100584759225904
"Wave_603",-0.109731741522511
"Wave_604",-0.113281532259982
"Wave_605",-0.116295762477753
"Wave_606",-0.122596599306004
"Wave_607",-0.151704199130155
"Wave_608",-0.189534474395958
"Wave_609",-0.230889149615315
"Wave_610",-0.259775097692684
"Wave_611",-0.262093039423811
"Wave_612",-0.263129542405929
"Wave_613",-0.270041564587465
"Wave_614",-0.279638579166242
"Wave_615",-0.290612724298528
"Wave_616",-0.302528671199806
"Wave_617",-0.312039065863027
"Wave_618",-0.321097050599709
"Wave_619",-0.317820216480286
"Wave_620",-0.311391748507997
"Wave_621",-0.319899779841045
"Wave_622",-0.327323735299819
"Wave_623",-0.326124880911318
"Wave_624",-0.315199761948802
"Wave_625",-0.309286336924901
"Wave_626",-0.299649047056049
"Wave_627",-0.288265846934054
"Wave_628",-0.278504189175698
"Wave_629",-0.27031577568682
"Wave_630",-0.267694303549971
"Wave_631",-0.268904743428375
"Wave_632",-0.272491936334479
"Wave_633",-0.241817076465796
"Wave_634",-0.221651683660973
"Wave_635",-0.207471991802998
"Wave_636",-0.183308023441284
"Wave_637",-0.145885906322674
"Wave_638",-0.105236259196738
"Wave_639",-0.0640733826498775
"Wave_640",-0.0378203250574974
"Wave_641",-0.0113174621234939
"Wave_642",0.01864364908304
"Wave_643",0.0545121562271488
"Wave_644",0.0929198601877814
"Wave_645",0.112584066882613
"Wave_646",0.119367797704914
"Wave_647",0.114460148462835
"Wave_648",0.124529538204905
"Wave_649",0.124808570373947
"Wave_650",0.116155049667678
"Wave_651",0.101347256345241
"Wave_652",0.0721489807404816
"Wave_653",0.0425416214436593
"Wave_654",0.0159985598083134
"Wave_655",-0.00799465872193305
"Wave_656",-0.0437933157095374
"Wave_657",-0.0875620619847569
"Wave_658",-0.136342789815509
"Wave_659",-0.173933157977289
"Wave_660",-0.194577599204822
"Wave_661",-0.210590348971885
"Wave_662",-0.224437590845439
"Wave_663",-0.246403316688768
"Wave_664",-0.255182914009184
"Wave_665",-0.258259182809336
"Wave_666",-0.261463511946702
"Wave_667",-0.256034182464681
"Wave_668",-0.248414371374735
"Wave_669",-0.231644808001133
"Wave_670",-0.195080442432355
"Wave_671",-0.17222654384329
"Wave_672",-0.125409658826488
"Wave_673",-0.0773807803025681
"Wave_674",-0.0563072397987201
"Wave_675",-0.0109846682606416
"Wave_676",0.0378725775887188
"Wave_677",0.087822624146382
"Wave_678",0.149305781783279
"Wave_679",0.226008332403906
"Wave_680",0.295183633882481
"Wave_681",0.353263319487568
"Wave_682",0.412028870838093
"Wave_683",0.467326460907302
"Wave_684",0.537002890732337
"Wave_685",0.620569166206017
"Wave_686",0.688795461939643
"Wave_687",0.768769933031322
"Wave_688",0.832920538322279
"Wave_689",0.878009762522124
"Wave_690",0.93116767747283
"Wave_691",0.990860539126
"Wave_692",1.03374278846133
"Wave_693",1.03281464778303
"Wave_694",1.09229065942042
"Wave_695",1.07160167387286
"Wave_696",1.01864892202812
"Wave_697",0.990430164316425
"Wave_698",1.01321745505896
"Wave_699",0.932495775211301
"Wave_700",0.873619907461121
"Wave_701",0.912489157499885
"Wave_702",0.776687510694032
"Wave_703",0.679938427324498
"Wave_704",0.631992472869293
"Wave_705",0.628652228528308
"Wave_706",0.435320201731765
"Wave_707",0.31514671432236
"Wave_708",0.278221925493696
"Wave_709",0.30465025559845
"Wave_710",0.106845460947411
"Wave_711",0.00517707036626737
"Wave_712",-0.0163012325318127
"Wave_713",0.0074738899498139
"Wave_714",-0.221328600208976
"Wave_715",-0.319289393455048
"Wave_716",-0.324572704809967
"Wave_717",-0.264814731009574
"Wave_718",-0.271265443660321
"Wave_719",-0.400472803717682
"Wave_720",-0.501072135316094
"Wave_721",-0.503460446680238
"Wave_722",-0.440975479430451
"Wave_723",-0.502263340560855
"Wave_724",-0.53727395747116
"Wave_725",-0.497522251646784
"Wave_726",-0.526963628416386
"Wave_727",-0.436066995616659
"Wave_728",-0.403790099980238
"Wave_729",-0.46356708984914
"Wave_730",-0.420699184800105
"Wave_731",-0.352296035346393
"Wave_732",-0.287195940787868
"Wave_733",-0.233218338084622
"Wave_734",-0.172667487445952
"Wave_735",-0.189104501773283
"Wave_736",-0.183415450718649
"Wave_737",-0.151818854346178
"Wave_738",-0.147910217070272
"Wave_739",-0.135957447774034
"Wave_740",-0.105860424534929
"Wave_741",-0.0836044770380424
"Wave_742",-0.0802641447111189
"Wave_743",-0.097704335134126
"Wave_744",-0.0666163889877847
"Wave_745",-0.0284460293832447
"Wave_746",-0.0300442306185578
"Wave_747",-0.00806525114765631
"Wave_748",0.0092545080357033
"Wave_749",0.0074936925523501
"Wave_750",-0.0105273343637783
"Wave_751",0.0388292414179895
"Wave_752",0.0669429568617613
"Wave_753",0.0606662149131504
"Wave_754",0.0361790357009932
"Wave_755",0.0681635175497218
"Wave_756",0.0705317871692515
"Wave_757",0.040705229462332
"Wave_758",0.00352723967686662
"Wave_759",0.0325938411618167
"Wave_760",0.0108828739435787
"Wave_761",0.0131188899949818
"Wave_762",0.0407439060713847
"Wave_763",0.0599562404412971
"Wave_764",0.0417831140835589
"Wave_765",0.0526427622494486
"Wave_766",0.0583998871848481
"Wave_767",0.0393494490183744
"Wave_768",0.0163814454575951
"Wave_769",0.0219402256124405
"Wave_770",0.0136725251866897
"Wave_771",-0.0167089796152829
"Wave_772",-0.0539067134863396
"Wave_773",0.014401131532667
"Wave_774",0.0616284582829504
"Wave_775",0.0611162045568352
"Wave_776",-0.0186360377312422
"Wave_777",0.0166490325040463
"Wave_778",0.033524381015108
"Wave_779",0.0304463184895181
"Wave_780",-0.00064333400902597
"Wave_781",-0.0321494116927294
"Wave_782",-0.0245173785408625
"Wave_783",-0.0474989823195619
"Wave_784",-0.0505646630438715
"Wave_785",0.0451600143542966
"Wave_786",0.0490072215667143
"Wave_787",0.0414182188987507
"Wave_788",0.0396385722699177
"Wave_789",0.0435603937614476
"Wave_790",-0.0153345561661122
"Wave_791",0.02348219794108
"Wave_792",0.0424396613801217
"Wave_793",0.0353400531006936
"Wave_794",0.0127884679101563
"Wave_795",0.0158671656217932
"Wave_796",0.0145729291561881
"Wave_797",0.0410022773494579
"Wave_798",0.101063124121943
"Wave_799",0.167131201756627
"Wave_800",0.110838811402375
"Wave_801",0.0802438518822193
"Wave_802",0.0889235409376026
"Wave_803",0.117539929617196
"Wave_804",0.134341240666565
"Wave_805",0.122887429790962
"Wave_806",0.0885468350212028
"Wave_807",0.0822359407584879
"Wave_808",0.178397205093952
"Wave_809",0.114906994965105
"Wave_810",0.116192257362307
"Wave_811",0.114919623077642
"Wave_812",0.0984654054475632
"Wave_813",0.102123982295795
"Wave_814",0.133696974308919
"Wave_815",0.130069548633985
"Wave_816",0.111845482698774
"Wave_817",0.0929177089529306
"Wave_818",0.0575389886322329
"Wave_819",0.140586160476832
"Wave_820",0.187408141673989
"Wave_821",0.200991031452781
"Wave_822",0.205970599627269
"Wave_823",0.205915881856691
"Wave_824",0.190658955374231
"Wave_825",0.158374684914034
"Wave_826",0.13710655810691
"Wave_827",0.135470421615501
"Wave_828",0.113452434505866
"Wave_829",0.176905464003597
"Wave_830",0.216887005397995
"Wave_831",0.238567778295444
"Wave_832",0.255018128291692
"Wave_833",0.207197924944655
"Wave_834",0.180680445723593
"Wave_835",0.18060466622851
"Wave_836",0.163258442661708
"Wave_837",0.118221511772069
"Wave_838",0.119361783440667
"Wave_839",0.12461241560387
"Wave_840",0.104790727440885
"Wave_841",0.126496933177451
"Wave_842",0.197194071142177
"Wave_843",0.159701894626972
"Wave_844",0.180666515445029
"Wave_845",0.166033163945866
"Wave_846",0.187526906590894
"Wave_847",0.247505291206775
"Wave_848",0.240673434868841
"Wave_849",0.0818111479157498
"Wave_850",0.0867144256064697
"Wave_851",0.111124499967444
"Wave_852",0.140730579902803
"Wave_853",0.17778570464781
"Wave_854",0.0854276270946475
"Wave_855",0.0647016705506261
"Wave_856",0.119556462023346
"Wave_857",0.177484307501805
"Wave_858",0.194256199166734
"Wave_859",0.1431106091105
"Wave_860",0.210589206601066
"Wave_861",0.210706749013832
"Wave_862",0.207979203693153
"Wave_863",0.182900121789639
"Wave_864",0.0826368063117616
"Wave_865",0.112321791978431
"Wave_866",0.169290890433699
"Wave_867",0.118722501456391
"Wave_868",0.0884143937727232
"Wave_869",0.0976834277310842
"Wave_870",0.0378636992017556
"Wave_871",0.0846989211915562
"Wave_872",0.094897163672956
"Wave_873",0.0320746695764958
"Wave_874",0.0233843373384533
"Wave_875",0.12278852515853
"Wave_876",0.147100212479693
"Wave_877",0.129451083742938
"Wave_878",0.129793286219447
"Wave_879",0.101991614275391
"Wave_880",0.0898652362041236
"Wave_881",0.112386034797594
"Wave_882",0.0740300202090601
"Wave_883",0.161498115522443
"Wave_884",0.112805567645712
"Wave_885",0.0768631699103811
"Wave_886",0.0505137143312961
"Wave_887",0.0197438228203633
"Wave_888",-0.0208899452407665
"Wave_889",0.109713942945976
"Wave_890",0.0351694707191832
"Wave_891",-0.00401418769534422
"Wave_892",0.0105875616713596
"Wave_893",0.0427339144962246
"Wave_894",0.0881490775257408
"Wave_895",0.0911801650485036
"Wave_896",0.0220455855945997
"Wave_897",-0.0280689778758903
"Wave_898",0.0155642645592093
"Wave_899",0.0850090876307754
"Wave_900",0.0670721137404135
"Wave_901",-0.0308895076152877
"Wave_902",-0.0737417027178396
"Wave_903",-0.105312267690307
"Wave_904",-0.105843690494457
"Wave_905",-0.0843598808232144
"Wave_906",-0.0485689699292515
"Wave_907",0.0187228398733467
"Wave_908",0.0153730299374797
"Wave_909",-0.0162878834166996
"Wave_910",0.000554132810673954
"Wave_911",-0.00144880539587459
"Wave_912",-0.0202667100606253
"Wave_913",-0.0340717934029166
"Wave_914",-0.000368544890062938
"Wave_915",-0.0248697522400953
"Wave_916",-0.0367764620626093
"Wave_917",-0.0735601061088177
"Wave_918",-0.0935449915459406
"Wave_919",-0.0807635397276289
"Wave_920",-0.0847391872809202
"Wave_921",-0.0622214471529516
"Wave_922",-0.105982897618085
"Wave_923",-0.0997328291787084
"Wave_924",-0.111259803880491
"Wave_925",-0.108408972373566
"Wave_926",-0.0902543928111655
"Wave_927",-0.125838839977966
"Wave_928",-0.0652364128741955
"Wave_929",-0.0439927630080086
"Wave_930",-0.0156622298998719
"Wave_931",-0.0395286505759944
"Wave_932",-0.0634127757868826
"Wave_933",-0.0572527158357298
"Wave_934",-0.0509830980768988
"Wave_935",-0.0303187130739186
"Wave_936",-0.0399159878592135
"Wave_937",-0.09127031115483
"Wave_938",-0.111725495148416
"Wave_939",-0.157279415820773
"Wave_940",-0.22967858892166
"Wave_941",-0.100576915776831
"Wave_942",-0.117016436185416
"Wave_943",-0.117165550448692
"Wave_944",-0.0954793069668726
"Wave_945",-0.17976304421963
"Wave_946",-0.292874000002901
"Wave_947",-0.285700307745067
"Wave_948",-0.132185340503431
"Wave_949",-0.069968110096923
"Wave_950",-0.107655288530831
"Wave_951",-0.156837617599036
"Wave_952",-0.239221962273992
"Wave_953",-0.253936241789398
"Wave_954",-0.154099595471309
"Wave_955",-0.167086608331327
"Wave_956",-0.24003361699887
"Wave_957",-0.235611905410994
"Wave_958",-0.178985420648473
"Wave_959",-0.0957078527048663
"Wave_960",-0.0291802480752903
