"","Vcmax_Spec_Tleaf.9.comps"
"(Intercept)",30.9620462579367
"Wave_500",-0.118924372865139
"Wave_501",-0.112845019552483
"Wave_502",-0.106754137894143
"Wave_503",-0.0993516685617388
"Wave_504",-0.0921803186090329
"Wave_505",-0.0843322022274345
"Wave_506",-0.0761498584052024
"Wave_507",-0.0666783613521853
"Wave_508",-0.0579009372162302
"Wave_509",-0.0489441931172792
"Wave_510",-0.0382719823606507
"Wave_511",-0.0287214578021407
"Wave_512",-0.0191695033503178
"Wave_513",-0.00887086739767311
"Wave_514",0.00204828119101289
"Wave_515",0.01186008676335
"Wave_516",0.0217059943863499
"Wave_517",0.0313019314996637
"Wave_518",0.0402347847998846
"Wave_519",0.0473178227717076
"Wave_520",0.0512256879131227
"Wave_521",0.0563094323835457
"Wave_522",0.0610774875712868
"Wave_523",0.0662299226523363
"Wave_524",0.0700656953161535
"Wave_525",0.0699713717590541
"Wave_526",0.0693508135351705
"Wave_527",0.0654203638254527
"Wave_528",0.0598386111327906
"Wave_529",0.0565507288802966
"Wave_530",0.0535763225077084
"Wave_531",0.0519092776924967
"Wave_532",0.0468923231269229
"Wave_533",0.0378953144138524
"Wave_534",0.0332409655037876
"Wave_535",0.0277040695954175
"Wave_536",0.0213016115299525
"Wave_537",0.0173220586054868
"Wave_538",0.00997163658129486
"Wave_539",0.000940835552472541
"Wave_540",-0.00508731159900187
"Wave_541",-0.00943621935220307
"Wave_542",-0.0146439138884196
"Wave_543",-0.0164272981143503
"Wave_544",-0.0205721511215513
"Wave_545",-0.0257187797736941
"Wave_546",-0.0218970537236455
"Wave_547",-0.0252395747882808
"Wave_548",-0.0361056637299808
"Wave_549",-0.0500668308920999
"Wave_550",-0.0568678053282236
"Wave_551",-0.0613476511274911
"Wave_552",-0.0654736961123888
"Wave_553",-0.0798875536307594
"Wave_554",-0.094391705967629
"Wave_555",-0.104229487291064
"Wave_556",-0.107415470520065
"Wave_557",-0.114734629688245
"Wave_558",-0.119236650548218
"Wave_559",-0.118939401529661
"Wave_560",-0.119178336757085
"Wave_561",-0.1107011272196
"Wave_562",-0.099813510207583
"Wave_563",-0.0951544884039399
"Wave_564",-0.0920476423145137
"Wave_565",-0.0888306866381615
"Wave_566",-0.0865320005300789
"Wave_567",-0.0834025404666379
"Wave_568",-0.0814845002232041
"Wave_569",-0.0783568784351822
"Wave_570",-0.074150199110189
"Wave_571",-0.0674213130535692
"Wave_572",-0.0609016618258647
"Wave_573",-0.0549835832188082
"Wave_574",-0.0511748870255825
"Wave_575",-0.0462570238584549
"Wave_576",-0.0394905328559412
"Wave_577",-0.0333392054314399
"Wave_578",-0.0290009003007764
"Wave_579",-0.0223424472858544
"Wave_580",-0.0168017800371702
"Wave_581",-0.0138208776099874
"Wave_582",-0.0110307251146383
"Wave_583",-0.00895911412158741
"Wave_584",-0.0052804824486866
"Wave_585",-0.00382825532402078
"Wave_586",-0.00128588601766938
"Wave_587",0.000965078437243504
"Wave_588",0.00046262983238245
"Wave_589",0.00308142850068521
"Wave_590",0.00655691497495589
"Wave_591",0.0090703715639118
"Wave_592",0.0117113119653345
"Wave_593",0.0149972609394532
"Wave_594",0.0194391256023008
"Wave_595",0.0233998392999867
"Wave_596",0.0259735471724394
"Wave_597",0.0285093603285187
"Wave_598",0.0307137427518486
"Wave_599",0.0332932186950678
"Wave_600",0.0360145571260403
"Wave_601",0.0368121815208914
"Wave_602",0.0383729845324802
"Wave_603",0.0393130529434421
"Wave_604",0.0407486198917125
"Wave_605",0.0427250428718636
"Wave_606",0.0458385369214434
"Wave_607",0.0483806644005963
"Wave_608",0.0519590916853079
"Wave_609",0.0571416324596929
"Wave_610",0.061963920283803
"Wave_611",0.0652979163819052
"Wave_612",0.0682337504786307
"Wave_613",0.0709844020136467
"Wave_614",0.0741425798251621
"Wave_615",0.0764608953742809
"Wave_616",0.0779120259764279
"Wave_617",0.0788487957169175
"Wave_618",0.0793901923909673
"Wave_619",0.0799070598626658
"Wave_620",0.0810651857734793
"Wave_621",0.0821419089602012
"Wave_622",0.0849195907458496
"Wave_623",0.0891690679553019
"Wave_624",0.0937642869733636
"Wave_625",0.0967897221714286
"Wave_626",0.100272894143496
"Wave_627",0.104502192508051
"Wave_628",0.107961981934607
"Wave_629",0.110995402742512
"Wave_630",0.11354132631334
"Wave_631",0.115526377126837
"Wave_632",0.116261703522247
"Wave_633",0.117116427141451
"Wave_634",0.117319112694584
"Wave_635",0.11766061212353
"Wave_636",0.116125081805401
"Wave_637",0.113326310917338
"Wave_638",0.109922212876814
"Wave_639",0.106378665217842
"Wave_640",0.10528757017323
"Wave_641",0.104284455029304
"Wave_642",0.102596914077246
"Wave_643",0.0997671260401489
"Wave_644",0.0964180898020415
"Wave_645",0.0941985627515886
"Wave_646",0.0918304377601279
"Wave_647",0.0897984610406174
"Wave_648",0.0879146757049193
"Wave_649",0.086141737319752
"Wave_650",0.0837695133768294
"Wave_651",0.0799236264047583
"Wave_652",0.0772112370635103
"Wave_653",0.0774907441820512
"Wave_654",0.0787885795600069
"Wave_655",0.0792598274305001
"Wave_656",0.077875231010643
"Wave_657",0.0739609019524313
"Wave_658",0.0670583483374611
"Wave_659",0.0599864429141973
"Wave_660",0.0519156177933889
"Wave_661",0.0455068787190087
"Wave_662",0.0403684177647681
"Wave_663",0.0318025006768446
"Wave_664",0.0227539117839108
"Wave_665",0.0141552234745972
"Wave_666",0.00653438878095701
"Wave_667",-0.000820239143275263
"Wave_668",-0.00630229707439878
"Wave_669",-0.0110182621377243
"Wave_670",-0.0145238065802507
"Wave_671",-0.0174640595499833
"Wave_672",-0.0209872454148193
"Wave_673",-0.0254093831390303
"Wave_674",-0.0283026567381808
"Wave_675",-0.0283404131305883
"Wave_676",-0.0290542540776169
"Wave_677",-0.0305737999294495
"Wave_678",-0.032169654668695
"Wave_679",-0.0309396899289412
"Wave_680",-0.0276219292226011
"Wave_681",-0.0222995122794762
"Wave_682",-0.0159344380272213
"Wave_683",-0.00740323463757483
"Wave_684",0.00686654449057658
"Wave_685",0.0250379727799245
"Wave_686",0.0472095794227749
"Wave_687",0.0726300251109206
"Wave_688",0.0952755596895287
"Wave_689",0.115929210759171
"Wave_690",0.134533982239124
"Wave_691",0.154628711394582
"Wave_692",0.178302571749648
"Wave_693",0.202311184690204
"Wave_694",0.220589611177189
"Wave_695",0.231638298264604
"Wave_696",0.239815907919898
"Wave_697",0.243794093519375
"Wave_698",0.248870283655698
"Wave_699",0.252004770276521
"Wave_700",0.244006231588897
"Wave_701",0.239058268419558
"Wave_702",0.222555608180036
"Wave_703",0.198905943458768
"Wave_704",0.18149801542304
"Wave_705",0.168405498227855
"Wave_706",0.130782534000904
"Wave_707",0.10715537376053
"Wave_708",0.090826048384809
"Wave_709",0.075958958115953
"Wave_710",0.0469858873766638
"Wave_711",0.00799891183022834
"Wave_712",-0.0195137870111415
"Wave_713",-0.0317186569909415
"Wave_714",-0.05986243590745
"Wave_715",-0.0738856161216389
"Wave_716",-0.0553040224767896
"Wave_717",-0.0226094202659392
"Wave_718",-0.0319905586434659
"Wave_719",-0.0391137493786856
"Wave_720",-0.0913270396917582
"Wave_721",-0.140032511650257
"Wave_722",-0.150468364044542
"Wave_723",-0.150988200612788
"Wave_724",-0.136026832151104
"Wave_725",-0.129581434313222
"Wave_726",-0.146859250766844
"Wave_727",-0.170037712940784
"Wave_728",-0.157386720177684
"Wave_729",-0.161316512780571
"Wave_730",-0.163098199446994
"Wave_731",-0.172404465802932
"Wave_732",-0.18682481352913
"Wave_733",-0.208147804428782
"Wave_734",-0.195459093192856
"Wave_735",-0.176163478800654
"Wave_736",-0.16080472229437
"Wave_737",-0.132454700727844
"Wave_738",-0.128123270355801
"Wave_739",-0.121251118177827
"Wave_740",-0.0938674809491669
"Wave_741",-0.0715836833881913
"Wave_742",-0.0685909543372487
"Wave_743",-0.0626543666335941
"Wave_744",-0.0609949782465213
"Wave_745",-0.0350438783956423
"Wave_746",-0.0272575506929675
"Wave_747",-0.00629048548258514
"Wave_748",0.0125498301613718
"Wave_749",0.0261746723859786
"Wave_750",0.0381373575689059
"Wave_751",0.0339856691676341
"Wave_752",0.0490810834915415
"Wave_753",0.053887832277317
"Wave_754",0.0552773883006275
"Wave_755",0.0499624690254714
"Wave_756",0.0546884711099043
"Wave_757",0.0590496473420023
"Wave_758",0.102667949089086
"Wave_759",0.171348872897726
"Wave_760",0.243968285457603
"Wave_761",0.28664087492066
"Wave_762",0.26927089223323
"Wave_763",0.191163728057759
"Wave_764",0.133946048607998
"Wave_765",0.119761671420425
"Wave_766",0.0865651331119399
"Wave_767",0.0948907134440753
"Wave_768",0.0960562245350983
"Wave_769",0.0856654441218755
"Wave_770",0.0819248766833354
"Wave_771",0.104359523298181
"Wave_772",0.109531039886152
"Wave_773",0.107169227615178
"Wave_774",0.090231949188211
"Wave_775",0.0863926139094345
"Wave_776",0.106710938094905
"Wave_777",0.130569950646759
"Wave_778",0.131783792864277
"Wave_779",0.12817549586158
"Wave_780",0.124527084447265
"Wave_781",0.10025459532313
"Wave_782",0.110929775123687
"Wave_783",0.116196775631418
"Wave_784",0.106416975827093
"Wave_785",0.0900108290632235
"Wave_786",0.0994556970280627
"Wave_787",0.0961298892580563
"Wave_788",0.112916807811596
"Wave_789",0.100463670383523
"Wave_790",0.089583693285243
"Wave_791",0.102124449844648
"Wave_792",0.104846653701134
"Wave_793",0.104631647301023
"Wave_794",0.109347326741239
"Wave_795",0.0975755702067822
"Wave_796",0.0926875435242641
"Wave_797",0.105155072612028
"Wave_798",0.111227771766058
"Wave_799",0.11175316087967
"Wave_800",0.112851719623269
"Wave_801",0.109268737812702
"Wave_802",0.104481880753454
"Wave_803",0.104229799282798
"Wave_804",0.100546663096197
"Wave_805",0.0905511777847875
"Wave_806",0.108484890261923
"Wave_807",0.100139358041409
"Wave_808",0.099306163935628
"Wave_809",0.0870449385425173
"Wave_810",0.0703883410150866
"Wave_811",0.0677594633873967
"Wave_812",0.0602326343410744
"Wave_813",0.0485324415972347
"Wave_814",0.0458048047815324
"Wave_815",0.073094807589509
"Wave_816",0.0949011275099361
"Wave_817",0.0769158784664734
"Wave_818",0.0886476721129761
"Wave_819",0.0506778484817607
"Wave_820",0.048442450556918
"Wave_821",0.0543717696046343
"Wave_822",0.0510397859596955
"Wave_823",0.0298145989228223
"Wave_824",0.00752584300565545
"Wave_825",0.0105163771622615
"Wave_826",-0.0116612817184124
"Wave_827",0.0126801637147476
"Wave_828",0.00267888597532471
"Wave_829",0.0147187771420236
"Wave_830",0.0168767042533573
"Wave_831",-0.00506684779035601
"Wave_832",0.00572713318883764
"Wave_833",0.00647503279304728
"Wave_834",0.00932896035033977
"Wave_835",-0.0210374166640289
"Wave_836",-0.0130642620622076
"Wave_837",-0.0156776387988465
"Wave_838",-0.0451036654136174
"Wave_839",-0.0272779533655368
"Wave_840",-0.0426399775442305
"Wave_841",-0.0448996317997049
"Wave_842",-0.0648535621564223
"Wave_843",-0.0865683594772135
"Wave_844",-0.0698487847754778
"Wave_845",-0.053310445336817
"Wave_846",-0.0769250681871155
"Wave_847",-0.0856455467328867
"Wave_848",-0.0374655804811476
"Wave_849",-0.0910114210868266
"Wave_850",-0.1122363097587
"Wave_851",-0.105240180648818
"Wave_852",-0.0933382422697452
"Wave_853",-0.0855159762871069
"Wave_854",-0.09442580390413
"Wave_855",-0.134197205567928
"Wave_856",-0.131434367550445
"Wave_857",-0.108081551249131
"Wave_858",-0.0926108723269968
"Wave_859",-0.104996608050389
"Wave_860",-0.099161382307038
"Wave_861",-0.0992650029803907
"Wave_862",-0.0969170659997408
"Wave_863",-0.118591124543319
"Wave_864",-0.164812042012008
"Wave_865",-0.0724538060867041
"Wave_866",-0.0712369247161845
"Wave_867",-0.0838543506272723
"Wave_868",-0.0984206740661082
"Wave_869",-0.125435645056935
"Wave_870",-0.121134148805721
"Wave_871",-0.13516534680463
"Wave_872",-0.16089638342559
