"","Narea_g_m2.7.comps"
"Wave_693",-0.0123309420809433
"Wave_694",-0.0150908187217733
"Wave_695",-0.0174959291369448
"Wave_696",-0.0199664043958215
"Wave_697",-0.0217139890724397
"Wave_698",-0.0238654609634668
"Wave_699",-0.0250555767938345
"Wave_700",-0.0254076780948708
"Wave_701",-0.0253136142250211
"Wave_702",-0.0253549861258348
"Wave_703",-0.02502386264074
"Wave_704",-0.023905507203869
"Wave_705",-0.0221606368042218
"Wave_706",-0.0202663793891778
"Wave_707",-0.0188739420734348
"Wave_708",-0.0172277773803279
"Wave_709",-0.015338932363322
"Wave_710",-0.0130788334890021
"Wave_711",-0.0101169764555043
"Wave_712",-0.0078248001416456
"Wave_713",-0.00655880750302841
"Wave_714",-0.00419441431906927
"Wave_715",-0.00278929494228834
"Wave_716",-0.00212114623873474
"Wave_717",-0.00166994061697575
"Wave_718",-0.000615793960656029
"Wave_719",0.00304406549612157
"Wave_720",0.00652990649912183
"Wave_721",0.00667174305167051
"Wave_722",0.00780405734689449
"Wave_723",0.00903935183087768
"Wave_724",0.00975551619740231
"Wave_725",0.00950376353983988
"Wave_726",0.010115949844735
"Wave_727",0.011175049296041
"Wave_728",0.0112277543267882
"Wave_729",0.0112625222257349
"Wave_730",0.011569385213356
"Wave_731",0.0127639762347658
"Wave_732",0.0138116101100267
"Wave_733",0.0137789427658847
"Wave_734",0.0127916806546667
"Wave_735",0.0118394958354948
"Wave_736",0.0110471450621363
"Wave_737",0.0096691173518947
"Wave_738",0.00920204739575241
"Wave_739",0.00840079413881026
"Wave_740",0.00693113257699194
"Wave_741",0.00617808070537709
"Wave_742",0.00567254769697915
"Wave_743",0.00547086869870918
"Wave_744",0.00466527155196267
"Wave_745",0.00325511298703041
"Wave_746",0.00247778586670434
"Wave_747",0.00190690369455088
"Wave_748",0.00100547628977251
"Wave_749",0.000448096041022118
"Wave_750",3.11878885428211e-07
"Wave_751",0.000284568663468729
"Wave_752",0.000527329795803881
"Wave_753",5.77258607827133e-05
"Wave_754",-8.92521391894253e-05
