"","Jmax25_Rog.13.comps"
"Wave_702",-0.593831688372076
"Wave_703",-0.484743484306287
"Wave_704",-0.528872560949854
"Wave_705",-0.505938973869589
"Wave_706",-0.340069954389882
"Wave_707",-0.25129804207662
"Wave_708",-0.267531298065487
"Wave_709",-0.194846127542725
"Wave_710",-0.0933963148621218
"Wave_711",0.0698944329876025
"Wave_712",0.0476208495791008
"Wave_713",0.0454783667785163
"Wave_714",-0.0458137697059635
"Wave_715",0.0282629912761334
"Wave_716",0.141001398214264
"Wave_717",0.37125712493428
"Wave_718",0.455284605171617
"Wave_719",0.437043244890519
"Wave_720",0.425334061270662
"Wave_721",0.26963516659469
"Wave_722",0.151229659152528
"Wave_723",0.205820950979511
"Wave_724",0.336639116238621
"Wave_725",0.525844940208598
"Wave_726",0.465627971640779
"Wave_727",0.560044774840031
"Wave_728",0.588858674246137
"Wave_729",0.435973098679547
"Wave_730",0.42141608182943
"Wave_731",0.48722360182167
"Wave_732",0.55856015224648
"Wave_733",0.443729223371526
"Wave_734",0.394235524434086
"Wave_735",0.346458537546291
"Wave_736",0.334852161026061
"Wave_737",0.107989813835195
"Wave_738",-0.0830096882586003
"Wave_739",-0.0748188221005858
"Wave_740",-0.0697881658804133
"Wave_741",-0.302329980192098
"Wave_742",-0.429899564079812
"Wave_743",-0.422733385432707
"Wave_744",-0.475132710462127
"Wave_745",-0.434020481203265
"Wave_746",-0.483498374966274
"Wave_747",-0.409699074532427
"Wave_748",-0.431783334966162
"Wave_749",-0.416119776581589
"Wave_750",-0.482559001511202
"Wave_751",-0.263563664765611
"Wave_752",-0.100913680679994
"Wave_753",-0.114915753569045
"Wave_754",-0.186174242759383
"Wave_755",-0.153950134239553
"Wave_756",-0.179150339043789
"Wave_757",-0.249858529173841
"Wave_758",-0.29628588905599
"Wave_759",-0.135337344450792
"Wave_760",-0.0842866499409651
"Wave_761",-0.100908247501049
"Wave_762",-0.167732501818019
"Wave_763",-0.241114638603408
"Wave_764",-0.236977467587677
"Wave_765",-0.246631735093909
"Wave_766",-0.209279288246449
"Wave_767",-0.134997316164052
"Wave_768",-0.212375564432268
"Wave_769",-0.17375217744181
"Wave_770",-0.204404787263963
"Wave_771",-0.310629910874898
"Wave_772",-0.323172714225377
"Wave_773",-0.3294793993716
"Wave_774",-0.321423577573871
"Wave_775",-0.320467701935277
"Wave_776",-0.409741053080107
"Wave_777",-0.318530614362097
"Wave_778",-0.264684720695302
"Wave_779",-0.267080464057214
"Wave_780",-0.337592291093621
"Wave_781",-0.333004073618232
"Wave_782",-0.451616194420065
"Wave_783",-0.52875287174155
"Wave_784",-0.459255033228903
"Wave_785",-0.299135812992644
"Wave_786",-0.252279276715575
"Wave_787",-0.253369179106814
"Wave_788",-0.295308981157984
"Wave_789",-0.332595374478559
"Wave_790",-0.425546392958257
"Wave_791",-0.338365606819724
"Wave_792",-0.346508493112996
"Wave_793",-0.405211654691556
"Wave_794",-0.490840083251163
"Wave_795",-0.455714023546864
"Wave_796",-0.483339056139797
"Wave_797",-0.42054947942591
"Wave_798",-0.262905397426979
"Wave_799",-0.137549816032412
"Wave_800",-0.249505360241794
"Wave_801",-0.309143672956763
"Wave_802",-0.323026508260816
"Wave_803",-0.339902503069001
"Wave_804",-0.280294371424671
"Wave_805",-0.319451557145422
"Wave_806",-0.393604446047549
"Wave_807",-0.337869097686722
"Wave_808",-0.176577250687613
"Wave_809",-0.413163873727267
"Wave_810",-0.361262772089837
"Wave_811",-0.259911504154042
"Wave_812",-0.216835040292194
"Wave_813",-0.131127891608511
"Wave_814",-0.17381266199099
"Wave_815",-0.346649783979866
"Wave_816",-0.392311502252482
"Wave_817",-0.347834545634863
"Wave_818",-0.272280937854656
"Wave_819",-0.0525476858481786
"Wave_820",-0.0503951402772099
"Wave_821",-0.139846493944938
"Wave_822",-0.246128902033611
"Wave_823",-0.184636003999908
"Wave_824",0.0126731220372057
"Wave_825",0.0510221016381091
"Wave_826",0.0269308580604015
"Wave_827",-0.0744241249370578
"Wave_828",-0.142731410728892
"Wave_829",-0.200041307900751
"Wave_830",-0.127914438465359
