"Spectra_Name","Location","Instrument","Species_Code","Measurement_Date","N.mu","N.q25","N.q975","Cab.mu","Cab.q25","Cab.q975","Car.mu","Car.q25","Car.q975","Canth.mu","Canth.q25","Canth.q975","Cbrown.mu","Cbrown.q25","Cbrown.q975","Cw.mu","Cw.q25","Cw.q975","Cm.mu","Cm.q25","Cm.q975"
"BNL1236","Utqiagvik","ASD_FieldSpec_3","SAPU15","20130725",1.65987008245614,1.65640225650498,1.67039797833324,59.5503136825038,59.1121369096489,60.7366281781308,21.1679436463985,20.3152824320535,23.6682731670547,3.55202219787206,3.36834021577835,4.10514221297252,0.00312539251526326,0.00219151797858534,0.00597178683182263,0.0168605909562395,0.0168179805015918,0.0169870707225502,0.00831460410031005,0.00818994452434201,0.00866932335133802
"BNL1238","Utqiagvik","ASD_FieldSpec_3","SAPU15","20130725",1.337435194746,1.33524839793228,1.34383329774252,45.4438532086828,45.1173121832883,46.3786692515959,14.5740731795633,14.0946890231962,15.9094155970481,1.96433088566239,1.84134571255733,2.32529550132891,0.00365062697717173,0.00248502723108757,0.0074701415488782,0.0131451227532652,0.0130984993575062,0.0132668623904454,0.00500987216558999,0.00491928252871084,0.00526858608674078
"BNL1240","Utqiagvik","ASD_FieldSpec_3","SAPU15","20130725",1.47566674243716,1.47293688657933,1.48389868389871,51.2535375400702,50.9557311692336,52.2590981346741,17.4946987418052,16.9756895663153,18.988607907917,2.29345061308913,2.16318677397416,2.7068900427001,0.00285374559048641,0.00202566616811203,0.00553573875457271,0.015232265311146,0.0151930114835172,0.015355601955736,0.00658658649496271,0.00648197088545867,0.00689227251507355
"BNL1242","Utqiagvik","ASD_FieldSpec_3","SAPU15","20130725",1.49492725590123,1.49214507451571,1.50293038716825,37.6154995771716,37.3524848495961,38.3371478936559,13.6343834904772,13.2661426635219,14.6431547329917,1.54912652366513,1.45177947376096,1.83518429895837,0.00417106275768347,0.00289573585453002,0.0083528950878213,0.0137137415770685,0.0136696761045805,0.0138325444355263,0.0055121123275783,0.0054151114839929,0.00577653611819978
"BNL1244","Utqiagvik","ASD_FieldSpec_3","SAPU15","20130725",1.49547408020022,1.49237292541405,1.50499231144896,42.2395483018003,41.9260709480904,43.0125573167688,14.9869840043151,14.5729353039732,16.2498967205137,2.08841364078848,1.97497904682792,2.40552689459475,0.00355314845125588,0.00250135038960742,0.00703844022265478,0.0152158708357389,0.0151724165492119,0.0153461530444589,0.00729222182645436,0.00717567846243549,0.00763328934955495
"BNL1245","Utqiagvik","ASD_FieldSpec_3","PEFR5","20130725",2.00240264062166,1.9961857055154,2.02126407255167,63.752478248125,63.3622930334173,64.8405735705632,20.5620172584775,20.0368626673583,22.1823609430511,2.77970389505399,2.61926484231281,3.25274021035586,0.011341709032817,0.00819234479588057,0.0207480571705129,0.0312501851915675,0.0311835250671164,0.0314386811829832,0.00263164456430711,0.00246511686019227,0.00312840592611445
"BNL1246","Utqiagvik","ASD_FieldSpec_3","SAPU15","20130725",1.58573338502315,1.5815704506258,1.59650646453093,48.7584014602393,48.2841685889086,50.2029097612002,13.7499899836734,13.1106714466781,15.5041279383819,2.14552176165642,1.95172168095158,2.70474359370326,0.0102602803427722,0.0069169026673264,0.0222463866956344,0.0134073340835778,0.0133465787113559,0.0135838604529969,0.00611640924486369,0.00597786511044433,0.00648893322745295
"BNL1247","Utqiagvik","ASD_FieldSpec_3","SAPU15","20130725",1.61447465416005,1.61065511872178,1.6244916679924,60.8418181241313,60.4940962533645,61.9401113036504,21.4311563970077,20.5505955664391,24.2108501074206,3.85008972442716,3.65311521572942,4.48315819510596,0.00281165628319962,0.002018252514548,0.00545970669390564,0.0172098321558616,0.0171604166701877,0.0173419129774629,0.00921806536098308,0.00908800258743747,0.00956437011333109
"BNL1248","Utqiagvik","ASD_FieldSpec_3","SAPU6","20130725",1.62924786635809,1.62292802000866,1.64592951661056,48.2313399852317,47.7967700929257,49.5327318051274,10.8130242737225,10.2598095797586,12.4639813201595,3.15677315920602,2.9860517738451,3.6548362890825,0.0225299379396339,0.0160355766998986,0.040922499802457,0.0255203938063705,0.0254333457730342,0.0257751665151506,0.00445127422567959,0.00422879865716751,0.00502662665180651
"BNL1249","Utqiagvik","ASD_FieldSpec_3","SAPU15","20130725",1.68828822008314,1.68332521745849,1.70226099678498,72.9771558486648,72.4207979615407,74.5257492239415,26.3845343426928,24.5877067946645,31.7573027774779,6.93553395681415,6.50220311242793,8.19385470543398,0.00409235902110287,0.00279868841306771,0.00773504264712771,0.0194127137599303,0.0193571758677335,0.0195690616803397,0.0100347537057964,0.00987028841511813,0.0105200792756654
