"","CN_ratio.16.comps"
"(Intercept)",22.2324591890387
"Wave_500",-0.157434964614001
"Wave_501",-0.15800826153209
"Wave_502",-0.1583119186216
"Wave_503",-0.154374293066858
"Wave_504",-0.144808815759355
"Wave_505",-0.13208359956654
"Wave_506",-0.120078714704602
"Wave_507",-0.103388577693423
"Wave_508",-0.0955986751983161
"Wave_509",-0.0848258968373918
"Wave_510",-0.0835641616736668
"Wave_511",-0.0799174410402085
"Wave_512",-0.0761222447963312
"Wave_513",-0.0677314161660012
"Wave_514",-0.0428171760432164
"Wave_515",-0.0285087856477677
"Wave_516",-0.0169461367892895
"Wave_517",-0.00267005948325567
"Wave_518",0.0109610257008354
"Wave_519",0.0268239442782306
"Wave_520",0.049258611978733
"Wave_521",0.0675703919509012
"Wave_522",0.0926166256739506
"Wave_523",0.105643156934834
"Wave_524",0.109320672672312
"Wave_525",0.13308496763806
"Wave_526",0.143220327095367
"Wave_527",0.149017104166904
"Wave_528",0.162880445692131
"Wave_529",0.165865519333473
"Wave_530",0.160005456698058
"Wave_531",0.171960849884144
"Wave_532",0.174852075776569
"Wave_533",0.179543986144092
"Wave_534",0.176815390285713
"Wave_535",0.167506921287818
"Wave_536",0.147111483353989
"Wave_537",0.126669043705676
"Wave_538",0.122243981659248
"Wave_539",0.120777310526907
"Wave_540",0.114280511890419
"Wave_541",0.0936445890590822
"Wave_542",0.0831046416454397
"Wave_543",0.0733935294140556
"Wave_544",0.0624012004833164
"Wave_545",0.0503403295286705
"Wave_546",0.0320288817845838
"Wave_547",0.0161235826019412
"Wave_548",-0.00939773443660195
"Wave_549",-0.0258014953286813
"Wave_550",-0.0373532725208394
"Wave_551",-0.0343525392640998
"Wave_552",-0.0138188353989526
"Wave_553",0.00929532605921544
"Wave_554",0.0226565036883706
"Wave_555",0.0282086059870156
"Wave_556",0.019542310587864
"Wave_557",0.0102472944876358
"Wave_558",0.00823253742189695
"Wave_559",0.0046948642469734
"Wave_560",0.00163758469416789
"Wave_561",-0.00360524822989678
"Wave_562",-0.0171244110182073
"Wave_563",-0.0220359578846185
"Wave_564",-0.0310722447496112
"Wave_565",-0.0539176756276093
"Wave_566",-0.0701420340006283
"Wave_567",-0.0785326660436075
"Wave_568",-0.0864861260935563
"Wave_569",-0.0988314329222656
"Wave_570",-0.109748590316565
"Wave_571",-0.129076138389009
"Wave_572",-0.148705692868678
"Wave_573",-0.153753994784255
"Wave_574",-0.156763026388699
"Wave_575",-0.157077136717841
"Wave_576",-0.154097031034806
"Wave_577",-0.154365755065873
"Wave_578",-0.157280631690338
"Wave_579",-0.166469940383642
"Wave_580",-0.17691434736801
"Wave_581",-0.182914493079915
"Wave_582",-0.179935628242695
"Wave_583",-0.177517006077493
"Wave_584",-0.166279633072452
"Wave_585",-0.159646599179665
"Wave_586",-0.157763904157325
"Wave_587",-0.156247483792305
"Wave_588",-0.156392711310234
"Wave_589",-0.155678833068386
"Wave_590",-0.146562683223834
"Wave_591",-0.13790240456209
"Wave_592",-0.132731795350212
"Wave_593",-0.125545616142502
"Wave_594",-0.118158764151918
"Wave_595",-0.113753330310065
"Wave_596",-0.0931962914057417
"Wave_597",-0.0711913534175734
"Wave_598",-0.0577275761299489
"Wave_599",-0.0559667546891237
"Wave_600",-0.0507548969988826
"Wave_601",-0.0453883081298061
"Wave_602",-0.0355340754460307
"Wave_603",-0.020041627276417
"Wave_604",-0.00820808011993607
"Wave_605",-0.00264330000451039
"Wave_606",0.000227091189067739
"Wave_607",0.0134768801084975
"Wave_608",0.0250817336831878
"Wave_609",0.0290899095276876
"Wave_610",0.0269756751164878
"Wave_611",0.0267034362055622
"Wave_612",0.0288588365641437
"Wave_613",0.0326196109468871
"Wave_614",0.0318035318979695
"Wave_615",0.0336474962373019
"Wave_616",0.0410117743203708
"Wave_617",0.0550824016955942
"Wave_618",0.0503409170676656
"Wave_619",0.0431188988676331
"Wave_620",0.0435960848215139
"Wave_621",0.0451598437512051
"Wave_622",0.0465409147728031
"Wave_623",0.0453912022750602
"Wave_624",0.0443149053411136
"Wave_625",0.0633295955400643
"Wave_626",0.0767886961278914
"Wave_627",0.0797312357997155
"Wave_628",0.0728825803632141
"Wave_629",0.0746201338466858
"Wave_630",0.0731490953586491
"Wave_631",0.0739933976133082
"Wave_632",0.0726593323052195
"Wave_633",0.0724523706176102
"Wave_634",0.0723446998833817
"Wave_635",0.0699051318386561
"Wave_636",0.0657570441190596
"Wave_637",0.068860630323016
"Wave_638",0.0740886985700478
"Wave_639",0.0743793679814796
"Wave_640",0.0819659318926026
"Wave_641",0.0861089792653395
"Wave_642",0.0920905391086632
"Wave_643",0.103093836231828
"Wave_644",0.117641277807868
"Wave_645",0.129990382907714
"Wave_646",0.139683601244703
"Wave_647",0.147781904269658
"Wave_648",0.14454108300555
"Wave_649",0.140556093009116
"Wave_650",0.141202716115461
"Wave_651",0.153360389152067
"Wave_652",0.160446897626135
"Wave_653",0.164149893194977
"Wave_654",0.159539185357909
"Wave_655",0.147824923707248
"Wave_656",0.140849191307973
"Wave_657",0.134373105820463
"Wave_658",0.129114914861716
"Wave_659",0.123878566035694
"Wave_660",0.116042322320203
"Wave_661",0.105502141709881
"Wave_662",0.0983610502989758
"Wave_663",0.0850486415361235
"Wave_664",0.0753817546256492
"Wave_665",0.0689469950297995
"Wave_666",0.0688383354956334
"Wave_667",0.074543141675375
"Wave_668",0.076447789259079
"Wave_669",0.0714249780038346
"Wave_670",0.0545070599409109
"Wave_671",0.0423901162879767
"Wave_672",0.0366524102015584
"Wave_673",0.0330203439098932
"Wave_674",0.0299987830540216
"Wave_675",0.0317070356504575
"Wave_676",0.0307505353220496
"Wave_677",0.026704659556391
"Wave_678",0.020300349676536
"Wave_679",0.0215271772463658
"Wave_680",0.0214770607735697
"Wave_681",0.0228400468189067
"Wave_682",0.0213458909208521
"Wave_683",0.0149619413567578
"Wave_684",0.00214496006841182
"Wave_685",-0.0132428589342707
"Wave_686",-0.0214888057743086
"Wave_687",-0.0296347828403207
"Wave_688",-0.0364439511323592
"Wave_689",-0.0329005216655043
"Wave_690",-0.0377656295272131
"Wave_691",-0.05028744183952
"Wave_692",-0.0503648954679872
"Wave_693",-0.0359650482002418
"Wave_694",-0.0364294739448043
"Wave_695",-0.0148543455627933
"Wave_696",0.00131681737453573
"Wave_697",0.0148162094947968
"Wave_698",0.0133451358187827
"Wave_699",0.0328823443827401
"Wave_700",0.0552210154171045
"Wave_701",0.0571636106142184
"Wave_702",0.0982720456911064
"Wave_703",0.103536160159363
"Wave_704",0.0985530872920379
"Wave_705",0.080242580339235
"Wave_706",0.103040602747406
"Wave_707",0.0938052472948447
"Wave_708",0.0720553685581647
"Wave_709",0.0209217131258689
"Wave_710",0.0516918698248707
"Wave_711",0.0672617741845852
"Wave_712",0.0488026622896222
"Wave_713",-0.0167353792759249
"Wave_714",0.015358131435597
"Wave_715",0.0266899087803669
"Wave_716",0.0188826237838787
"Wave_717",-0.028966759106047
"Wave_718",-0.0427738780183515
"Wave_719",-0.0146174821962065
"Wave_720",0.00444005619400021
"Wave_721",-0.0164156676075572
"Wave_722",-0.0333192068373288
"Wave_723",-0.0124283709735029
"Wave_724",-0.00483880484786917
"Wave_725",-0.0139074074959174
"Wave_726",0.00193214362139422
"Wave_727",-0.00687523360548853
"Wave_728",-0.0110252123122117
"Wave_729",0.000242197686660321
"Wave_730",-0.0149129499293834
"Wave_731",-0.0110596843786023
"Wave_732",-0.00340846512209039
"Wave_733",-0.0103768109320269
"Wave_734",-0.00681270613239102
"Wave_735",0.00586942069904678
"Wave_736",0.00492765065569158
"Wave_737",-0.00180110089675837
"Wave_738",-0.0300914068052786
"Wave_739",-0.0436654225097248
"Wave_740",-0.0630376111042895
"Wave_741",-0.0612829002285247
"Wave_742",-0.0734370962103479
"Wave_743",-0.055595281810593
"Wave_744",-0.0646607522370493
"Wave_745",-0.0933347704266236
"Wave_746",-0.103215973348753
"Wave_747",-0.1093887970338
"Wave_748",-0.105668832340745
"Wave_749",-0.0963831321353864
"Wave_750",-0.0793019359161897
"Wave_751",-0.0711188295052212
"Wave_752",-0.0689666428614676
"Wave_753",-0.0502063100823057
"Wave_754",-0.0283210596180094
"Wave_755",-0.0301175962857379
"Wave_756",-0.0277019459794812
"Wave_757",-0.0150386460812515
"Wave_758",-0.0103669144226502
"Wave_759",-0.0229719323984491
"Wave_760",-0.0270970907275052
"Wave_761",-0.0146254086256647
"Wave_762",-0.00983061808367119
"Wave_763",-0.0258035094763944
"Wave_764",-0.0178314002212668
"Wave_765",-0.0109299666283783
"Wave_766",-0.0109990963395585
"Wave_767",-0.00473783912464186
"Wave_768",0.00248262619964711
"Wave_769",0.00939060456960403
"Wave_770",0.0153005652500875
"Wave_771",0.0205365086866382
"Wave_772",0.0186084346199904
"Wave_773",-0.00285665577046441
"Wave_774",-0.00355402324109333
"Wave_775",0.00795797727777645
"Wave_776",0.0248255568332613
"Wave_777",0.00979315976437761
"Wave_778",-0.000711720321594863
"Wave_779",0.0102964797127968
"Wave_780",0.0208052768472276
"Wave_781",0.0479876225791183
"Wave_782",0.0413025757189711
"Wave_783",0.042488209526472
"Wave_784",0.02391780487645
"Wave_785",-0.0229694344370507
"Wave_786",-0.0187398648676454
"Wave_787",-0.00456263892940187
"Wave_788",0.012356855315767
"Wave_789",0.0222368417820227
"Wave_790",0.0401684141128967
"Wave_791",0.0214377658284687
"Wave_792",0.0103774454091219
"Wave_793",0.0169471209781695
"Wave_794",0.0283846612208791
"Wave_795",0.0478349837509077
"Wave_796",0.0703281406602306
"Wave_797",0.0685304020873912
"Wave_798",0.0383167835905523
"Wave_799",-1.35109326580146e-06
"Wave_800",0.0277630226481663
"Wave_801",0.038255401476794
"Wave_802",0.0440183650419804
"Wave_803",0.0686768573044779
"Wave_804",0.0808726268703114
"Wave_805",0.0642853888781253
"Wave_806",0.0564911641368033
"Wave_807",0.0555144325731385
"Wave_808",0.0424229345511993
"Wave_809",0.0761375880342437
"Wave_810",0.0778625068445157
"Wave_811",0.0665085354014963
"Wave_812",0.0525769473649682
"Wave_813",0.0658602858483467
"Wave_814",0.0739661302874599
"Wave_815",0.072425575854717
"Wave_816",0.0631474586797098
"Wave_817",0.0739336927847997
"Wave_818",0.0814897666028218
"Wave_819",0.0436740549203916
"Wave_820",0.0249120380108451
"Wave_821",0.0327525440675348
"Wave_822",0.044892522724712
"Wave_823",0.0546611164297792
"Wave_824",0.0379962170672558
"Wave_825",0.0470074834204977
"Wave_826",0.0422833909948075
"Wave_827",0.0413726214882137
"Wave_828",0.0555490155975748
"Wave_829",0.0492920403921452
"Wave_830",0.051870324244868
"Wave_831",0.0581277367262003
"Wave_832",0.0467206400137564
"Wave_833",0.0500663230166959
"Wave_834",0.0664398543411213
"Wave_835",0.0647871341908479
"Wave_836",0.0498644387287492
"Wave_837",0.071614786967903
"Wave_838",0.0946606790687058
"Wave_839",0.0891719937229189
"Wave_840",0.0721433154063473
"Wave_841",0.0250993989813185
"Wave_842",-0.024567110752317
"Wave_843",-0.00255791976072088
"Wave_844",0.0140409690246758
"Wave_845",0.0363002149057032
"Wave_846",0.0401767015503223
"Wave_847",0.0225295029562626
"Wave_848",-0.0185838009600318
"Wave_849",0.0318490870976227
"Wave_850",0.0230456264133783
"Wave_851",0.0378254594897956
"Wave_852",0.0439047682465132
"Wave_853",0.0113961695173756
"Wave_854",0.0467046462340766
"Wave_855",0.0378754278986261
"Wave_856",0.00591959809367356
"Wave_857",-0.00652689139195655
"Wave_858",-0.00324872311405643
"Wave_859",-0.0202121597362704
"Wave_860",-0.0762107890739333
"Wave_861",-0.0605373007598909
"Wave_862",-0.0406566032951151
"Wave_863",-0.0166129985532808
"Wave_864",0.011388323663475
"Wave_865",0.000133608828609557
"Wave_866",-0.00493061764198623
"Wave_867",0.0010919757357171
"Wave_868",0.00684101041906017
"Wave_869",0.0158761253196636
"Wave_870",0.0367997162909795
"Wave_871",0.045157431330986
"Wave_872",0.0238970806812223
"Wave_873",0.0226164486141638
"Wave_874",0.000667036376585217
"Wave_875",-0.0414332874091007
"Wave_876",-0.0538655138959724
"Wave_877",-0.0189770988695056
"Wave_878",-0.0162382197024898
"Wave_879",-0.00617558486013671
"Wave_880",0.0155384038338534
"Wave_881",-0.0102070048225341
"Wave_882",0.00858172651878228
"Wave_883",-0.0191045378790164
"Wave_884",-0.0188764976128618
"Wave_885",-0.0240336351603115
"Wave_886",-0.0164123614765926
"Wave_887",-0.00559280403014782
"Wave_888",0.00764472199837767
"Wave_889",0.0116333414498077
"Wave_890",-0.00344069544028867
"Wave_891",-0.00338415516451709
"Wave_892",-0.0081724435428054
"Wave_893",-0.0191775309522655
"Wave_894",-0.00275737539346644
"Wave_895",-0.00996087634830105
"Wave_896",-0.0119671019068323
"Wave_897",-0.0123914053728578
"Wave_898",-0.0271132918765181
"Wave_899",-0.0399282219111759
"Wave_900",-0.00703713256367679
"Wave_901",0.00288517706084188
"Wave_902",0.0294459470200864
"Wave_903",0.036467425605987
"Wave_904",0.00745519815898367
"Wave_905",-0.0351593556383741
"Wave_906",-0.0345022639188663
"Wave_907",-0.045177934680515
"Wave_908",0.00520291776044631
"Wave_909",0.0297078657137355
"Wave_910",0.0295085259578664
"Wave_911",0.0222630449155412
"Wave_912",0.0226103781651701
"Wave_913",-0.0235909121137826
"Wave_914",-0.0252808881971088
"Wave_915",0.017896255106347
"Wave_916",0.0410780472786294
"Wave_917",0.0374613923234187
"Wave_918",0.0363557828054882
"Wave_919",0.0554730426524538
"Wave_920",-0.00385488038266149
"Wave_921",-0.0269846042191537
"Wave_922",-0.0705688473062781
"Wave_923",-0.0958955173305035
"Wave_924",-0.0784809461598535
"Wave_925",-0.038341325138862
"Wave_926",0.00759131898266937
"Wave_927",-0.0189630415996249
"Wave_928",-0.0335125513084437
"Wave_929",-0.0752832208378121
"Wave_930",-0.0556398640348227
"Wave_931",-0.0194609341548139
"Wave_932",-0.00923899486554093
"Wave_933",-0.0105634368798437
"Wave_934",-0.0205246636503846
"Wave_935",-0.108532753374209
"Wave_936",-0.0853481423059186
"Wave_937",-0.0521298513880222
"Wave_938",-0.0148048344703939
"Wave_939",-0.00674998330226873
"Wave_940",-0.0346352988711196
"Wave_941",-0.0123298094448315
"Wave_942",-0.0206861578935553
"Wave_943",-0.0259890986389902
"Wave_944",-0.0418189503993801
"Wave_945",-0.0280475570534464
"Wave_946",-0.0174152589791768
"Wave_947",-0.0389380626419644
"Wave_948",0.0119296916161264
"Wave_949",-0.00101750875365233
"Wave_950",0.0341642941925387
"Wave_951",0.0154238959903939
"Wave_952",-0.0282037706295466
"Wave_953",-0.0486932027227302
"Wave_954",-0.053299766068532
"Wave_955",-0.0293793352160723
"Wave_956",0.0324923166656082
"Wave_957",0.0507770306461438
"Wave_958",0.0337997634294483
"Wave_959",-0.0154748031281333
"Wave_960",0.0140112847123725
"Wave_961",0.023260386225684
"Wave_962",-0.0449020559159984
"Wave_963",0.0303963131888502
"Wave_964",0.0130155406342691
"Wave_965",-0.0244931982724446
"Wave_966",-0.0302105595869989
"Wave_967",0.0228659019110837
"Wave_968",0.0727179522231659
"Wave_969",0.0741860617998539
"Wave_970",-0.0469178867698539
"Wave_971",-0.07296541606407
"Wave_972",-0.064628636243408
"Wave_973",-0.0198193111242134
"Wave_974",0.0398928569701914
"Wave_975",0.035774525102684
"Wave_976",-0.0428132061000466
"Wave_977",-0.115035668316796
"Wave_978",-0.0644318879631412
"Wave_979",-0.0235297090529667
"Wave_980",0.00577921088150709
"Wave_981",0.0168018102190474
"Wave_982",0.027096766059243
"Wave_983",0.0233058649796844
"Wave_984",0.00513106990554009
"Wave_985",-0.00524231156811142
"Wave_986",-0.0155188359937145
"Wave_987",-0.0187638083871174
"Wave_988",0.00394217347314679
"Wave_989",0.0267091855527151
"Wave_990",0.0513113940287165
"Wave_991",0.0663573859688956
"Wave_992",0.0506181258361756
"Wave_993",0.038108959641177
"Wave_994",0.0240777767371341
"Wave_995",0.0116773786181067
"Wave_996",0.0142016670499057
"Wave_997",0.0172731295640172
"Wave_998",0.0194468913799446
"Wave_999",0.0166196242203643
"Wave_1000",0.0130873049855489
"Wave_1001",0.0093771897040581
"Wave_1002",0.00534088083147754
"Wave_1003",0.0100304661372853
"Wave_1004",0.019199012111119
"Wave_1005",0.0283153353831586
"Wave_1006",0.0351397495285912
"Wave_1007",0.0339531317746381
"Wave_1008",0.0307783880844229
"Wave_1009",0.0269495785345905
"Wave_1010",0.0235192786281183
"Wave_1011",0.0188424243118566
"Wave_1012",0.0129170976414304
"Wave_1013",0.00704997957073248
"Wave_1014",-0.00209820376193881
"Wave_1015",-0.0119430854307339
"Wave_1016",-0.0220344110681469
"Wave_1017",-0.0317037173484658
"Wave_1018",-0.0354230772691085
"Wave_1019",-0.0402583828932214
"Wave_1020",-0.0446955969723698
"Wave_1021",-0.0488018218771149
"Wave_1022",-0.051040422042944
"Wave_1023",-0.0525823730294411
"Wave_1024",-0.0541450710684277
"Wave_1025",-0.0551959042076586
"Wave_1026",-0.0581201504666229
"Wave_1027",-0.0610861369974073
"Wave_1028",-0.0644792219350246
"Wave_1029",-0.064436549011393
"Wave_1030",-0.0601696331954535
"Wave_1031",-0.0563285402378139
"Wave_1032",-0.0524435566824275
"Wave_1033",-0.0464381010792823
"Wave_1034",-0.0419782296729928
"Wave_1035",-0.0362082856774198
"Wave_1036",-0.0298562787010763
"Wave_1037",-0.0301849743850275
"Wave_1038",-0.0343785144621507
"Wave_1039",-0.0392784321851183
"Wave_1040",-0.0454253150774568
"Wave_1041",-0.0471439836409366
"Wave_1042",-0.0468401996792316
"Wave_1043",-0.0474468015249256
"Wave_1044",-0.0479097822299048
"Wave_1045",-0.0475832525464839
"Wave_1046",-0.046653027651437
"Wave_1047",-0.045793063786487
"Wave_1048",-0.0448022260596189
"Wave_1049",-0.0430583313640002
"Wave_1050",-0.0422426882750423
"Wave_1051",-0.0414923835110743
"Wave_1052",-0.0403970691348675
"Wave_1053",-0.0437597463088917
"Wave_1054",-0.0478802817639481
"Wave_1055",-0.0520617387119112
"Wave_1056",-0.0575836602085379
"Wave_1057",-0.0615566480084942
"Wave_1058",-0.0653795218910139
"Wave_1059",-0.0694593314748005
"Wave_1060",-0.0711302886645015
"Wave_1061",-0.0726161483985936
"Wave_1062",-0.0742989838192899
"Wave_1063",-0.0755527716231626
"Wave_1064",-0.0774719639705987
"Wave_1065",-0.079552305409004
"Wave_1066",-0.0810451112285459
"Wave_1067",-0.082611136638676
"Wave_1068",-0.0815711928675717
"Wave_1069",-0.0799038837011602
"Wave_1070",-0.0778223006919606
"Wave_1071",-0.0760613131802497
"Wave_1072",-0.078302339106305
"Wave_1073",-0.0816461525417803
"Wave_1074",-0.0850795252669138
"Wave_1075",-0.0876800853051794
"Wave_1076",-0.0856408395303219
"Wave_1077",-0.0819213645876937
"Wave_1078",-0.0779698852250388
"Wave_1079",-0.0775952577327593
"Wave_1080",-0.081781028596775
"Wave_1081",-0.0866892262768974
"Wave_1082",-0.0915158093431456
"Wave_1083",-0.094910449868288
"Wave_1084",-0.0970074575991354
"Wave_1085",-0.0983737616889905
"Wave_1086",-0.100056845726831
"Wave_1087",-0.100149936003571
"Wave_1088",-0.0980415007112489
"Wave_1089",-0.0957481875669483
"Wave_1090",-0.0941331497617547
"Wave_1091",-0.0930472508850825
"Wave_1092",-0.0943541554976332
"Wave_1093",-0.0957593689030324
"Wave_1094",-0.0965116632627498
"Wave_1095",-0.0956604912451618
"Wave_1096",-0.093330731501777
"Wave_1097",-0.0909463317877801
"Wave_1098",-0.0862374834969065
"Wave_1099",-0.079189930630925
"Wave_1100",-0.0721747644507861
"Wave_1101",-0.0651392829530533
"Wave_1102",-0.0617976947508672
"Wave_1103",-0.059309850214687
"Wave_1104",-0.0571142958816258
"Wave_1105",-0.0541703231782385
"Wave_1106",-0.0517320425195448
"Wave_1107",-0.0506814822883785
"Wave_1108",-0.0489105351355315
"Wave_1109",-0.0485887085966994
"Wave_1110",-0.0505964030591229
"Wave_1111",-0.0501701048921266
"Wave_1112",-0.0502583585215288
"Wave_1113",-0.0501539652892094
"Wave_1114",-0.0484354159968408
"Wave_1115",-0.0461844502128991
"Wave_1116",-0.0441637663756592
"Wave_1117",-0.0435143485100503
"Wave_1118",-0.0450763974868218
"Wave_1119",-0.0484210373041514
"Wave_1120",-0.0522005848806731
"Wave_1121",-0.0558668088012914
"Wave_1122",-0.0570641055616601
"Wave_1123",-0.0576579654076332
"Wave_1124",-0.0596820719652109
"Wave_1125",-0.0586979254410858
"Wave_1126",-0.0583668807020387
"Wave_1127",-0.0569691878626562
"Wave_1128",-0.0568031506715049
"Wave_1129",-0.0537494494624675
"Wave_1130",-0.0497017049090906
"Wave_1131",-0.0456774328608013
"Wave_1132",-0.0439769440100753
"Wave_1133",-0.0405190059945237
"Wave_1134",-0.0372520397000222
"Wave_1135",-0.0335883290268077
"Wave_1136",-0.0329374277589425
