"","Jmax25_Rog.4.comps"
"(Intercept)",288.851575397328
"Wave_500",0.111050575585562
"Wave_501",0.11207533613698
"Wave_502",0.111821539460107
"Wave_503",0.110768454228826
"Wave_504",0.11026006968803
"Wave_505",0.109019157176269
"Wave_506",0.108306403100292
"Wave_507",0.109068698999018
"Wave_508",0.108749749617431
"Wave_509",0.108430395432813
"Wave_510",0.107849366832803
"Wave_511",0.106051579359429
"Wave_512",0.104314343410548
"Wave_513",0.102994652995089
"Wave_514",0.101740264829659
"Wave_515",0.100710746861951
"Wave_516",0.0987006279568436
"Wave_517",0.0956200030680148
"Wave_518",0.0925342436296678
"Wave_519",0.0894867074201854
"Wave_520",0.0859182879331753
"Wave_521",0.0826331241080863
"Wave_522",0.0790131656759529
"Wave_523",0.0750429182557465
"Wave_524",0.0702325079154286
"Wave_525",0.0669264278625516
"Wave_526",0.0630352537354342
"Wave_527",0.0596926464442688
"Wave_528",0.0570992740543615
"Wave_529",0.0548722812992628
"Wave_530",0.0533895277534705
"Wave_531",0.0511904514995593
"Wave_532",0.0492389510333852
"Wave_533",0.0475447347485156
"Wave_534",0.0453737025279123
"Wave_535",0.0447313217014932
"Wave_536",0.0446314085340408
"Wave_537",0.0445184103372991
"Wave_538",0.0436559865186196
"Wave_539",0.0423419583134642
"Wave_540",0.041282016380024
"Wave_541",0.0404876618157305
"Wave_542",0.0397272460595213
"Wave_543",0.0393081383500242
"Wave_544",0.0392239219140347
"Wave_545",0.0391791489418265
"Wave_546",0.0387793307889242
"Wave_547",0.0379315739149924
"Wave_548",0.0368879695899011
"Wave_549",0.0367925770389448
"Wave_550",0.0380401290906459
"Wave_551",0.0384709657115993
"Wave_552",0.0387132403990788
"Wave_553",0.0402269176410589
"Wave_554",0.0412118776942405
"Wave_555",0.0412744739921324
"Wave_556",0.042282824475823
"Wave_557",0.0430940104852809
"Wave_558",0.042683591872545
"Wave_559",0.0429755885407757
"Wave_560",0.0436112844428425
"Wave_561",0.0441922160079357
"Wave_562",0.0448724612822941
"Wave_563",0.0461524524194797
"Wave_564",0.0474431572083713
"Wave_565",0.049350762655311
"Wave_566",0.0509118616551212
"Wave_567",0.0533199531969887
"Wave_568",0.0552158236965831
"Wave_569",0.0573369138387886
"Wave_570",0.0588458594270983
"Wave_571",0.0600250807901489
"Wave_572",0.0612156548802504
"Wave_573",0.062819104555813
"Wave_574",0.0634527262180749
"Wave_575",0.0638858636680609
"Wave_576",0.0644839529816601
"Wave_577",0.0645767440510793
"Wave_578",0.0650949112856062
"Wave_579",0.0656698595046449
"Wave_580",0.0663591204392939
"Wave_581",0.0675908545977805
"Wave_582",0.0679621509287553
"Wave_583",0.0681456487060363
"Wave_584",0.0682714066116262
"Wave_585",0.0689418537612401
"Wave_586",0.0696158156351965
"Wave_587",0.070390595198061
"Wave_588",0.0706434818217291
"Wave_589",0.0708645273322426
"Wave_590",0.0713157094131407
"Wave_591",0.0716727107053138
"Wave_592",0.0720847437289856
"Wave_593",0.0725032408357549
"Wave_594",0.0726666637133659
"Wave_595",0.0728506084733821
"Wave_596",0.073041990393177
"Wave_597",0.073596308778984
"Wave_598",0.0742783518140277
"Wave_599",0.0746456580376098
"Wave_600",0.0752259540927378
"Wave_601",0.0761639417724126
"Wave_602",0.0772427632077388
"Wave_603",0.0785728875287695
"Wave_604",0.0796379365723754
"Wave_605",0.080538798366399
"Wave_606",0.0814796822477549
"Wave_607",0.0821788007671655
"Wave_608",0.0830114130513636
"Wave_609",0.083533642008901
"Wave_610",0.0840147235507135
"Wave_611",0.0847321521536713
"Wave_612",0.0853648522186537
"Wave_613",0.0859414753311832
"Wave_614",0.0865813453985846
"Wave_615",0.0863822770476535
"Wave_616",0.0863141335885338
"Wave_617",0.0861505459304936
"Wave_618",0.0863259888139588
"Wave_619",0.0864406778853835
"Wave_620",0.0864009358840581
"Wave_621",0.0862800177934144
"Wave_622",0.0859976822834854
"Wave_623",0.0858351541145706
"Wave_624",0.0855983635834066
"Wave_625",0.0855024297279775
"Wave_626",0.0852520870572986
"Wave_627",0.0849434783532425
"Wave_628",0.0846304752157256
"Wave_629",0.0840852036189904
"Wave_630",0.0834226942378661
"Wave_631",0.0828558969846516
"Wave_632",0.0825245543181916
"Wave_633",0.0830788487083846
"Wave_634",0.0835461610047631
"Wave_635",0.0835776975945357
"Wave_636",0.0834917467241973
"Wave_637",0.0844458348812032
"Wave_638",0.0857396315252327
"Wave_639",0.0872756994527206
