"","x"
"Wave_500",0.318006257780978
"Wave_501",0.319893907803322
"Wave_502",0.32234692146402
"Wave_503",0.324658540716126
"Wave_504",0.327447301176367
"Wave_505",0.33050812441544
"Wave_506",0.33370443829226
"Wave_507",0.337267132717518
"Wave_508",0.341482632516843
"Wave_509",0.345940642477496
"Wave_510",0.351222338643174
"Wave_511",0.356641033847436
"Wave_512",0.36216962048013
"Wave_513",0.368533454092303
"Wave_514",0.375262102584069
"Wave_515",0.382823869608456
"Wave_516",0.39095205210139
"Wave_517",0.399769262287688
"Wave_518",0.408415891008949
"Wave_519",0.41672661188616
"Wave_520",0.424037132207546
"Wave_521",0.43214786974209
"Wave_522",0.440825348289548
"Wave_523",0.450073786552976
"Wave_524",0.459024417015061
"Wave_525",0.468319790847735
"Wave_526",0.47792249021222
"Wave_527",0.488451310802054
"Wave_528",0.499957439970711
"Wave_529",0.512664535449751
"Wave_530",0.525650268220818
"Wave_531",0.537030419944488
"Wave_532",0.549697186023772
"Wave_533",0.563359617241139
"Wave_534",0.576108382618323
"Wave_535",0.590079772192795
"Wave_536",0.604650330676093
"Wave_537",0.616970622836636
"Wave_538",0.628762860856986
"Wave_539",0.640661072367811
"Wave_540",0.651936522682951
"Wave_541",0.661657482808141
"Wave_542",0.677754861443352
"Wave_543",0.68791463804197
"Wave_544",0.697227007113357
"Wave_545",0.706835793790616
"Wave_546",0.705367441152837
"Wave_547",0.704173595184863
"Wave_548",0.703523855248712
"Wave_549",0.714032244456493
"Wave_550",0.728405004743825
"Wave_551",0.740832739709939
"Wave_552",0.746159445420432
"Wave_553",0.749949358143493
"Wave_554",0.754767861385348
"Wave_555",0.758071919121418
"Wave_556",0.76006769421357
"Wave_557",0.760782358397859
"Wave_558",0.757106450340301
"Wave_559",0.755105097130652
"Wave_560",0.760244662348072
"Wave_561",0.763655695518412
"Wave_562",0.768424013116913
"Wave_563",0.773478208465121
"Wave_564",0.777994180959772
"Wave_565",0.779163555542661
"Wave_566",0.77812760686788
"Wave_567",0.774033099710181
"Wave_568",0.769909720412568
"Wave_569",0.76470786387673
"Wave_570",0.757317732056793
"Wave_571",0.746343853083578
"Wave_572",0.735896815601455
"Wave_573",0.726212994174365
"Wave_574",0.716980303952537
"Wave_575",0.708410260684175
"Wave_576",0.699430048221627
"Wave_577",0.691175529991681
"Wave_578",0.684705373500746
"Wave_579",0.678221103712737
"Wave_580",0.673618793474537
"Wave_581",0.670174793062408
"Wave_582",0.666829857570852
"Wave_583",0.664334850226933
"Wave_584",0.661716752756056
"Wave_585",0.659719959733982
"Wave_586",0.658072011556056
"Wave_587",0.657030178168561
"Wave_588",0.657028825319852
"Wave_589",0.657929780578602
"Wave_590",0.659665322090487
"Wave_591",0.661767358893066
"Wave_592",0.663973938979479
"Wave_593",0.666347079328117
"Wave_594",0.669412603003933
"Wave_595",0.673680720469414
"Wave_596",0.678156434334393
