"","Narea_g_m2.9.comps"
"Wave_692",-0.00357205764137156
"Wave_693",-0.0049992909912477
"Wave_694",-0.00656004697610984
"Wave_695",-0.00758005225199295
"Wave_696",-0.00854892307280919
"Wave_697",-0.00949179147759461
"Wave_698",-0.0107943849858751
"Wave_699",-0.0115345700337042
"Wave_700",-0.0119232539956783
"Wave_701",-0.0124042979582707
"Wave_702",-0.0124246130278736
"Wave_703",-0.0122275487262351
"Wave_704",-0.012107433533742
"Wave_705",-0.0119895930858634
"Wave_706",-0.0109419963177013
"Wave_707",-0.0103508557273614
"Wave_708",-0.00997477790162674
"Wave_709",-0.00944283545821379
"Wave_710",-0.00846319522465206
"Wave_711",-0.00718558680945893
"Wave_712",-0.00630128500410869
"Wave_713",-0.0059152246715526
"Wave_714",-0.00450916710843009
"Wave_715",-0.00365230387751764
"Wave_716",-0.00341360876097935
"Wave_717",-0.00346391544801348
"Wave_718",-0.00281662361435902
"Wave_719",-0.00123088988074677
"Wave_720",0.000875782447174591
"Wave_721",0.0020041261174617
"Wave_722",0.00255639292593287
"Wave_723",0.0031411782036808
"Wave_724",0.00384505146060362
"Wave_725",0.00436445162827552
"Wave_726",0.00530155034681065
"Wave_727",0.00601527506587709
"Wave_728",0.00630196385902458
"Wave_729",0.0068965008316938
"Wave_730",0.00730561493567911
"Wave_731",0.00802644028087683
"Wave_732",0.00869157286949258
"Wave_733",0.00907685410218589
"Wave_734",0.00863183111210199
"Wave_735",0.00826218363875513
"Wave_736",0.00796216175419837
"Wave_737",0.00733826364282003
"Wave_738",0.00731369521890364
"Wave_739",0.00706914118737704
"Wave_740",0.00656180210454014
"Wave_741",0.0060034427888314
"Wave_742",0.00562134215453112
"Wave_743",0.00562011372649915
"Wave_744",0.00528577227378251
"Wave_745",0.0045868598854052
"Wave_746",0.00419457747910696
"Wave_747",0.00366647746129809
"Wave_748",0.00304286363681588
"Wave_749",0.00258564024835342
"Wave_750",0.00232924335924101
"Wave_751",0.00241624064248525
"Wave_752",0.00218072607345385
"Wave_753",0.0019354457309269
"Wave_754",0.00177860784626454
"Wave_755",0.00170998494174205
"Wave_756",0.0014285948847294
"Wave_757",0.000594742884537863
"Wave_758",-0.000691953869164653
"Wave_759",-0.00274058951806595
"Wave_760",-0.00461108629554492
"Wave_761",-0.00521988745779996
"Wave_762",-0.00365344277569601
"Wave_763",-0.0020923430814981
"Wave_764",-0.000660115710304217
"Wave_765",0.000539776057120031
"Wave_766",0.0013375249602
"Wave_767",0.00109864685571633
"Wave_768",0.00107349572001241
"Wave_769",0.00113692525697373
"Wave_770",0.00112424970478719
"Wave_771",0.000628570423601837
"Wave_772",0.000406105396437151
"Wave_773",0.00023059211109057
"Wave_774",0.000133146543427594
"Wave_775",0.000266556206832623
"Wave_776",0.000129749352692392
"Wave_777",4.19473410621467e-05
"Wave_778",0.000272523035797316
"Wave_779",0.00042390808167803
"Wave_780",0.00017299395642474
"Wave_781",0.000379012686145473
"Wave_782",-2.52728883352957e-06
"Wave_783",-0.000113523866133415
"Wave_784",4.42966916026843e-05
"Wave_785",0.000489362721723086
"Wave_786",0.000258696513756253
"Wave_787",0.000108782842885281
"Wave_788",-8.7139138773278e-06
"Wave_789",5.40645653066082e-05
"Wave_790",0.00034184037178374
"Wave_791",-1.93482210868944e-05
"Wave_792",-9.99470676178597e-05
