"","Vcmax_Spec_Tleaf.9.comps"
"(Intercept)",34.5833522069644
"Wave_500",-0.332284716088995
"Wave_501",-0.309186549893817
"Wave_502",-0.283662849787807
"Wave_503",-0.264929493546944
"Wave_504",-0.240022914016627
"Wave_505",-0.221642714520945
"Wave_506",-0.203297163507691
"Wave_507",-0.191539893515037
"Wave_508",-0.171314809020422
"Wave_509",-0.146702703623859
"Wave_510",-0.118342248675538
"Wave_511",-0.0890891172185703
"Wave_512",-0.0603820803093615
"Wave_513",-0.0340642326989147
"Wave_514",-0.00782561414399714
"Wave_515",0.0212624364261219
"Wave_516",0.050828049599398
"Wave_517",0.0799105410070489
"Wave_518",0.109606923070207
"Wave_519",0.130864597499765
"Wave_520",0.141398850044839
"Wave_521",0.146696643211468
"Wave_522",0.143626925010847
"Wave_523",0.139083096883446
"Wave_524",0.139313555152784
"Wave_525",0.13315016138092
"Wave_526",0.129937102776467
"Wave_527",0.136835810200575
"Wave_528",0.113400448375388
"Wave_529",0.101096673864625
"Wave_530",0.0949444284023788
"Wave_531",0.0734710451980237
"Wave_532",0.0637727627139839
"Wave_533",0.0527702617543915
"Wave_534",0.0309603278705271
"Wave_535",0.0127380356292912
"Wave_536",0.00327420836016484
"Wave_537",-0.00257933926756149
"Wave_538",-0.0106434644363319
"Wave_539",-0.0194182980851322
"Wave_540",-0.0256612728212938
"Wave_541",-0.0284565240739847
"Wave_542",-0.0374424393403186
"Wave_543",-0.0428708448035103
"Wave_544",-0.047264750920882
"Wave_545",-0.0572949469887509
"Wave_546",-0.0650447823792429
"Wave_547",-0.0729001828903562
"Wave_548",-0.0833621087211593
"Wave_549",-0.0923155148010144
"Wave_550",-0.0916557556898263
"Wave_551",-0.0874788389624525
"Wave_552",-0.0819122331265558
"Wave_553",-0.0826345403024336
"Wave_554",-0.0874330091833731
"Wave_555",-0.0931576939683333
"Wave_556",-0.0881098386938642
"Wave_557",-0.0946126045323178
"Wave_558",-0.107945378709046
"Wave_559",-0.113857590444063
"Wave_560",-0.119236106751476
"Wave_561",-0.121504485233359
"Wave_562",-0.11852691916723
"Wave_563",-0.114880330068163
"Wave_564",-0.115440218292326
"Wave_565",-0.114478612096044
"Wave_566",-0.112834989624765
"Wave_567",-0.105705454992325
"Wave_568",-0.0964055760756499
"Wave_569",-0.0861118287079235
"Wave_570",-0.092063244732624
"Wave_571",-0.0873266376441841
"Wave_572",-0.0814055014707136
"Wave_573",-0.0740276174852018
"Wave_574",-0.0638713571160312
"Wave_575",-0.059762362478518
"Wave_576",-0.0591796587131575
"Wave_577",-0.0636568247838879
"Wave_578",-0.0647949128639422
"Wave_579",-0.0626342293063082
"Wave_580",-0.0590004582687971
