"","Jmax_Spec_Tleaf.9.comps"
"Wave_701",0.397391483741301
"Wave_702",0.385431429203014
"Wave_703",0.371236222233818
"Wave_704",0.3522173238655
"Wave_705",0.327408944490041
"Wave_706",0.292308813475102
"Wave_707",0.257005268155414
"Wave_708",0.22384704932919
"Wave_709",0.195944970813905
"Wave_710",0.147990848628079
"Wave_711",0.0979805125650626
"Wave_712",0.0486758400814105
"Wave_713",-0.00651280548683578
"Wave_714",-0.0595815926684565
"Wave_715",-0.112589551579091
"Wave_716",-0.143045645984376
"Wave_717",-0.160939266747735
"Wave_718",-0.204726541650152
"Wave_719",-0.269844202956742
"Wave_720",-0.349642400956279
"Wave_721",-0.427062636641911
"Wave_722",-0.477869135502095
"Wave_723",-0.512696818232408
"Wave_724",-0.531034106286998
"Wave_725",-0.55347606793739
"Wave_726",-0.602595463206856
"Wave_727",-0.647392255915145
"Wave_728",-0.659635933942477
"Wave_729",-0.673991734981599
"Wave_730",-0.68590621786707
"Wave_731",-0.69241218399553
"Wave_732",-0.7015899226954
"Wave_733",-0.714504892936821
"Wave_734",-0.70788781781366
"Wave_735",-0.680388331642583
"Wave_736",-0.640119938433809
"Wave_737",-0.595353210850049
"Wave_738",-0.553174351989541
"Wave_739",-0.520616001464074
"Wave_740",-0.471884931530668
"Wave_741",-0.419104216207416
"Wave_742",-0.382092690437578
"Wave_743",-0.34155806874797
"Wave_744",-0.292865281921285
"Wave_745",-0.235407725692581
"Wave_746",-0.191012785816428
"Wave_747",-0.145933348933857
"Wave_748",-0.100061849344717
"Wave_749",-0.0539399142839085
"Wave_750",-0.012434034571038
"Wave_751",0.0255243217500767
"Wave_752",0.0644378171110271
"Wave_753",0.089939155596176
"Wave_754",0.107716607473187
"Wave_755",0.125249426818578
"Wave_756",0.15157730121422
"Wave_757",0.174946343787416
"Wave_758",0.244360013343628
"Wave_759",0.343828664403912
"Wave_760",0.464004543855736
"Wave_761",0.545319092208298
"Wave_762",0.560237534135322
"Wave_763",0.480448344742516
"Wave_764",0.423406923075591
"Wave_765",0.38575723543056
"Wave_766",0.331552731277206
"Wave_767",0.308460286230217
"Wave_768",0.306199721627233
"Wave_769",0.309103350501809
"Wave_770",0.316965551353667
"Wave_771",0.334511572871833
"Wave_772",0.32678725499491
"Wave_773",0.313879237085906
"Wave_774",0.294609350385205
"Wave_775",0.292518911659442
"Wave_776",0.309880470874406
"Wave_777",0.315621409884635
"Wave_778",0.313133169590651
"Wave_779",0.310703913851122
"Wave_780",0.304426177698568
"Wave_781",0.295977895897693
"Wave_782",0.295297492539275
"Wave_783",0.284314273392802
"Wave_784",0.269695370270409
"Wave_785",0.263545193624948
"Wave_786",0.259975906695948
"Wave_787",0.255197099394964
"Wave_788",0.264243594348554
"Wave_789",0.256329462941685
"Wave_790",0.230228890868372
"Wave_791",0.240992794119137
"Wave_792",0.243543367389728
"Wave_793",0.233367873631422
"Wave_794",0.217342110847503
"Wave_795",0.20128350681903
"Wave_796",0.192858002578262
