"","Jmax_Spec_Tleaf.4.comps"
"(Intercept)",147.382426437465
"Wave_500",-0.0144073606723152
"Wave_501",-0.0142056858135137
"Wave_502",-0.0140601488217701
"Wave_503",-0.0138572195609237
"Wave_504",-0.013745383681778
"Wave_505",-0.013701886304323
"Wave_506",-0.0136857667103698
"Wave_507",-0.0135407835095183
"Wave_508",-0.0135660219091218
"Wave_509",-0.013691479523832
"Wave_510",-0.0138036951173479
"Wave_511",-0.0139227588816918
"Wave_512",-0.0141254335259798
"Wave_513",-0.0143326442571079
"Wave_514",-0.0145519536366532
"Wave_515",-0.0146628592271244
"Wave_516",-0.0147870290366782
"Wave_517",-0.015092605176018
"Wave_518",-0.0160066142775022
"Wave_519",-0.0171834089864029
"Wave_520",-0.0186825322846646
"Wave_521",-0.0200636114885054
"Wave_522",-0.0216455640048875
"Wave_523",-0.023306823838064
"Wave_524",-0.0251142380515617
"Wave_525",-0.026792801619233
"Wave_526",-0.0285816968604609
"Wave_527",-0.0307735241755986
"Wave_528",-0.0335346974630482
"Wave_529",-0.0360850706208774
"Wave_530",-0.0384823930990825
"Wave_531",-0.0405111216245876
"Wave_532",-0.0427245490276871
"Wave_533",-0.0452093817159354
"Wave_534",-0.0473407714349779
"Wave_535",-0.0495295541113203
"Wave_536",-0.0515706907404051
"Wave_537",-0.0532539561820126
"Wave_538",-0.0550140049759407
"Wave_539",-0.0566456095023534
"Wave_540",-0.0581225044489774
"Wave_541",-0.0596190728774847
"Wave_542",-0.0615672612463198
"Wave_543",-0.0631988410785781
"Wave_544",-0.0648395552247354
"Wave_545",-0.0661967113063247
"Wave_546",-0.0655149582208769
"Wave_547",-0.0646498597839713
"Wave_548",-0.0638412079851577
"Wave_549",-0.0638781165562402
"Wave_550",-0.0644518525335543
"Wave_551",-0.0653957208295685
"Wave_552",-0.0664958431334147
"Wave_553",-0.0685593571502371
"Wave_554",-0.0703298468983786
"Wave_555",-0.0713735980985074
"Wave_556",-0.0715326987907457
"Wave_557",-0.0721283335656947
"Wave_558",-0.0726820418709944
"Wave_559",-0.0731847374068355
"Wave_560",-0.0734643010280193
"Wave_561",-0.0730410012699878
"Wave_562",-0.0724065959979216
"Wave_563",-0.0720822155758712
"Wave_564",-0.072045253714812
"Wave_565",-0.071971444453324
"Wave_566",-0.071858065028045
"Wave_567",-0.0714678036447118
"Wave_568",-0.0710511924802804
"Wave_569",-0.0702681569427824
"Wave_570",-0.0686942263850131
"Wave_571",-0.0668687568451903
"Wave_572",-0.0650724897691456
"Wave_573",-0.0633302278031686
"Wave_574",-0.0615721133152017
"Wave_575",-0.0596594638385171
"Wave_576",-0.0576073349580272
"Wave_577",-0.0557134154604
"Wave_578",-0.0541354583961428
"Wave_579",-0.0524576533339642
"Wave_580",-0.0509975621082932
"Wave_581",-0.0498620131779719
"Wave_582",-0.0487186006384254
"Wave_583",-0.0476405446705172
"Wave_584",-0.0464279232602736
"Wave_585",-0.0451966216036517
"Wave_586",-0.0437566270096617
"Wave_587",-0.0421763157405108
"Wave_588",-0.0403230447326391
"Wave_589",-0.0386664107431054
"Wave_590",-0.0372320249617683
"Wave_591",-0.0361425801464344
"Wave_592",-0.0356216976334115
"Wave_593",-0.0349863655514853
"Wave_594",-0.0341777060035067
"Wave_595",-0.0332768061916029
"Wave_596",-0.0326482581024301
"Wave_597",-0.0319524048713946
"Wave_598",-0.031223669698173
"Wave_599",-0.0304399199447512
"Wave_600",-0.0296688224254358
"Wave_601",-0.0290565998773021
"Wave_602",-0.0283591388396364
"Wave_603",-0.0278715974303394
"Wave_604",-0.0272893612132006
"Wave_605",-0.0266021044187919
"Wave_606",-0.0257505778755158
"Wave_607",-0.0248727250897427
"Wave_608",-0.0239785964368788
"Wave_609",-0.0229897772715504
"Wave_610",-0.0219606847697029
"Wave_611",-0.0210162862950661
"Wave_612",-0.0200984969315856
"Wave_613",-0.019213533553344
"Wave_614",-0.0182775317934082
"Wave_615",-0.0174686676030274
"Wave_616",-0.0167764204077506
"Wave_617",-0.0161353336199669
"Wave_618",-0.0155640352053441
"Wave_619",-0.0150918079331857
"Wave_620",-0.014630873391217
"Wave_621",-0.0141066686209151
"Wave_622",-0.0134979718891365
"Wave_623",-0.0128323117954197
"Wave_624",-0.0121901130508292
"Wave_625",-0.0116818802458674
"Wave_626",-0.0111739833419441
"Wave_627",-0.0105898217869417
"Wave_628",-0.0100867827896807
"Wave_629",-0.0096397386558399
"Wave_630",-0.00931324796809623
"Wave_631",-0.00902992457139002
"Wave_632",-0.0087679227479505
"Wave_633",-0.00879592986365885
"Wave_634",-0.00878061276296823
"Wave_635",-0.00866237928435894
"Wave_636",-0.00868082409266885
"Wave_637",-0.00863007968588763
"Wave_638",-0.00858270165503022
"Wave_639",-0.00853232468715386
"Wave_640",-0.00828867322777369
"Wave_641",-0.00798089060646784
"Wave_642",-0.00770556333636235
"Wave_643",-0.00749581671249762
"Wave_644",-0.00712743551575294
"Wave_645",-0.0068118371867607
"Wave_646",-0.00663548078013682
"Wave_647",-0.00655436267183061
"Wave_648",-0.00640587211991597
"Wave_649",-0.00622608094140855
"Wave_650",-0.00611530808910738
"Wave_651",-0.00620916428910398
"Wave_652",-0.00636976798791777
"Wave_653",-0.00635239823293505
"Wave_654",-0.00626886580643233
"Wave_655",-0.00616772282553104
"Wave_656",-0.00612298368986678
"Wave_657",-0.006281156856066
"Wave_658",-0.00668258814947828
"Wave_659",-0.00685862242323945
"Wave_660",-0.00757541834667974
"Wave_661",-0.00801555528177325
"Wave_662",-0.00802867727015407
"Wave_663",-0.00856349591684594
"Wave_664",-0.00902921623117106
"Wave_665",-0.00927005691484256
"Wave_666",-0.0092569720159223
"Wave_667",-0.0098980735381333
"Wave_668",-0.0103206898598503
"Wave_669",-0.0105995329883004
"Wave_670",-0.0106382613425333
"Wave_671",-0.0107666987134582
"Wave_672",-0.0110851387964025
"Wave_673",-0.0115721691176615
"Wave_674",-0.0118681098358301
"Wave_675",-0.0119118815021765
"Wave_676",-0.012067243582688
"Wave_677",-0.0122737786719307
"Wave_678",-0.0123061513961356
"Wave_679",-0.0122755216184302
"Wave_680",-0.012207428145366
"Wave_681",-0.0119555315645595
"Wave_682",-0.0115017522997032
"Wave_683",-0.0110827461625014
"Wave_684",-0.0102557667925649
"Wave_685",-0.00917087698060725
"Wave_686",-0.00785214544730596
"Wave_687",-0.00666801513577996
"Wave_688",-0.00580999695418374
"Wave_689",-0.00515598925462652
"Wave_690",-0.00524960198330024
"Wave_691",-0.0056338061896452
"Wave_692",-0.00604984065921631
"Wave_693",-0.00697508114781936
"Wave_694",-0.00863241101158727
"Wave_695",-0.0111327770561808
"Wave_696",-0.0139782775783114
"Wave_697",-0.017151696461296
"Wave_698",-0.0201481546745534
"Wave_699",-0.0237040645906324
"Wave_700",-0.0282708429316968
"Wave_701",-0.0325116676932541
"Wave_702",-0.038113246792265
"Wave_703",-0.0441030487450298
"Wave_704",-0.0495073215476324
"Wave_705",-0.0543860822766982
"Wave_706",-0.0616193987006748
"Wave_707",-0.0674490533188058
"Wave_708",-0.0726170825683619
"Wave_709",-0.0775976870993363
"Wave_710",-0.083975406311669
"Wave_711",-0.0908128172270456
"Wave_712",-0.0961042719910588
"Wave_713",-0.099562992134016
"Wave_714",-0.103983479616015
"Wave_715",-0.106639183222203
"Wave_716",-0.106235476413535
"Wave_717",-0.104333522659628
"Wave_718",-0.106211681886894
"Wave_719",-0.109102744860838
"Wave_720",-0.115319518120218
"Wave_721",-0.120705395588692
"Wave_722",-0.121908606738922
"Wave_723",-0.120885691865266
"Wave_724",-0.118841672124051
"Wave_725",-0.117253274442428
"Wave_726",-0.117366381489216
"Wave_727",-0.11721317592709
"Wave_728",-0.113651747709841
"Wave_729",-0.111743819616573
"Wave_730",-0.109583119367042
"Wave_731",-0.107974117291034
"Wave_732",-0.106628053154108
"Wave_733",-0.105222398329979
"Wave_734",-0.10073821808986
"Wave_735",-0.0946289023523141
"Wave_736",-0.0887350154158979
"Wave_737",-0.0819228896570958
"Wave_738",-0.0763017773505739
"Wave_739",-0.0705882520372853
"Wave_740",-0.0636856141024571
"Wave_741",-0.0570999382319304
"Wave_742",-0.0520839491810366
"Wave_743",-0.0468510467696416
"Wave_744",-0.041839838701754
"Wave_745",-0.0351557194989225
"Wave_746",-0.0294763590350473
"Wave_747",-0.022911730765744
"Wave_748",-0.0170691186054593
"Wave_749",-0.0120324415225176
"Wave_750",-0.00778656299655095
"Wave_751",-0.00414554291369639
"Wave_752",0.000537949766526605
"Wave_753",0.00384371723398833
"Wave_754",0.00678826009446734
"Wave_755",0.00864213470819779
"Wave_756",0.0106471880325068
"Wave_757",0.0107576783039971
"Wave_758",0.0144614280844783
"Wave_759",0.0218442655410614
"Wave_760",0.0333313378281627
"Wave_761",0.0456887051585945
"Wave_762",0.0513209439296826
"Wave_763",0.0485452171706627
"Wave_764",0.0459359253004328
"Wave_765",0.0439667043476851
"Wave_766",0.0385434984437668
"Wave_767",0.0357916553490751
"Wave_768",0.0340743734680715
"Wave_769",0.0317519428781407
"Wave_770",0.0305894282819907
"Wave_771",0.0320659912413998
"Wave_772",0.0321268694973463
"Wave_773",0.0316500660638941
"Wave_774",0.0302273099977805
"Wave_775",0.030423930795337
"Wave_776",0.0323004614492279
"Wave_777",0.0346807056980389
"Wave_778",0.0347809994689528
"Wave_779",0.0344228660692859
"Wave_780",0.0343695597052339
"Wave_781",0.032739447278694
"Wave_782",0.0338565532428759
"Wave_783",0.0345584496579901
"Wave_784",0.0342856636827107
"Wave_785",0.0332592709563121
"Wave_786",0.0343371863386645
"Wave_787",0.0346278638448954
"Wave_788",0.0365578178270126
"Wave_789",0.0364887786807779
"Wave_790",0.0352409621570147
"Wave_791",0.0358473624007736
"Wave_792",0.03539639979791
"Wave_793",0.0347597166890057
"Wave_794",0.0350035498060973
"Wave_795",0.0347601340502437
"Wave_796",0.0350876275880039
"Wave_797",0.0366031221933769
"Wave_798",0.0373051312072754
"Wave_799",0.0369719332368466
"Wave_800",0.0372329347421398
"Wave_801",0.0372930696918778
"Wave_802",0.0368959274589393
"Wave_803",0.0361035955876157
"Wave_804",0.0353723522171953
"Wave_805",0.0334392466473803
"Wave_806",0.0338539596030729
"Wave_807",0.0329442339575311
"Wave_808",0.033904961192191
"Wave_809",0.0338388989310509
"Wave_810",0.0333422894929565
"Wave_811",0.0341995283240566
"Wave_812",0.0348106104161475
"Wave_813",0.0347526164519291
"Wave_814",0.0365509594569331
"Wave_815",0.0392561062231256
"Wave_816",0.0413705259510234
"Wave_817",0.0405749196717256
"Wave_818",0.0407519063281315
"Wave_819",0.0376234711603398
"Wave_820",0.0365480383876714
"Wave_821",0.0359438074657295
"Wave_822",0.0350626315574262
"Wave_823",0.0335501629595246
"Wave_824",0.0327943077921336
"Wave_825",0.0323098372654722
"Wave_826",0.0290219982081013
"Wave_827",0.0297589821337809
"Wave_828",0.0288690434709667
"Wave_829",0.0291870451175401
"Wave_830",0.0289011598675294
"Wave_831",0.0261551838156593
"Wave_832",0.0255486902233278
"Wave_833",0.0256724447288435
"Wave_834",0.0257392256862427
"Wave_835",0.0229612616999717
"Wave_836",0.0228923885450605
"Wave_837",0.021632365846148
"Wave_838",0.0191142789317807
"Wave_839",0.0200395738861742
"Wave_840",0.0179551113293312
"Wave_841",0.017256643057269
"Wave_842",0.0154173828376693
"Wave_843",0.0128708015488145
"Wave_844",0.0142663423191106
"Wave_845",0.0142310110125233
"Wave_846",0.0111169961112219
"Wave_847",0.00983776943958698
"Wave_848",0.0134631153351558
"Wave_849",0.00969721652051629
"Wave_850",0.00806614326885967
"Wave_851",0.00811677215533056
"Wave_852",0.00810242713071478
"Wave_853",0.0079714914285044
"Wave_854",0.00819142641953472
"Wave_855",0.00573816120244695
"Wave_856",0.00504528294909378
"Wave_857",0.00611000742308054
"Wave_858",0.00721875924738446
"Wave_859",0.00579028722931633
"Wave_860",0.00607949790291265
"Wave_861",0.00600606849755815
"Wave_862",0.00652704635612026
"Wave_863",0.00497952222340988
"Wave_864",0.000669955296917181
"Wave_865",0.00674791832571652
