"","CN_ratio.8.comps"
"(Intercept)",24.1728107898294
"Wave_500",-0.0152471742670239
"Wave_501",-0.0146342457732673
"Wave_502",-0.0142487883588327
"Wave_503",-0.0137084251637417
"Wave_504",-0.0130232897202875
"Wave_505",-0.0125221841879143
"Wave_506",-0.0119693894584416
"Wave_507",-0.0110010188063605
"Wave_508",-0.0103089096943727
"Wave_509",-0.00942335371541187
"Wave_510",-0.0082447583846866
"Wave_511",-0.00724104865751939
"Wave_512",-0.00590213447344649
"Wave_513",-0.00461135407267004
"Wave_514",-0.00379018002129886
"Wave_515",-0.0026601219546008
"Wave_516",-0.000954927729478128
"Wave_517",0.000896947076981334
"Wave_518",0.00250219782780223
"Wave_519",0.00357732000659444
"Wave_520",0.00488892733485517
"Wave_521",0.00629381864643557
"Wave_522",0.00718254615625642
"Wave_523",0.00752167944249254
"Wave_524",0.00781407369826378
"Wave_525",0.00817584183258151
"Wave_526",0.00764230368084016
"Wave_527",0.00644668450824632
"Wave_528",0.00477269678312252
"Wave_529",0.00282332975045214
"Wave_530",0.000621287115611144
"Wave_531",-0.00118150582522725
"Wave_532",-0.00304820730217981
"Wave_533",-0.00534779658400534
"Wave_534",-0.00728870440909493
"Wave_535",-0.0100607724420455
"Wave_536",-0.0129011475616407
"Wave_537",-0.0152093978498746
"Wave_538",-0.0173082012081721
"Wave_539",-0.019541500629333
"Wave_540",-0.0219863758545157
"Wave_541",-0.0236481785497903
"Wave_542",-0.0266372582235678
"Wave_543",-0.0283218937647437
"Wave_544",-0.0298637521288313
"Wave_545",-0.0320084423753344
"Wave_546",-0.0332078631736022
"Wave_547",-0.0350782223799554
"Wave_548",-0.0379790022340067
"Wave_549",-0.0409877591570511
"Wave_550",-0.0441229471474336
"Wave_551",-0.0454817830470264
"Wave_552",-0.0454332088421617
"Wave_553",-0.046136221753907
"Wave_554",-0.048157469893152
"Wave_555",-0.0498944499869397
"Wave_556",-0.0506584397553985
"Wave_557",-0.0495341461461946
"Wave_558",-0.04591983417536
"Wave_559",-0.0428838857016165
"Wave_560",-0.0421622255396813
"Wave_561",-0.0425153794558311
"Wave_562",-0.0438647313032429
"Wave_563",-0.0455287375668706
"Wave_564",-0.0468299097111972
"Wave_565",-0.047440488786839
"Wave_566",-0.0477366450475014
"Wave_567",-0.0474372566070989
"Wave_568",-0.0472952579582474
"Wave_569",-0.0471784642949708
"Wave_570",-0.0470708752199893
"Wave_571",-0.0458720729524361
"Wave_572",-0.0445527190747479
"Wave_573",-0.0428617438912029
"Wave_574",-0.0414473650403434
"Wave_575",-0.0399534787736477
"Wave_576",-0.0383751148413901
"Wave_577",-0.0365750800097716
"Wave_578",-0.0352667354904363
"Wave_579",-0.0337229231222701
"Wave_580",-0.0321168735159924
"Wave_581",-0.0307614878628589
"Wave_582",-0.0294132254687669
"Wave_583",-0.0282116191419519
"Wave_584",-0.0265609284355714
"Wave_585",-0.0249533689392737
"Wave_586",-0.0231687635485371
"Wave_587",-0.0213455036134553
"Wave_588",-0.0194239783124801
"Wave_589",-0.0170602784776462
"Wave_590",-0.0143793550984852
"Wave_591",-0.0118904049949334
"Wave_592",-0.00971004829143461
"Wave_593",-0.00792690041787021
"Wave_594",-0.00611604950053891
"Wave_595",-0.00384646632731612
"Wave_596",-0.00190905878997576
"Wave_597",-0.000364322429202339
"Wave_598",0.000937873313245297
"Wave_599",0.00223723708876162
"Wave_600",0.00344584681579478
"Wave_601",0.00471428083046559
"Wave_602",0.00623527032093756
"Wave_603",0.00698558775094192
"Wave_604",0.00773220444832696
"Wave_605",0.00876696353659548
"Wave_606",0.00997445994743382
"Wave_607",0.0101352394168054
"Wave_608",0.0105436124288961
"Wave_609",0.0113025808732443
"Wave_610",0.0117926628952784
"Wave_611",0.0122348947133901
"Wave_612",0.0126067249269133
"Wave_613",0.012738551723412
"Wave_614",0.0131512121770603
"Wave_615",0.0136626434936877
"Wave_616",0.0143039892645181
"Wave_617",0.0152936424525267
"Wave_618",0.0159577198943785
"Wave_619",0.0164826287391101
"Wave_620",0.01708435203979
"Wave_621",0.0180093338114313
"Wave_622",0.0186096680814837
"Wave_623",0.0192022268238674
"Wave_624",0.0195264707549867
"Wave_625",0.0200955892169189
"Wave_626",0.0208042678755833
"Wave_627",0.0217253716718031
"Wave_628",0.0219747195682553
"Wave_629",0.0227267787564096
