"","Vcmax_Spec_Tleaf.9.comps"
"(Intercept)",43.05886912604
"Wave_500",-0.137709951274512
"Wave_501",-0.132907873501113
"Wave_502",-0.127305127782475
"Wave_503",-0.119928640082098
"Wave_504",-0.112086368113429
"Wave_505",-0.104791353722305
"Wave_506",-0.0973150019549824
"Wave_507",-0.0881972130439115
"Wave_508",-0.080499782572884
"Wave_509",-0.0719886638394521
"Wave_510",-0.0610552908944135
"Wave_511",-0.0514915208364266
"Wave_512",-0.0419743724758746
"Wave_513",-0.0320743269680135
"Wave_514",-0.0225194484439917
"Wave_515",-0.0156634870845298
"Wave_516",-0.00880211070102558
"Wave_517",-0.00139115911693347
"Wave_518",0.00652841533931792
"Wave_519",0.0140001125391027
"Wave_520",0.0195601295879654
"Wave_521",0.0245936790725548
"Wave_522",0.0297329431843285
"Wave_523",0.0351313537403822
"Wave_524",0.0387624384605059
"Wave_525",0.0372207148296894
"Wave_526",0.0361054125259473
"Wave_527",0.0332984440652513
"Wave_528",0.0312501049356629
"Wave_529",0.0310155738734032
"Wave_530",0.0301384592476558
"Wave_531",0.0284954942347637
"Wave_532",0.0235847439288023
"Wave_533",0.0154922024455464
"Wave_534",0.0116942530071702
"Wave_535",0.00575041531929993
"Wave_536",0.000228234584019106
"Wave_537",-0.00319804690317863
"Wave_538",-0.0111446867211371
"Wave_539",-0.0192858726147587
"Wave_540",-0.0246575850067623
"Wave_541",-0.0285357571766841
"Wave_542",-0.0318504550600302
"Wave_543",-0.0333541725216944
"Wave_544",-0.0381497931870785
"Wave_545",-0.0452847296066828
"Wave_546",-0.0555690026932103
"Wave_547",-0.0710427721256266
"Wave_548",-0.0894649500808223
"Wave_549",-0.0987691722435307
"Wave_550",-0.0992437140929891
"Wave_551",-0.0968343437464617
"Wave_552",-0.0946007361874641
"Wave_553",-0.107574610108428
"Wave_554",-0.121659309704326
"Wave_555",-0.131762595554235
"Wave_556",-0.134315195473654
"Wave_557",-0.143417096636003
"Wave_558",-0.150474889234221
"Wave_559",-0.151453671650289
"Wave_560",-0.149533464945855
"Wave_561",-0.137022678970553
"Wave_562",-0.120663687996665
"Wave_563",-0.110524770984052
"Wave_564",-0.103547937870737
"Wave_565",-0.0964938899488362
"Wave_566",-0.089545904554404
"Wave_567",-0.0842018299136541
"Wave_568",-0.0799035353918273
"Wave_569",-0.0744455848916696
"Wave_570",-0.067547210649001
"Wave_571",-0.0588241233076728
"Wave_572",-0.0513042378025034
"Wave_573",-0.0454241183807284
"Wave_574",-0.0415421197117867
"Wave_575",-0.0378353324940872
"Wave_576",-0.0332512043169399
"Wave_577",-0.0291866368679739
"Wave_578",-0.0266059437381835
"Wave_579",-0.0215450912512987
"Wave_580",-0.0167120018997922
"Wave_581",-0.0129895914086724
"Wave_582",-0.0100037579373691
"Wave_583",-0.00803971802118982
"Wave_584",-0.00494801094235339
"Wave_585",-0.00417367988188337
"Wave_586",-0.0026057631545839
"Wave_587",-0.0010818276543337
"Wave_588",-0.000455292231941271
"Wave_589",0.00256069691281078
"Wave_590",0.00628347362994855
"Wave_591",0.00942847256873952
"Wave_592",0.0124278151634021
"Wave_593",0.0157672522492055
"Wave_594",0.0197911521106677
"Wave_595",0.0230383785717938
"Wave_596",0.0250263530441849
"Wave_597",0.0270828596269246
"Wave_598",0.0290499581666091
"Wave_599",0.0314330723017889
"Wave_600",0.0343625796657912
"Wave_601",0.0357334798740492
"Wave_602",0.0378524040568718
"Wave_603",0.0382755604065056
"Wave_604",0.0394833724993211
"Wave_605",0.041489744913003
