"","CN_ratio.5.comps"
"Wave_695",0.0261871436367152
"Wave_696",0.0273548078628829
"Wave_697",0.0289466065995963
"Wave_698",0.0306708430941873
"Wave_699",0.0319557730103591
"Wave_700",0.0328701106893771
"Wave_701",0.0342147392349706
"Wave_702",0.0342881592627228
"Wave_703",0.0338972282427951
"Wave_704",0.0346753290919911
"Wave_705",0.0358636340379188
"Wave_706",0.0342181691348317
"Wave_707",0.0336837461173759
"Wave_708",0.0342656241863176
"Wave_709",0.0341043647312121
"Wave_710",0.0331663019695761
"Wave_711",0.0317740640102644
"Wave_712",0.0308138839633492
"Wave_713",0.0303924773117978
"Wave_714",0.0286087951608565
"Wave_715",0.0271133449853101
"Wave_716",0.0267965571789607
"Wave_717",0.0269285144383086
"Wave_718",0.0260142374729068
"Wave_719",0.0255498368777169
"Wave_720",0.0221972476637857
"Wave_721",0.0183504935313409
"Wave_722",0.0165855960065713
"Wave_723",0.0155983492505895
"Wave_724",0.0136692425443333
"Wave_725",0.0115585999262297
"Wave_726",0.00879405444739932
"Wave_727",0.00634836624141228
"Wave_728",0.00445400421062168
"Wave_729",0.00171590283913471
"Wave_730",7.16420273337969e-05
"Wave_731",-0.00222243679050976
"Wave_732",-0.00469082475705024
"Wave_733",-0.00747876380716835
"Wave_734",-0.00895554602233667
"Wave_735",-0.0100842263626184
"Wave_736",-0.0115391609369459
"Wave_737",-0.0125195707973372
"Wave_738",-0.014677768747388
"Wave_739",-0.0161935726427234
"Wave_740",-0.0174620750835566
"Wave_741",-0.0182279331456664
"Wave_742",-0.0191105505034463
"Wave_743",-0.0202121372658765
"Wave_744",-0.021030522836251
"Wave_745",-0.0213738682546996
"Wave_746",-0.022046117045715
"Wave_747",-0.0220181382155092
"Wave_748",-0.0221692625713507
"Wave_749",-0.0220388885194928
"Wave_750",-0.0220121188641537
"Wave_751",-0.0226083812685802
"Wave_752",-0.0218654687400992
"Wave_753",-0.0216682133699933
"Wave_754",-0.0220542020237883
"Wave_755",-0.0224279572566361
"Wave_756",-0.0223596497374223
"Wave_757",-0.0221510264562939
"Wave_758",-0.0209914692944361
"Wave_759",-0.0193335992231667
"Wave_760",-0.0174254534277416
"Wave_761",-0.0162121833536028
"Wave_762",-0.0152038371499248
"Wave_763",-0.0150915475270311
"Wave_764",-0.0151203472599436
"Wave_765",-0.0156168830991423
"Wave_766",-0.0174434922560873
"Wave_767",-0.0178970870739747
"Wave_768",-0.0186021343160113
"Wave_769",-0.0191552139439156
"Wave_770",-0.0193730746094773
"Wave_771",-0.018231022352417
"Wave_772",-0.0177727408463811
"Wave_773",-0.0175254250736581
"Wave_774",-0.0178898132479995
"Wave_775",-0.017503466204565
"Wave_776",-0.0164885242335816
"Wave_777",-0.0151770433694579
"Wave_778",-0.0152037564362697
"Wave_779",-0.0152707558756058
"Wave_780",-0.0151026997431265
"Wave_781",-0.0168316752318356
"Wave_782",-0.0158741895656767
"Wave_783",-0.0151744254278979
"Wave_784",-0.0149224486338274
"Wave_785",-0.0153779254114799
"Wave_786",-0.0148028500688745
"Wave_787",-0.0147547667342815
"Wave_788",-0.0134887349735686
"Wave_789",-0.013223255057473
"Wave_790",-0.0136338690740876
"Wave_791",-0.0125417785981782
"Wave_792",-0.012033356201432
