"","Vcmax_Spec_Tleaf.12.comps"
"(Intercept)",-12.2230497670594
"Wave_500",-0.397809728466541
"Wave_501",-0.370421338407769
"Wave_502",-0.334836163605963
"Wave_503",-0.294194377956465
"Wave_504",-0.258346461576783
"Wave_505",-0.239044051011349
"Wave_506",-0.22229526287727
"Wave_507",-0.244494110153641
"Wave_508",-0.247387533150869
"Wave_509",-0.221784671065857
"Wave_510",-0.171954873644596
"Wave_511",-0.142997346796789
"Wave_512",-0.109012414976723
"Wave_513",-0.0788767295820713
"Wave_514",-0.0782536335564879
"Wave_515",-0.0599410294948161
"Wave_516",-0.0355668910634379
"Wave_517",-0.0220568923273542
"Wave_518",0.00431883832838014
"Wave_519",0.0294277336034945
"Wave_520",0.0474754021686979
"Wave_521",0.0442161877080531
"Wave_522",0.02006925379432
"Wave_523",-0.0144267115165481
"Wave_524",-0.0433551536844239
"Wave_525",-0.0721363201435549
"Wave_526",-0.0762531584337248
"Wave_527",-0.0234575206456649
"Wave_528",-0.0426956723944232
"Wave_529",-0.0437036862737201
"Wave_530",-0.0398377888746181
"Wave_531",-0.0589499251042629
"Wave_532",-0.0561291419018161
"Wave_533",-0.0519467811349208
"Wave_534",-0.0667684104828721
"Wave_535",-0.0682522750322157
"Wave_536",-0.0491499454905669
"Wave_537",-0.0250816743886415
"Wave_538",-0.0214532519758766
"Wave_539",-0.0152953326569966
"Wave_540",-0.000667807514551456
"Wave_541",0.0333918731731661
"Wave_542",0.0458359394039459
"Wave_543",0.0680976866944472
"Wave_544",0.090754472324183
"Wave_545",0.0986393697609706
"Wave_546",0.0907935614778208
"Wave_547",0.0784573705350921
"Wave_548",0.0649453881395733
"Wave_549",0.0641115692683365
"Wave_550",0.0939627217246231
"Wave_551",0.130757486189172
"Wave_552",0.148865465069255
"Wave_553",0.163065490889897
"Wave_554",0.165626023105492
"Wave_555",0.16156101442638
"Wave_556",0.178428326007428
"Wave_557",0.17037809560426
"Wave_558",0.146642095912331
"Wave_559",0.134051806351715
"Wave_560",0.0914368851047836
"Wave_561",0.0632729037930153
"Wave_562",0.0574112081984158
"Wave_563",0.0551425066932523
"Wave_564",0.0394439082087591
"Wave_565",0.0258326711409201
"Wave_566",0.0149676127941232
"Wave_567",0.0148979573593884
"Wave_568",0.02188253911922
"Wave_569",0.034866585424043
"Wave_570",0.00957856635611716
"Wave_571",-0.00663430758534788
"Wave_572",-0.026126870560207
"Wave_573",-0.0434114717835214
"Wave_574",-0.0298463568518549
"Wave_575",-0.022576913805629
"Wave_576",-0.0237466077780402
"Wave_577",-0.0498530715959613
"Wave_578",-0.073258703871174
"Wave_579",-0.0825964464612546
"Wave_580",-0.0805808697057098
"Wave_581",-0.0781385645647735
"Wave_582",-0.0746150688587283
"Wave_583",-0.0729485261041357
"Wave_584",-0.0826759114837294
"Wave_585",-0.0821802969283087
"Wave_586",-0.0862892889588724
"Wave_587",-0.092191866825574
"Wave_588",-0.0874677332787516
"Wave_589",-0.0827663709059677
"Wave_590",-0.076251293345073
"Wave_591",-0.0690582135652172
"Wave_592",-0.0710352383799414
"Wave_593",-0.0718118938868044
"Wave_594",-0.0738078945629687
"Wave_595",-0.0783921294439741
"Wave_596",-0.0572261118654787
"Wave_597",-0.0511437753908464
"Wave_598",-0.0652116045617568
"Wave_599",-0.0811711531463425
"Wave_600",-0.0990873495831263
"Wave_601",-0.119549735419885
"Wave_602",-0.140760957870465
"Wave_603",-0.153572279598945
"Wave_604",-0.161357289909335
"Wave_605",-0.174721753436867
"Wave_606",-0.199602006513418
"Wave_607",-0.238889270586967
"Wave_608",-0.274056848864648
"Wave_609",-0.306723936788815
"Wave_610",-0.34513688054489
"Wave_611",-0.360888731806349
"Wave_612",-0.371727658021639
"Wave_613",-0.38418245599021
"Wave_614",-0.40204995656196
"Wave_615",-0.408132387463111
"Wave_616",-0.413776882521449
"Wave_617",-0.427906989672861
"Wave_618",-0.44221879636903
"Wave_619",-0.435753075640794
"Wave_620",-0.421368909440484
"Wave_621",-0.425003089474768
"Wave_622",-0.432806857699538
"Wave_623",-0.43241611879403
"Wave_624",-0.423277947914693
"Wave_625",-0.429381762960295
"Wave_626",-0.427747713784227
"Wave_627",-0.423403718117765
"Wave_628",-0.42014685878949
"Wave_629",-0.422508798251582
"Wave_630",-0.417897293593707
"Wave_631",-0.410595494298082
"Wave_632",-0.404745209355727
"Wave_633",-0.374473772896857
"Wave_634",-0.353387604533534
"Wave_635",-0.33614942863988
"Wave_636",-0.303803801238824
"Wave_637",-0.265693098087362
"Wave_638",-0.222875832012318
"Wave_639",-0.176049329163162
"Wave_640",-0.133305452678926
"Wave_641",-0.0968837615930679
"Wave_642",-0.05724664662381
"Wave_643",-0.00994225259844954
"Wave_644",0.034327190724325
"Wave_645",0.0622937680065103
"Wave_646",0.0799539407765119
"Wave_647",0.0897891613628951
"Wave_648",0.0907770765952734
"Wave_649",0.0824215330469934
"Wave_650",0.0706011520701513
"Wave_651",0.0602158605430313
"Wave_652",0.0384323358962104
"Wave_653",0.00650399470077602
"Wave_654",-0.0341323422740389
"Wave_655",-0.0862256451197664
"Wave_656",-0.134395760483626
"Wave_657",-0.183825250455449
"Wave_658",-0.234318962216161
"Wave_659",-0.26742540461023
"Wave_660",-0.288553290882508
"Wave_661",-0.299877960492801
"Wave_662",-0.302321921150798
"Wave_663",-0.298763560952703
"Wave_664",-0.284920108805737
"Wave_665",-0.26572907583756
"Wave_666",-0.243238498609451
"Wave_667",-0.226923238719871
"Wave_668",-0.19963382028433
"Wave_669",-0.165623305301611
"Wave_670",-0.123447324116783
"Wave_671",-0.0823940409280416
"Wave_672",-0.0203993482225157
"Wave_673",0.047429486744033
"Wave_674",0.0978016536459094
"Wave_675",0.137107574380882
"Wave_676",0.197067440199229
"Wave_677",0.263760834013897
"Wave_678",0.327764356399358
"Wave_679",0.413364168284275
"Wave_680",0.483999341339237
"Wave_681",0.540041297145499
"Wave_682",0.605705848647354
"Wave_683",0.662454636958964
"Wave_684",0.733581992276654
"Wave_685",0.814425904250081
"Wave_686",0.852806773711164
"Wave_687",0.913606662158656
"Wave_688",0.956452949207487
"Wave_689",0.976111408897735
"Wave_690",1.02083411432073
"Wave_691",1.0702656632161
"Wave_692",1.07405707280379
"Wave_693",1.01053874312285
"Wave_694",1.03938837461895
"Wave_695",0.994579887842513
"Wave_696",0.917514188178637
"Wave_697",0.8831245928937
"Wave_698",0.907612294543046
"Wave_699",0.821642625096791
"Wave_700",0.7692912569742
"Wave_701",0.815521195942694
"Wave_702",0.667625882058858
"Wave_703",0.588104029980633
"Wave_704",0.576045520404712
"Wave_705",0.606248323232043
"Wave_706",0.415218675163144
"Wave_707",0.285790369556218
"Wave_708",0.247478570124228
"Wave_709",0.28324408485426
"Wave_710",0.0896440683731852
"Wave_711",0.00552744962754532
"Wave_712",-0.00244909652954582
"Wave_713",0.0225889729383877
"Wave_714",-0.244741026773809
"Wave_715",-0.346330294970768
"Wave_716",-0.351460979232894
"Wave_717",-0.274321070582996
"Wave_718",-0.255352285721726
"Wave_719",-0.393073526311996
"Wave_720",-0.49714119716094
"Wave_721",-0.505083481137471
"Wave_722",-0.443140220017106
"Wave_723",-0.502303433327339
"Wave_724",-0.528666220379276
"Wave_725",-0.483686806024616
"Wave_726",-0.517259396000952
"Wave_727",-0.408554982899009
"Wave_728",-0.370952428242012
"Wave_729",-0.435323051503568
"Wave_730",-0.401428209932663
"Wave_731",-0.319315143748726
"Wave_732",-0.243985041417602
"Wave_733",-0.195299198717166
"Wave_734",-0.123913083588313
"Wave_735",-0.156489137571004
"Wave_736",-0.146099587925268
"Wave_737",-0.111449918908205
"Wave_738",-0.0962893763987426
"Wave_739",-0.0926102535715681
"Wave_740",-0.0795760698765555
"Wave_741",-0.0870110006564191
"Wave_742",-0.0721097631737871
"Wave_743",-0.0871029260842607
"Wave_744",-0.0370541755380211
"Wave_745",0.0346818175194182
"Wave_746",0.0344494596084201
"Wave_747",0.0711503585556268
"Wave_748",0.0921570425124852
"Wave_749",0.10291421739299
"Wave_750",0.0945951672925426
"Wave_751",0.161630978440089
"Wave_752",0.19564650560711
"Wave_753",0.179800110664761
"Wave_754",0.150372054900695
"Wave_755",0.182895628916727
"Wave_756",0.186071587612292
"Wave_757",0.148926508613991
"Wave_758",0.101883997324422
"Wave_759",0.12071298652571
"Wave_760",0.11479670372884
"Wave_761",0.107637791509893
"Wave_762",0.119359087440595
"Wave_763",0.166045144382523
"Wave_764",0.147276279270513
"Wave_765",0.152658754712098
"Wave_766",0.15399895900943
"Wave_767",0.129544521105504
"Wave_768",0.123266391242342
"Wave_769",0.133384180347193
"Wave_770",0.127311108945918
"Wave_771",0.092237764823371
"Wave_772",0.0556862860919329
"Wave_773",0.11715574025189
"Wave_774",0.1462642459408
"Wave_775",0.138962188124645
"Wave_776",0.0535709360850771
"Wave_777",0.109495194569778
"Wave_778",0.130017339627888
"Wave_779",0.120777189162754
"Wave_780",0.0747403762580498
"Wave_781",0.0203151040425464
"Wave_782",0.0408515799317416
"Wave_783",0.0233274670993274
"Wave_784",0.0302115350441614
"Wave_785",0.156749198683102
"Wave_786",0.123080478945505
"Wave_787",0.101527568132214
"Wave_788",0.0865170314144646
"Wave_789",0.0785894316817423
"Wave_790",0.0397644999239223
"Wave_791",0.081186085917535
"Wave_792",0.0980435567370715
"Wave_793",0.0856452663570657
"Wave_794",0.0502385832212082
"Wave_795",0.0560562672569465
"Wave_796",0.0497037908681073
"Wave_797",0.067486249288894
"Wave_798",0.122052280912958
"Wave_799",0.190143852331208
"Wave_800",0.146176148585103
"Wave_801",0.124428523507501
"Wave_802",0.128593398772564
"Wave_803",0.137112698416874
"Wave_804",0.130419235685121
"Wave_805",0.131278901360847
"Wave_806",0.104890548699785
"Wave_807",0.105299587187843
"Wave_808",0.216533495723534
"Wave_809",0.152383828065163
"Wave_810",0.141950450394931
"Wave_811",0.124701948183033
"Wave_812",0.0871239487918198
"Wave_813",0.0676374190740353
"Wave_814",0.102811372045532
"Wave_815",0.105792533183398
"Wave_816",0.103813629519973
"Wave_817",0.086401202234261
"Wave_818",0.0398884748222087
"Wave_819",0.109924874166099
"Wave_820",0.149734528947587
"Wave_821",0.1690708360944
"Wave_822",0.192217492312371
"Wave_823",0.235505537944167
"Wave_824",0.201746063692206
"Wave_825",0.138073730378723
"Wave_826",0.0932625150938158
"Wave_827",0.0779005054894522
"Wave_828",0.0606819736384195
"Wave_829",0.155539091534593
"Wave_830",0.209689035915034
