"","x"
"Wave_500",1.33214054594813
"Wave_501",1.34989343713972
"Wave_502",1.36914002877927
"Wave_503",1.39025128844605
"Wave_504",1.41389864424966
"Wave_505",1.44139541227486
"Wave_506",1.47089174990105
"Wave_507",1.50391095499941
"Wave_508",1.5365440246144
"Wave_509",1.56915793353807
"Wave_510",1.60615020595578
"Wave_511",1.64506943384626
"Wave_512",1.6841526778104
"Wave_513",1.72458644581739
"Wave_514",1.76581566844779
"Wave_515",1.8096126004182
"Wave_516",1.85520186826737
"Wave_517",1.90054900210694
"Wave_518",1.94061666619515
"Wave_519",1.97771699031966
"Wave_520",2.01254374462797
"Wave_521",2.04607539954911
"Wave_522",2.07476155773099
"Wave_523",2.09960548216122
"Wave_524",2.11932391225381
"Wave_525",2.12938167391058
"Wave_526",2.14137144257478
"Wave_527",2.15623942623183
"Wave_528",2.15630891182831
"Wave_529",2.1597257717874
"Wave_530",2.16074221587315
"Wave_531",2.15039042496983
"Wave_532",2.14477033509567
"Wave_533",2.1381891291453
"Wave_534",2.12884451938826
"Wave_535",2.11688724075336
"Wave_536",2.10624327720769
"Wave_537",2.09575931153189
"Wave_538",2.08411628506446
"Wave_539",2.07508780541291
"Wave_540",2.06762527781475
"Wave_541",2.06240388343548
"Wave_542",2.05432310627491
"Wave_543",2.05054519215611
"Wave_544",2.0467311034173
"Wave_545",2.03503067206286
"Wave_546",2.02827769457935
"Wave_547",2.02125193822333
"Wave_548",2.01230668081581
"Wave_549",2.00787882583891
"Wave_550",2.00142873248209
"Wave_551",1.99526022160562
"Wave_552",1.98714598130835
"Wave_553",1.98223764438523
"Wave_554",1.97725728195504
"Wave_555",1.97203158480505
"Wave_556",1.96495716611682
"Wave_557",1.95125479134755
"Wave_558",1.93501278147711
"Wave_559",1.92273245839023
"Wave_560",1.90417185831649
"Wave_561",1.8880327619749
"Wave_562",1.87566874107874
"Wave_563",1.85987178407374
"Wave_564",1.84166086502703
"Wave_565",1.8220776940821
"Wave_566",1.80172485011718
"Wave_567",1.78389070386428
"Wave_568",1.76851872568256
"Wave_569",1.75445450704481
"Wave_570",1.73632971477481
"Wave_571",1.72188077004623
"Wave_572",1.70760226671233
"Wave_573",1.69341736366239
"Wave_574",1.68195138938918
"Wave_575",1.67027509379477
"Wave_576",1.65902634768401
"Wave_577",1.65005696958092
"Wave_578",1.63687263764564
"Wave_579",1.62805023158816
"Wave_580",1.62329288318903
"Wave_581",1.61517997132708
"Wave_582",1.60831166693141
"Wave_583",1.60293425765141
"Wave_584",1.59906210621289
"Wave_585",1.59544237961451
"Wave_586",1.59073252352914
"Wave_587",1.58588277720857
"Wave_588",1.58487039905227
"Wave_589",1.58066011255342
"Wave_590",1.57785398358776
"Wave_591",1.57715051992312
"Wave_592",1.57569339032609
"Wave_593",1.57370085240235
"Wave_594",1.57148939574204
"Wave_595",1.56972078303998
"Wave_596",1.56960104449966
"Wave_597",1.56752310937503
"Wave_598",1.56315206233326
"Wave_599",1.55830903704667
"Wave_600",1.55314693465807
"Wave_601",1.5479231639939
"Wave_602",1.54250470827737
"Wave_603",1.53523251018387
"Wave_604",1.52756713405793
"Wave_605",1.52075501984603
"Wave_606",1.51640422330658
"Wave_607",1.5107494190083
"Wave_608",1.50613907338645
"Wave_609",1.50241828833281
"Wave_610",1.50079141205424
"Wave_611",1.49672013565879
"Wave_612",1.49108637573667
"Wave_613",1.48483791615466
"Wave_614",1.48265852095343
"Wave_615",1.4823462953667
"Wave_616",1.4821166212454
"Wave_617",1.48055068914137
"Wave_618",1.48190125563711
"Wave_619",1.4790224291223
"Wave_620",1.47384356996296
"Wave_621",1.47223960535212
"Wave_622",1.473426367868
"Wave_623",1.47328873234502
"Wave_624",1.47118530663991
"Wave_625",1.47004977425485
"Wave_626",1.46988942848217
"Wave_627",1.46907544910471
"Wave_628",1.46706747761115
"Wave_629",1.46544556942245
"Wave_630",1.46194106248722
"Wave_631",1.45854841625876
"Wave_632",1.45746410921465
"Wave_633",1.45188787788405
"Wave_634",1.44702016709199
"Wave_635",1.44223158621031
"Wave_636",1.4348611533649
"Wave_637",1.42709909887883
"Wave_638",1.42111679469737
"Wave_639",1.4167213863747
"Wave_640",1.40763055633862
"Wave_641",1.40135680140304
"Wave_642",1.39437803636076
"Wave_643",1.38589978091902
"Wave_644",1.37963512998609
"Wave_645",1.37461703757566
"Wave_646",1.36849697082187
"Wave_647",1.3589758846456
"Wave_648",1.35001827919538
"Wave_649",1.33873681514681
"Wave_650",1.32548915200501
"Wave_651",1.31061709870648
"Wave_652",1.2949737928453
"Wave_653",1.2776147913415
"Wave_654",1.25910927865388
"Wave_655",1.24134409280796
"Wave_656",1.22386857799605
"Wave_657",1.21007177723529
"Wave_658",1.20017744258464
"Wave_659",1.1883560322832
"Wave_660",1.17620533700547
"Wave_661",1.16378020572196
"Wave_662",1.15135981923938
"Wave_663",1.13921183247069
"Wave_664",1.12673863209119
"Wave_665",1.1160288833233
"Wave_666",1.10753113917039
"Wave_667",1.10191069133279
"Wave_668",1.09700909863775
"Wave_669",1.0934922977644
"Wave_670",1.09192641966154
"Wave_671",1.09166000281425
"Wave_672",1.09558243871181
"Wave_673",1.10435538902056
"Wave_674",1.11409027039004
"Wave_675",1.1260543141978
"Wave_676",1.14415797180407
"Wave_677",1.1678067381399
"Wave_678",1.19476930054686
"Wave_679",1.22997550121977
"Wave_680",1.26622147473945
"Wave_681",1.30156285477661
"Wave_682",1.34297659549392
"Wave_683",1.38455329864233
"Wave_684",1.43592964536919
"Wave_685",1.49658594636174
