"Spectra_Name","Location","Instrument","Species_Code","Measurement_Date","Leaf_VIS_Spectral_Absorption"
"BNL1500","Utqiagvik","SVC_HR-1024i","PEFR5","20140714",0.905141675646245
"BNL1502","Utqiagvik","SVC_HR-1024i","PEFR5","20140714",0.909349344874438
"BNL1507","Utqiagvik","SVC_HR-1024i","PEFR5","20140714",0.922625065538098
