"","Narea_g_m2.11.comps"
"Wave_692",-0.0100456730829316
"Wave_693",-0.0126236670643191
"Wave_694",-0.0155310563590876
"Wave_695",-0.0170611196023787
"Wave_696",-0.018330424557185
"Wave_697",-0.0196097993596001
"Wave_698",-0.0216183621613687
"Wave_699",-0.0223192297074129
"Wave_700",-0.0225261456929067
"Wave_701",-0.0227619209108843
"Wave_702",-0.0217772161461348
"Wave_703",-0.0204608191519968
"Wave_704",-0.0195415746615845
"Wave_705",-0.0187373815841433
"Wave_706",-0.0159388565475058
"Wave_707",-0.0141382459963218
"Wave_708",-0.0130402603559298
"Wave_709",-0.0115089701190477
"Wave_710",-0.0092186913290301
"Wave_711",-0.00632452674549637
"Wave_712",-0.00465631529072326
"Wave_713",-0.00393387212443163
"Wave_714",-0.00103088551653989
"Wave_715",0.000570578635231467
"Wave_716",0.000530682296741688
"Wave_717",-0.000621655648390584
"Wave_718",-0.0006564593769499
"Wave_719",0.0012814938669682
"Wave_720",0.00469640419698462
"Wave_721",0.00642749132892364
"Wave_722",0.00685194495354853
"Wave_723",0.0071289983274464
"Wave_724",0.00727801481595979
"Wave_725",0.0072588226634405
"Wave_726",0.00812424811462627
"Wave_727",0.008651403323029
"Wave_728",0.00811062087705433
"Wave_729",0.00854814290699468
"Wave_730",0.00855606101037511
"Wave_731",0.00929333407386138
"Wave_732",0.00991099461513506
"Wave_733",0.01027536801337
"Wave_734",0.00902385898211368
"Wave_735",0.00787540165898341
"Wave_736",0.00675539560125291
"Wave_737",0.00521842351688333
"Wave_738",0.00514459457248406
"Wave_739",0.00477150894950693
"Wave_740",0.0038511684242416
"Wave_741",0.00286875884651311
"Wave_742",0.00246774684975015
"Wave_743",0.00268163591026927
"Wave_744",0.00230688821463766
"Wave_745",0.00130872270860976
"Wave_746",0.00108720962270188
"Wave_747",0.000291291879533749
"Wave_748",-0.000525429327896239
"Wave_749",-0.000953465376667015
"Wave_750",-0.00119587393005423
"Wave_751",-0.000482387484199344
"Wave_752",-0.000373976710374739
"Wave_753",-0.000199100734600799
"Wave_754",-4.79380731767988e-05
"Wave_755",8.79592062249586e-05
"Wave_756",-0.00056896238418855
"Wave_757",-0.00309150976227649
"Wave_758",-0.00659629134440949
"Wave_759",-0.0115060382455222
"Wave_760",-0.0165419848439475
"Wave_761",-0.0179290318356404
"Wave_762",-0.012429740455006
"Wave_763",-0.00711964871102159
"Wave_764",-0.00209781152374446
"Wave_765",0.00138463496709675
"Wave_766",0.00382333497579775
"Wave_767",0.00340731133981888
"Wave_768",0.00344803662530799
"Wave_769",0.00325458225144469
"Wave_770",0.00280930063495391
"Wave_771",0.00166234458586745
"Wave_772",0.00116037804706491
"Wave_773",0.0010387902463595
"Wave_774",0.00100852415748034
"Wave_775",0.00124150934053136
"Wave_776",0.000966329658065489
"Wave_777",0.000504548051403113
"Wave_778",0.000895083725113975
"Wave_779",0.00138577080333543
"Wave_780",0.000924093051372763
"Wave_781",0.00198303894667829
"Wave_782",0.00103920307749848
"Wave_783",0.000566828318657616
"Wave_784",0.000948166104025929
"Wave_785",0.00234208205629266
"Wave_786",0.00209838876775859
"Wave_787",0.00199040470125795
"Wave_788",0.00153621107553962
"Wave_789",0.00171039415149435
"Wave_790",0.00179717111963015
"Wave_791",0.000977193130558763
"Wave_792",0.00110095660359016
"Wave_793",0.00152560176782321
"Wave_794",0.000901535310332471
"Wave_795",0.00214785801945038
"Wave_796",0.00198008219917595
"Wave_797",0.00144744572565966
"Wave_798",0.00114962297701591
"Wave_799",0.00135946632473902
"Wave_800",0.00123647016718405
"Wave_801",0.00101325795538156
"Wave_802",0.00129598432825498
"Wave_803",0.00145344778354479
"Wave_804",0.000781512187831274
"Wave_805",0.00144969012806282
"Wave_806",0.00112773475639533
"Wave_807",0.000977517790922473
"Wave_808",0.00113486682013438
"Wave_809",0.00114997053528842
"Wave_810",0.00101879996423488
"Wave_811",0.000405048662826262
"Wave_812",7.14976525167277e-05
"Wave_813",0.000772295619419942
"Wave_814",0.00110654315889686
"Wave_815",0.000304225618909739
"Wave_816",-0.000314562886996074
"Wave_817",3.18187323635015e-05
"Wave_818",-0.000757343673665952
"Wave_819",-0.000192463680156808
"Wave_820",0.000951751761647147
"Wave_821",0.000447420399008976
"Wave_822",5.11987158292886e-05
"Wave_823",-0.000107357500489255
"Wave_824",-3.89906417835959e-06
"Wave_825",9.12163358486576e-05
"Wave_826",0.0013930327299995
"Wave_827",0.00105814410253881
"Wave_828",0.000957701006142882
"Wave_829",-0.00041201050662886
"Wave_830",-0.000910014039259004
"Wave_831",-7.46329991950506e-05
"Wave_832",-0.000633471842249467
"Wave_833",-0.000540759096095214
"Wave_834",-0.000674814597454041
"Wave_835",0.000109717597186438
"Wave_836",-0.000246381733535859
"Wave_837",-0.000331415598836984
"Wave_838",0.00118890118139493
"Wave_839",-0.000511534232045427
"Wave_840",-0.000261012713102069
"Wave_841",-0.000413232329004785
"Wave_842",-5.67881844779263e-05
"Wave_843",0.000552047789569585
"Wave_844",0.000117542846476918
"Wave_845",0.000196300876003934
"Wave_846",0.00081234513342576
"Wave_847",0.000194541061181149
"Wave_848",-0.00272204871904118
"Wave_849",-0.000664434477458777
"Wave_850",6.34562210527975e-05
"Wave_851",0.000544334980369512
"Wave_852",-0.000334288311965209
"Wave_853",-0.000822678072391127
"Wave_854",-0.00259059110639259
"Wave_855",-0.000981784771348311
"Wave_856",0.000516533472059248
"Wave_857",0.000698503122965744
"Wave_858",0.000130137164112922
"Wave_859",0.000531169065060735
"Wave_860",-0.0012950937408495
"Wave_861",-0.000830412601314229
"Wave_862",-0.000298291965126848
"Wave_863",-0.00106116467540432
"Wave_864",0.00137991161306243
"Wave_865",-0.00380117955501857
"Wave_866",-0.00375187702067994
"Wave_867",-0.00338387228733349
"Wave_868",-0.00186144289681317
"Wave_869",1.71081980553567e-08
"Wave_870",9.18023379490947e-05
"Wave_871",-0.000321231674031586
"Wave_872",-2.20910851039467e-05
"Wave_873",-0.00161211969537816
"Wave_874",-0.00124396790067302
"Wave_875",-0.0027899011303037
"Wave_876",-0.00161338119766563
"Wave_877",-0.00142714194385715
"Wave_878",-0.000436963751372037
"Wave_879",-0.000671340280410721
"Wave_880",-0.00154471606413548
"Wave_881",-0.000650974488877087
"Wave_882",0.000270950543025849
"Wave_883",0.00159180941128003
"Wave_884",-0.00051817493279626
"Wave_885",-0.00247797642004963
"Wave_886",-0.00234130317674451
"Wave_887",-0.00246848270513457
"Wave_888",0.000711733467921297
"Wave_889",0.00072312200680181
"Wave_890",-0.0016888466925001
"Wave_891",-0.00218038842068598
"Wave_892",-0.000944832940357057
"Wave_893",-0.00176653467132961
"Wave_894",-0.000844792795719833
"Wave_895",-0.000846570361314582
"Wave_896",-0.00195528875393143
"Wave_897",-0.00307698307261513
"Wave_898",-0.00124206809785199
"Wave_899",-0.00201676918467037
"Wave_900",0.000733020769314189
"Wave_901",0.00128464512235301
"Wave_902",0.00166667632548171
"Wave_903",0.00206718193725085
"Wave_904",0.0015056670664338
"Wave_905",-0.00022324059059422
"Wave_906",0.00146170390528331
"Wave_907",-0.0021320013450578
"Wave_908",-0.00112139103193042
"Wave_909",-0.00114185691276484
"Wave_910",-0.000812921125862958
"Wave_911",-0.00160991393416276
"Wave_912",-0.00129639467847132
"Wave_913",-0.000627383601768309
"Wave_914",0.00056276029411423
"Wave_915",-0.000149555792581481
"Wave_916",0.00104265807212695
"Wave_917",0.000474485659455343
"Wave_918",9.33414247902511e-06
"Wave_919",-0.00165341905422414
"Wave_920",-0.00154662543062266
"Wave_921",0.00085109011270589
"Wave_922",-3.90476490964181e-06
"Wave_923",0.00065202036331529
"Wave_924",0.00125664645320123
"Wave_925",0.00128549078254697
"Wave_926",0.00153000041079693
"Wave_927",0.00128929290455508
"Wave_928",0.00134217368589436
"Wave_929",-0.00267439853102893
"Wave_930",-0.0025545346623263
"Wave_931",-0.00124902841051934
"Wave_932",-0.001032082032037
"Wave_933",0.000203398607282919
"Wave_934",0.00441965126695299
"Wave_935",-0.00150162318917539
"Wave_936",-0.00214317579621452
"Wave_937",0.00206226053193077
"Wave_938",0.00349704060423743
"Wave_939",0.0033046252276362
"Wave_940",0.00535832630637752
"Wave_941",0.00270317085949475
"Wave_942",-0.000427742442695751
"Wave_943",0.00217816063079931
"Wave_944",0.00221048664558785
"Wave_945",0.0041061130941345
"Wave_946",0.00206196251929114
"Wave_947",-0.000545109636007328
"Wave_948",0.00574229422410602
"Wave_949",0.00222746688698925
"Wave_950",0.00188998072602595
"Wave_951",0.000948356223124629
"Wave_952",0.00544910107349665
"Wave_953",0.00746622752253452
"Wave_954",0.00276149859477318
"Wave_955",-0.00176594379784651
"Wave_956",0.00224260741097942
"Wave_957",0.0032683145106957
"Wave_958",0.00450691496728991
"Wave_959",0.00225831696825435
"Wave_960",0.000508014850952038
"Wave_961",-0.000774721885544138
"Wave_962",0.003117985803355
"Wave_963",0.000122768179256357
"Wave_964",-0.00217000467524152
"Wave_965",-0.00707466458696058
"Wave_966",-0.00736311640744632
"Wave_967",-0.00179712195517468
"Wave_968",0.000566542848186221
"Wave_969",-0.00146976581908693
"Wave_970",-0.00344281602927455
"Wave_971",-0.00614065731122813
"Wave_972",-0.00546560258513257
"Wave_973",-0.00416509320617262
"Wave_974",-0.00350291441135584
"Wave_975",-0.00246645045569957
"Wave_976",-0.00100871352745508
"Wave_977",-0.000939280319835082
"Wave_978",-0.00369353285317865
"Wave_979",-0.00373617783027455
"Wave_980",-0.00224465823907344
"Wave_981",-0.00278921847025029
"Wave_982",-0.00272573435811249
"Wave_983",-0.00306141078068214
"Wave_984",-0.00182465935668471
"Wave_985",-0.000918062245237679
"Wave_986",0.000504771683160132
"Wave_987",0.00223743270222943
"Wave_988",0.001838842633027
"Wave_989",0.00143138880868456
"Wave_990",0.00100488242297275
"Wave_991",0.000318835452041659
"Wave_992",-0.000752079885825
"Wave_993",-0.0018910405552038
"Wave_994",-0.002327628052743
"Wave_995",-0.0033935465053038
"Wave_996",-0.00216142577320868
"Wave_997",-0.00156738961568773
"Wave_998",-0.000812173741791925
"Wave_999",-0.000854477970618804
"Wave_1000",-0.00166435776237236
"Wave_1001",-0.00247338678271963
"Wave_1002",-0.0033258241363303
"Wave_1003",-0.00417989100399017
"Wave_1004",-0.00423081265104171
"Wave_1005",-0.00365730960898264
"Wave_1006",-0.00335736261746854
"Wave_1007",-0.00330875165951889
"Wave_1008",-0.00262829272264099
"Wave_1009",-0.00190311305180264
"Wave_1010",-0.00108215888510732
"Wave_1011",-0.000515705332569202
"Wave_1012",2.6397434434078e-05
"Wave_1013",0.000542579072150248
"Wave_1014",0.000818553003757808
"Wave_1015",0.000221199017731783
"Wave_1016",0.000164242667285387
"Wave_1017",-5.21368618851815e-05
"Wave_1018",-0.00028301429342125
"Wave_1019",-0.000362530420019471
"Wave_1020",-0.000423882115085252
"Wave_1021",-0.000480704142717609
"Wave_1022",-0.000429136456365323
"Wave_1023",-0.000344801756019661
"Wave_1024",-0.000233604336747864
"Wave_1025",-0.000215874262486603
"Wave_1026",0.00046898825589143
"Wave_1027",-0.000225723083038258
"Wave_1028",-0.000377616478352367
"Wave_1029",-0.000451270188305537
"Wave_1030",-0.00111580301975593
"Wave_1031",-0.00106257670892206
"Wave_1032",-0.000299890886922638
"Wave_1033",-0.000207813787960881
"Wave_1034",-0.000127901604901027
"Wave_1035",-6.6312505154557e-05
"Wave_1036",-2.79413824056972e-05
"Wave_1037",-5.39775381215109e-05
"Wave_1038",-0.000146364595757765
"Wave_1039",-0.000300786492657788
"Wave_1040",0.000280186613567736
