"","Jmax25_Rog.8.comps"
"(Intercept)",315.846340998178
"Wave_500",0.318757298577259
"Wave_501",0.321101025294638
"Wave_502",0.320265461249061
"Wave_503",0.316665097169715
"Wave_504",0.320164820652343
"Wave_505",0.311089342047392
"Wave_506",0.297513240525656
"Wave_507",0.279018624888996
"Wave_508",0.257022765683054
"Wave_509",0.250310785563657
"Wave_510",0.254199915771372
"Wave_511",0.231356090437306
"Wave_512",0.213859598158529
"Wave_513",0.199886403649452
"Wave_514",0.179871237391266
"Wave_515",0.156342651009317
"Wave_516",0.127496773001092
"Wave_517",0.0978771464337782
"Wave_518",0.0704055492324982
"Wave_519",0.0479577506110947
"Wave_520",0.0212524957989023
"Wave_521",-0.00589954311845425
"Wave_522",-0.0354699785173147
"Wave_523",-0.0697313120368828
"Wave_524",-0.112556876423447
"Wave_525",-0.13682080943918
"Wave_526",-0.159641110203659
"Wave_527",-0.171400875864199
"Wave_528",-0.186080209879058
"Wave_529",-0.191954526163826
"Wave_530",-0.190387129281699
"Wave_531",-0.20080645468335
"Wave_532",-0.21123030562343
"Wave_533",-0.219885793198718
"Wave_534",-0.229356345243573
"Wave_535",-0.215980755315083
"Wave_536",-0.194072547357234
"Wave_537",-0.172415182654057
"Wave_538",-0.159550088175258
"Wave_539",-0.160553572482506
"Wave_540",-0.157864740829583
"Wave_541",-0.153603151855834
"Wave_542",-0.145158046233888
"Wave_543",-0.129085658946326
"Wave_544",-0.111816323729209
"Wave_545",-0.092300876289471
"Wave_546",-0.08389369304182
"Wave_547",-0.0810682921551464
"Wave_548",-0.0812449688195836
"Wave_549",-0.069704801324219
"Wave_550",-0.0591733543442504
"Wave_551",-0.0571720138150608
"Wave_552",-0.0496829051156822
"Wave_553",-0.0213792810913807
"Wave_554",-0.00878063007445921
"Wave_555",-0.0150229201623975
"Wave_556",-0.0021862852197827
"Wave_557",0.0111964193552494
"Wave_558",0.00882314144645028
"Wave_559",0.0179460771795337
"Wave_560",0.0367134706518502
"Wave_561",0.040642513911229
"Wave_562",0.0409273578429927
"Wave_563",0.0513103835420163
"Wave_564",0.0593578778319773
"Wave_565",0.0670990332672163
"Wave_566",0.073577540079432
"Wave_567",0.0894315089809818
"Wave_568",0.101601532450398
"Wave_569",0.113909792015582
"Wave_570",0.124354380719373
"Wave_571",0.138510216047627
"Wave_572",0.145353330116717
"Wave_573",0.148623167417274
"Wave_574",0.149539957445423
"Wave_575",0.147586129883778
"Wave_576",0.149209239484046
"Wave_577",0.149144544976206
"Wave_578",0.139290189808946
"Wave_579",0.136489474200276
"Wave_580",0.142049520116508
"Wave_581",0.147733225212045
"Wave_582",0.147690203089631
"Wave_583",0.15195142744728
"Wave_584",0.162197964583867
"Wave_585",0.156077415616526
"Wave_586",0.154886624809046
"Wave_587",0.157142504269652
"Wave_588",0.15843817583694
"Wave_589",0.157400675838368
"Wave_590",0.161778353400922
"Wave_591",0.168998029863973
"Wave_592",0.172340868570776
"Wave_593",0.170904936231731
"Wave_594",0.167742622312893
"Wave_595",0.162667184599402
"Wave_596",0.162590521373935
"Wave_597",0.170818822660034
"Wave_598",0.182317374956
"Wave_599",0.17901248815815
"Wave_600",0.179617907742484
"Wave_601",0.185659135850277
"Wave_602",0.191806770250226
"Wave_603",0.201512891716142
"Wave_604",0.209358345737657
"Wave_605",0.214445236298283
"Wave_606",0.217816702963344
"Wave_607",0.222653553941676
"Wave_608",0.229276154427123
"Wave_609",0.23108311233186
"Wave_610",0.227205399728808
"Wave_611",0.230523550060616
"Wave_612",0.23432010298843
"Wave_613",0.238585905172148
"Wave_614",0.23638144764776
"Wave_615",0.229638842411327
"Wave_616",0.229785658556211
"Wave_617",0.232496948875648
"Wave_618",0.230628188118893
"Wave_619",0.229613897444071
"Wave_620",0.225014323378668
"Wave_621",0.214935363712578
"Wave_622",0.20772909115229
