"Sample_ID","Sample_Date","USDA_Species_Code","Cmass_mg_g","Nmass_mg_g","LMA_gDW_m2","LWC","Carea_g_m2","Narea_g_m2","CN_ratio"
"BNL13145",20170730,"BENA",538.5,22.9,201.22,NA,108.36,4.61,23.52
"BNL13186",20170730,"BENA",488.6,16.3,191.87,NA,93.75,3.13,29.98
"BNL13152",20170730,"SAPU15",504.4,22.8,118.33,NA,59.68,2.7,22.12
"BNL13467",20170801,"SALAC2",465.3,23,90.7,NA,42.2,2.09,20.23
"BNL13173",20170801,"SALAC2",483.4,22.8,92.89,NA,44.9,2.12,21.2
"BNL13111",20170801,"SAPU15",501.5,20.7,108.05,NA,54.19,2.24,24.23
"BNL13104",20170801,"SAPU15",516.4,24,104.31,NA,53.86,2.5,21.52
"BNL13109",20170801,"SAPU15",510.4,18.3,92.81,NA,47.37,1.7,27.89
"BNL13110",20170801,"SAPU15",502.6,15.4,103.7,NA,52.12,1.6,32.64
"BNL13470",20170801,"SALAC2",458.6,19.1,88.02,NA,40.37,1.68,24.01
"BNL13466",20170801,"SALAC2",482.1,19.2,93.7,NA,45.17,1.8,25.11
"BNL13155",20170801,"SALAC2",462.4,22.8,92.99,NA,43,2.12,20.28
"BNL13465",20170801,"SALAC2",466.6,22.6,101.06,NA,47.16,2.28,20.65
"BNL13105",20170801,"SAPU15",504.4,22,102.29,NA,51.6,2.25,22.93
"BNL13116",20170801,"SAPU15",493.6,18.6,106.17,NA,52.41,1.97,26.54
"BNL13124",20170801,"SAPU15",494,19.3,115.15,NA,56.88,2.22,25.6
"BNL13125",20170801,"SAPU15",513.5,22.2,124.46,NA,63.91,2.76,23.13
"BNL13091",20170801,"SAPU15",507.5,21.3,197.48,NA,100.22,4.21,23.83
"BNL13032",20170801,"SAPU15",510.6,22.7,116.6,NA,59.54,2.65,22.49
"BNL13099",20170801,"SAGL",498.7,20.6,97.53,NA,48.64,2.01,24.21
"BNL13100",20170801,"SAPU15",504.8,21.9,113.7,NA,57.4,2.49,23.05
"BNL13057",20170801,"SAPU15",511.3,19.2,117.22,NA,59.94,2.25,26.63
"BNL13453",20170801,"SAPU15",518.6,19.4,100.88,NA,52.32,1.96,26.73
"BNL13068",20170801,"SAPU15",518.5,21.5,116.36,NA,60.33,2.5,24.12
"BNL13461",20170801,"SAGL",515.2,24.7,100.53,NA,51.79,2.48,20.86
"BNL13463",20170801,"SAPU15",504.3,17.1,119.17,NA,60.1,2.04,29.49
"BNL13459",20170801,"SALAC2",450,22.7,82.75,NA,37.24,1.88,19.82
"BNL13458",20170801,"SALAC2",476.6,22.4,88.46,NA,42.16,1.98,21.28
"BNL13138",20170801,"SAPU15",502.3,23.9,84.66,NA,42.52,2.02,21.02
