"Location","Sample_ID","Sample_Date","USDA_Species_Code","Tcanopy_degC","TairCanopy_degC","Tleaf_degC","TairLeaf_degC","Tleaf_minus_Tair","Tcanopy_minus_Tair"
"Seward_Peninsula","BNL13176",20190703,"VAUL",NA,NA,NA,NA,NA,NA
"Seward_Peninsula","BNL13177",20190703,"RUCH",NA,NA,15.2,NA,NA,NA
"Seward_Peninsula","BNL13178",20190703,"SAPU15",NA,NA,13.2,NA,NA,NA
"Seward_Peninsula","BNL13179",20190703,"BENA",NA,NA,NA,NA,NA,NA
"Seward_Peninsula","BNL13180",20190703,"VAUL",NA,NA,NA,NA,NA,NA
"Seward_Peninsula","BNL13334",20190703,"BENA",NA,NA,NA,NA,NA,NA
"Seward_Peninsula","BNL13335",20190703,"BEGL",NA,NA,NA,NA,NA,NA
"Seward_Peninsula","BNL13336",20190703,"VAUL",NA,NA,NA,NA,NA,NA
"Seward_Peninsula","BNL13337",20190703,"BENA",NA,NA,NA,NA,NA,NA
"Seward_Peninsula","BNL13338",20190703,"SAPU15",NA,NA,13.8,NA,NA,NA
"Seward_Peninsula","BNL13339",20190703,"ALVI5",NA,NA,14.6,NA,NA,NA
"Seward_Peninsula","BNL13340",20190703,"SARI4",NA,NA,14.1,NA,NA,NA
"Seward_Peninsula","BNL13341",20190703,"RUCH",NA,NA,16.7,NA,NA,NA
"Seward_Peninsula","BNL13342",20190703,"VAUL",NA,NA,NA,NA,NA,NA
"Seward_Peninsula","BNL13344",20190703,"ALVI5",NA,NA,20,NA,NA,NA
"Seward_Peninsula","BNL13345",20190703,"BEGL",NA,NA,15.2,NA,NA,NA
"Seward_Peninsula","BNL13346",20190703,"ALVI5",NA,NA,20,NA,NA,NA
"Seward_Peninsula","BNL13347",20190703,"VAUL",NA,NA,NA,NA,NA,NA
"Seward_Peninsula","BNL13348",20190703,"ALVI5",NA,NA,16.6,NA,NA,NA
"Seward_Peninsula","BNL13349",20190703,"ALVI5",NA,NA,15.8,NA,NA,NA
"Seward_Peninsula","BNL13350",20190703,"ALVI5",NA,NA,16.4,NA,NA,NA
"Seward_Peninsula","BNL13351",20190703,"BENA",NA,NA,NA,NA,NA,NA
"Seward_Peninsula","BNL13352",20190703,"VAUL",NA,NA,NA,NA,NA,NA
"Seward_Peninsula","BNL13353",20190703,"SAPU15",NA,NA,18.6,NA,NA,NA
"Seward_Peninsula","BNL13354",20190703,"BENA",NA,NA,19.5,NA,NA,NA
"Seward_Peninsula","BNL13355",20190703,"ALVI5",NA,NA,17,NA,NA,NA
"Seward_Peninsula","BNL13483",20190703,"ALVI5",NA,NA,16,NA,NA,NA
"Seward_Peninsula","BNL13484",20190703,"BEGL",NA,NA,16.4,NA,NA,NA
"Seward_Peninsula","BNL13485",20190703,"BENA",NA,NA,NA,NA,NA,NA
"Seward_Peninsula","BNL13486",20190703,"ARALA7",NA,NA,15,NA,NA,NA
"Seward_Peninsula","BNL13487",20190703,"POBIP",NA,NA,16.2,NA,NA,NA
"Seward_Peninsula","BNL13488",20190703,"BEGL",NA,NA,14.4,NA,NA,NA
"Seward_Peninsula","BNL13489",20190703,"ALVI5",NA,NA,13.9,NA,NA,NA
"Seward_Peninsula","BNL13490",20190703,"SAPU15",NA,NA,14.1,NA,NA,NA
"Seward_Peninsula","BNL13491",20190703,"ARALA7",NA,NA,14,NA,NA,NA
"Seward_Peninsula","BNL13492",20190703,"ARALA7",NA,NA,14,NA,NA,NA
"Seward_Peninsula","BNL13493",20190703,"ARALA7",NA,NA,15.6,NA,NA,NA
"Seward_Peninsula","BNL13494",20190703,"BEPU4",NA,NA,14,NA,NA,NA
