"Sample_ID","Sample_Date","USDA_Species_Code","Cmass_mg_g","Nmass_mg_g","LMA_gDW_m2","LWC","Carea_g_m2","Narea_g_m2","CN_ratio"
"BNL2266",20160726,"ALVIF",477.7,23.7,93.24,NA,44.542,2.21,20.156
"BNL2265",20160726,"ALVIF",483.3,24.6,100.17,NA,48.411,2.464,19.646
"BNL2264",20160726,"ALVIF",491.5,24.6,106.9,NA,52.542,2.63,19.98
"BNL2263",20160726,"ALVIF",486.2,16.5,122.36,NA,59.492,2.019,29.467
"BNL2262",20160726,"ALVIF",482.5,21.7,112.54,NA,54.301,2.442,22.235
"BNL2261",20160726,"ALVIF",484.7,25,105.27,NA,51.026,2.632,19.388
"BNL2260",20160726,"ALVIF",485.1,23.1,99.49,NA,48.264,2.298,21
"BNL2259",20160726,"ALVIF",489.9,21,96.29,NA,47.175,2.022,23.329
"BNL2258",20160726,"ALVIF",488.1,25.5,111.44,NA,54.392,2.842,19.141
"BNL2257",20160726,"SAPU15",501.7,26.1,70.19,NA,35.216,1.832,19.222
"BNL2256",20160726,"ALVIF",482.5,20.9,101.05,NA,48.757,2.112,23.086
"BNL2255",20160726,"SAPU15",507.3,21.3,124.18,NA,62.995,2.645,23.817
"BNL2254",20160726,"SAPU15",498.5,17.6,116.47,NA,58.058,2.05,28.324
"BNL2253",20160726,"SAPU15",501.4,20.7,98.41,NA,49.342,2.037,24.222
"BNL2252",20160726,"SAPU15",499.8,16.9,123.1,NA,61.526,2.08,29.574
"BNL2251",20160726,"ALVIF",484.2,23.8,100.09,NA,48.465,2.382,20.345
"BNL2250",20160726,"ALVIF",480.5,22.7,108.93,NA,52.342,2.473,21.167
"BNL2249",20160726,"SAPU15",506.2,20.9,87.31,NA,44.197,1.825,24.22
"BNL2248",20160726,"SAPU15",503.4,17.1,95.48,NA,48.062,1.633,29.439
"BNL2247",20160726,"SAPU15",485.7,13.9,87.9,NA,42.695,1.222,34.942
"BNL2246",20160726,"ALVIF",510.3,20.2,101.93,NA,52.017,2.059,25.262
"BNL2245",20160726,"SAPU15",506.6,18.6,118.21,NA,59.884,2.199,27.237
"BNL2244",20160726,"SAPU15",494.6,19.8,78.51,NA,38.831,1.554,24.98
"BNL2243",20160726,"ALVIF",483.9,23.2,96.83,NA,46.855,2.246,20.858
"BNL2242",20160726,"SAPU15",508.5,21.7,103.78,NA,52.771,2.252,23.433
"BNL2241",20160726,"ALVIF",498,24.3,100.09,NA,49.846,2.432,20.494
"BNL2240",20160726,"SAPU15",489.5,22.3,94.87,NA,46.439,2.116,21.951
"BNL2239",20160726,"ALVIF",492.6,27.7,97.59,NA,48.072,2.703,17.783
"BNL2238",20160726,"SAPU15",499.2,15.5,96.11,NA,47.979,1.49,32.206
"BNL2237",20160726,"ALVIF",488.4,21.2,109.2,NA,53.334,2.315,23.038
"BNL2236",20160726,"SAPU15",500.6,19.2,98.02,NA,49.07,1.882,26.073
