"Location","Sample_ID","Sample_Date","USDA_Species_Code","Asat","Tleaf","Ci","VcmaxT_one_point","Vcmax25_Rog","Vcmax25_Bern"
"Utqiagvik","BNL1960",20160713,"ARLA2",15.37,25.16,246,79,78.0779748214032,77.8911911750994
"Utqiagvik","BNL2107",20160718,"ARLA2",14.03,5.03,337,21,101.072144743755,139.269379689551
"Utqiagvik","BNL2108",20160718,"ARLA2",11.25,5.98,343,17,75.5415301206295,102.408394161034
"Utqiagvik","BNL2123",20160718,"ARLA2",8.4,5.13,350,12,57.2706680432459,78.778818392746
"Utqiagvik","BNL2124",20160718,"ARLA2",9.64,5.2,339,14,66.4228911974138,91.2583150044115
"Utqiagvik","BNL2125",20160718,"ARLA2",13.47,6.72,295,22,91.8993376069523,123.022589739768
"Utqiagvik","BNL2126",20160718,"ARLA2",7.41,4.88,365,11,53.6168858238969,74.0708233693849
"Utqiagvik","BNL2175",20160720,"ARLA2",6.6,5.61,347,10,45.8367572348937,62.53356909565
"Utqiagvik","BNL2176",20160720,"ARLA2",7.53,5.14,253,12,57.2224272107445,78.698929288924
"Utqiagvik","BNL2177",20160720,"ARLA2",7.08,6.91,316,11,45.228489843748,60.3507829498619
"Utqiagvik","BNL1874",20160711,"CAAQ",14.79,15.18,244,39,82.1900880304585,95.6910148990546
"Utqiagvik","BNL1878",20160711,"CAAQ",9.11,15.26,286,21,43.9792224607028,51.1379118450722
"Utqiagvik","BNL1879",20160711,"CAAQ",19.08,15.11,251,49,103.833602759673,121.025428641469
"Utqiagvik","BNL1924",20160712,"CAAQ",14.13,14.88,248,36,77.6775515593891,90.8732404090253
"Utqiagvik","BNL1926",20160712,"CAAQ",15.15,15.48,174,52,107.038811097609,124.024807685216
"Utqiagvik","BNL1950",20160713,"CAAQ",14.32,24.57,229,75,77.4088782440158,77.9097547204804
"Utqiagvik","BNL1951",20160713,"CAAQ",9.6,24.76,235,50,50.889490142397,51.0728962608519
"Utqiagvik","BNL1952",20160713,"CAAQ",8.86,24.68,185,60,61.4277752991908,61.7232135637376
"Utqiagvik","BNL1953",20160713,"CAAQ",7.63,24.33,135,75,78.7899846093991,79.5864226444564
"Utqiagvik","BNL1963",20160714,"CAAQ",16.43,14.99,254,41,87.704202933656,102.422295433426
"Utqiagvik","BNL1964",20160714,"CAAQ",20.61,15.09,278,49,103.996838612869,121.254545338878
"Utqiagvik","BNL1965",20160714,"CAAQ",11.42,15.15,188,36,76.0466696218902,88.5810035226605
"Utqiagvik","BNL1985",20160714,"CAAQ",14.3,15.15,240,38,80.2714846008841,93.5021703850306
"Utqiagvik","BNL1986",20160714,"CAAQ",18.39,14.92,277,43,92.4900807970782,108.132661199269
"Utqiagvik","BNL1987",20160714,"CAAQ",9.95,15.13,3507,11,23.2730021007638,27.1176437203867
"Utqiagvik","BNL1988",20160714,"CAAQ",9.27,15.16,213,27,56.9902399826225,66.3729800243891
"Utqiagvik","BNL1997",20160714,"CAAQ",16.86,15.23,282,40,83.9673672075818,97.6820004791245
"Utqiagvik","BNL1998",20160714,"CAAQ",10.37,16.64,334,24,45.127662609093,51.3323252849895
"Utqiagvik","BNL2000",20160716,"CAAQ",15.78,15.16,209,46,97.0944829333568,113.079891893404
"Utqiagvik","BNL2001",20160716,"CAAQ",17.34,14.98,215,49,104.899642657709,122.523037509524
"Utqiagvik","BNL2038",20160716,"CAAQ",11,15.09,281,26,55.181995998665,64.3391465063435
"Utqiagvik","BNL2039",20160716,"CAAQ",13.66,14.94,253,34,73.0167671802952,85.3384960827262
"Utqiagvik","BNL2073",20160718,"CAAQ",13.95,4.82,335,20,97.9804078163492,135.498266466286
"Utqiagvik","BNL2074",20160718,"CAAQ",10.54,4.98,351,15,72.4995022609092,99.984541468616
"Utqiagvik","BNL2075",20160718,"CAAQ",6.04,5.1,340,9,43.0617416684599,59.2642553950124
"Utqiagvik","BNL2076",20160718,"CAAQ",6.65,5,358,10,48.2515262628536,66.5210971568928
"Utqiagvik","BNL2077",20160718,"CAAQ",9.17,5.24,350,13,61.4709735166866,84.3968589425168
"Utqiagvik","BNL2141",20160719,"CAAQ",10.38,5.59,348,15,68.8707245332663,93.9902523238668
"Utqiagvik","BNL2142",20160719,"CAAQ",11.39,4.18,257,18,93.0917846839703,130.168622240083
"Utqiagvik","BNL2143",20160719,"CAAQ",7.62,4.85,342,11,53.7528678921757,74.2970649182544
"Utqiagvik","BNL2144",20160719,"CAAQ",11.94,6.45,334,18,76.9026531208928,103.421044625899
"Utqiagvik","BNL2145",20160719,"CAAQ",4.94,4.92,316,7,34.0048270511169,46.9447457728461
"Utqiagvik","BNL2146",20160719,"CAAQ",11.89,7.43,326,19,74.8199927041432,98.9605411803688
"Utqiagvik","BNL2147",20160719,"CAAQ",8.5,5.14,351,12,57.2224272107445,78.698929288924
"Utqiagvik","BNL2149",20160718,"CAAQ",8.56,5.14,345,13,61.9909628116398,85.2571733963344
"Utqiagvik","BNL2150",20160718,"CAAQ",10.22,4.64,338,15,74.6117538662594,103.502213451656
"Utqiagvik","BNL2155",20160719,"CAAQ",9,4.8,339,13,63.7949438257143,88.2531946413721
"Utqiagvik","BNL2159",20160719,"CAAQ",10,5.15,331,15,71.4677880942653,98.2739086657879
"Utqiagvik","BNL2161",20160719,"CAAQ",9.44,5.14,281,15,71.5280340134306,98.3736616111551
"Utqiagvik","BNL2162",20160719,"CAAQ",7.95,4.94,327,12,58.1956803126514,80.3133275802731
"Utqiagvik","BNL2163",20160719,"CAAQ",6.88,5.04,345,10,48.0890225697244,66.2514504682245
"Utqiagvik","BNL2167",20160719,"CAAQ",12.03,5.18,338,18,85.5448566287412,117.570359021105
"Utqiagvik","BNL1818",20160709,"ERAN6",13.09,14.87,257,32,69.1010498630403,80.8527569280947
"Utqiagvik","BNL1819",20160709,"ERAN6",14.88,14.94,295,34,73.0167671802952,85.3384960827262
"Utqiagvik","BNL1820",20160709,"ERAN6",14.34,15.2,261,36,75.748764016867,88.1633672837369
"Utqiagvik","BNL1821",20160709,"ERAN6",13.9,15.23,207,41,86.0665513877714,100.124050491103
"Utqiagvik","BNL1822",20160709,"ERAN6",14.8,18.74,255,46,73.557361787822,80.9503791424991
"Utqiagvik","BNL1823",20160710,"ERAN6",14.87,14.99,248,38,81.2868222311934,94.9279811334196
"Utqiagvik","BNL1824",20160709,"ERAN6",8.92,15.04,608,14,29.8303289826564,34.8083932696995
"Utqiagvik","BNL1827",20160710,"ERAN6",10.25,14.85,266,25,54.070206449793,63.2859976872838
"Utqiagvik","BNL1828",20160710,"ERAN6",15.25,15.17,182,50,105.454659223196,122.796798271195
"Utqiagvik","BNL1829",20160710,"ERAN6",17.51,14.99,264,43,91.9824567352978,107.418504966764
"Utqiagvik","BNL1835",20160710,"ERAN6",12.96,14.99,247,33,70.591187727089,82.4374573000749
"Utqiagvik","BNL1837",20160710,"ERAN6",16.63,15.16,293,38,80.2084859014686,93.4138237380292
"Utqiagvik","BNL1838",20160710,"ERAN6",11.64,15.2,229,32,67.3322346816595,78.3674375855439
"Utqiagvik","BNL1839",20160710,"ERAN6",19.5,14.8,284,45,97.7100706900468,114.455734058215
"Utqiagvik","BNL1840",20160710,"ERAN6",12.74,15.08,286,30,63.7215681157951,74.3077213700639
"Utqiagvik","BNL1877",20160713,"ERAN6",10.62,24.53,227,56,57.9691213705963,58.3792829433092
"Utqiagvik","BNL1923",20160712,"ERAN6",11.17,5.66,317,17,77.5960289450536,105.771055926727
"Utqiagvik","BNL1935",20160712,"ERAN6",10.2,6.97,308,16,65.4593597200402,87.2570124698745
"Utqiagvik","BNL1961",20160713,"ERAN6",11.24,24.77,180,79,80.3462946396879,80.6237678095154
"Utqiagvik","BNL2032",20160717,"ERAN6",9.16,5.4,322,14,65.3141039468567,89.4272983185597
"Utqiagvik","BNL2052",20160717,"ERAN6",9.28,5.1,250,15,71.7695694474331,98.7737589916873
"Utqiagvik","BNL2053",20160717,"ERAN6",11.06,5.11,340,16,76.4897095645109,105.251809659252
