"","x"
"Wave_500",1.05648904921547
"Wave_501",1.06741969452438
"Wave_502",1.08035033139226
"Wave_503",1.09753512708384
"Wave_504",1.10958496103335
"Wave_505",1.12089209325829
"Wave_506",1.13629073500573
"Wave_507",1.14861235823601
"Wave_508",1.16379000213791
"Wave_509",1.18501365162713
"Wave_510",1.20652663911039
"Wave_511",1.21837735964634
"Wave_512",1.22958990194377
"Wave_513",1.24171265133429
"Wave_514",1.2528832256379
"Wave_515",1.26246309578236
"Wave_516",1.27138071731149
"Wave_517",1.2846601707194
"Wave_518",1.28887376389928
"Wave_519",1.29236098639935
"Wave_520",1.29296632082891
"Wave_521",1.29075882167235
"Wave_522",1.28823744858226
"Wave_523",1.28314740523325
"Wave_524",1.27533176016653
"Wave_525",1.27293270163866
"Wave_526",1.26188087528067
"Wave_527",1.24381575929781
"Wave_528",1.24043714599336
"Wave_529",1.23041365973799
"Wave_530",1.22268183356133
"Wave_531",1.22230928041852
"Wave_532",1.21270831609236
"Wave_533",1.20234488159733
"Wave_534",1.19133594724107
"Wave_535",1.18613421336693
"Wave_536",1.1804659927834
"Wave_537",1.17395107260158
"Wave_538",1.16836875260109
"Wave_539",1.16283086886034
"Wave_540",1.15663932392569
"Wave_541",1.14602657445087
"Wave_542",1.14721773933169
"Wave_543",1.14307055345384
"Wave_544",1.13632090610284
"Wave_545",1.13538737450269
"Wave_546",1.13537876072892
"Wave_547",1.13409141020534
"Wave_548",1.13280732691442
"Wave_549",1.12975912425561
"Wave_550",1.12966917022257
"Wave_551",1.12710293242669
"Wave_552",1.12426770931214
"Wave_553",1.12453895420916
"Wave_554",1.1262150852508
"Wave_555",1.12925846050559
"Wave_556",1.13192514888322
"Wave_557",1.13150482706138
"Wave_558",1.12764438368479
"Wave_559",1.12980732298873
"Wave_560",1.1336521368252
"Wave_561",1.13597560327032
"Wave_562",1.13788923318183
"Wave_563",1.14613452706406
"Wave_564",1.15019819826089
"Wave_565",1.15603290477461
"Wave_566",1.16261868722892
"Wave_567",1.17480971510653
"Wave_568",1.18483080791054
"Wave_569",1.19472079651995
"Wave_570",1.20387456117031
"Wave_571",1.20658506999273
"Wave_572",1.20780789389975
"Wave_573",1.20934528979912
"Wave_574",1.21156698225989
"Wave_575",1.21367918043456
"Wave_576",1.21631415538686
"Wave_577",1.21410359707332
"Wave_578",1.21864027564567
"Wave_579",1.22039411609883
"Wave_580",1.22002508285556
"Wave_581",1.2247060987627
"Wave_582",1.22737960081574
"Wave_583",1.22904040943027
"Wave_584",1.22909853660181
"Wave_585",1.23387314240155
"Wave_586",1.23944171148915
"Wave_587",1.24374627006207
"Wave_588",1.24417889778914
"Wave_589",1.2510640646606
"Wave_590",1.25724505891072
"Wave_591",1.25978796618394
"Wave_592",1.26673246292146
"Wave_593",1.27173172089572
"Wave_594",1.27620891934043
"Wave_595",1.28023074327876
"Wave_596",1.28423598436422
"Wave_597",1.29019876147335
"Wave_598",1.29795266031124
"Wave_599",1.30725808348468
"Wave_600",1.31407331780799
"Wave_601",1.31897569940981
"Wave_602",1.32307694696791
"Wave_603",1.33042902459865
"Wave_604",1.33468615806183
"Wave_605",1.33635999796796
"Wave_606",1.33674318597657
"Wave_607",1.33471528386168
"Wave_608",1.33412259399248
"Wave_609",1.33392560751486
"Wave_610",1.33192692133305
"Wave_611",1.32776703151529
"Wave_612",1.32494397811507
"Wave_613",1.32459567072776
"Wave_614",1.32170995307396
"Wave_615",1.31321946562996
"Wave_616",1.30640502334701
"Wave_617",1.3042143790479
"Wave_618",1.30067655629865
"Wave_619",1.29659118862612
"Wave_620",1.29178958277738
"Wave_621",1.28870974761109
"Wave_622",1.2833244708559
"Wave_623",1.28019625495573
"Wave_624",1.27845172696289
"Wave_625",1.27955423001553
"Wave_626",1.27975301881545
"Wave_627",1.27885351295231
"Wave_628",1.27677867788563
"Wave_629",1.27426999373019
"Wave_630",1.27095344020254
"Wave_631",1.26850848106093
"Wave_632",1.26904048043281
"Wave_633",1.27341530508239
"Wave_634",1.2741808135839
"Wave_635",1.27237932338282
"Wave_636",1.27220303305441
"Wave_637",1.27693497526902
"Wave_638",1.28163892121376
"Wave_639",1.28576387046817
"Wave_640",1.28944368580415
"Wave_641",1.2904029960976
"Wave_642",1.2924535527421
"Wave_643",1.29543704929112
"Wave_644",1.29339896884052
"Wave_645",1.28835926434377
"Wave_646",1.2837677131549
"Wave_647",1.28276893953376
"Wave_648",1.27571364932059
"Wave_649",1.26697563070547
"Wave_650",1.25699666742047
"Wave_651",1.24368693850021
"Wave_652",1.22969458046806
"Wave_653",1.22024306804612
"Wave_654",1.21308988093733
"Wave_655",1.2037809071664
"Wave_656",1.18929824899789
"Wave_657",1.17408531581933
"Wave_658",1.15939930757749
"Wave_659",1.14306749658662
"Wave_660",1.12634831512232
"Wave_661",1.11155414125149
"Wave_662",1.09751431747586
"Wave_663",1.0833115883878
"Wave_664",1.0690219121325
"Wave_665",1.0555611273531
"Wave_666",1.04344392644851
"Wave_667",1.03360611359519
"Wave_668",1.02635630204364
"Wave_669",1.02139221605316
"Wave_670",1.01988315791773
"Wave_671",1.01892277922367
"Wave_672",1.0186686009629
"Wave_673",1.01901526955346
"Wave_674",1.02092866058914
"Wave_675",1.0244411475777
"Wave_676",1.02953271041064
"Wave_677",1.0343538899331
"Wave_678",1.03822130841188
"Wave_679",1.05004957894935
"Wave_680",1.06088128702605
"Wave_681",1.07176636916527
"Wave_682",1.087862752626
"Wave_683",1.10316781654014
"Wave_684",1.118086298357
"Wave_685",1.13228791267789
"Wave_686",1.1594543014915
"Wave_687",1.18642021903007
"Wave_688",1.21212886228331
"Wave_689",1.23459758500024
"Wave_690",1.25720989008239
"Wave_691",1.26643885408865
"Wave_692",1.2817708425557
"Wave_693",1.30852575071791
"Wave_694",1.29692136271049
"Wave_695",1.31516073730109
"Wave_696",1.32814954720956
"Wave_697",1.31523287017884
"Wave_698",1.27656868948645
"Wave_699",1.26876657564747
"Wave_700",1.25512514972481
"Wave_701",1.21784868643436
"Wave_702",1.21098164504355
"Wave_703",1.18863852707762
"Wave_704",1.15028274345288
"Wave_705",1.10868021413319
"Wave_706",1.10573642690543
"Wave_707",1.08156972572402
"Wave_708",1.04546897375782
"Wave_709",1.00792326703754
"Wave_710",1.00175383612992
"Wave_711",0.996617764351002
"Wave_712",0.97623696224588
"Wave_713",0.950602983072871
"Wave_714",0.952880899981353
"Wave_715",0.953525558894555
"Wave_716",0.946017163375323
"Wave_717",0.939969313022094
"Wave_718",0.942671897031768
"Wave_719",0.946928747343565
"Wave_720",0.952477642809804
"Wave_721",0.953910914935478
"Wave_722",0.953054995199835
"Wave_723",0.956717899698147
"Wave_724",0.962268954141827
"Wave_725",0.966280686343602
"Wave_726",0.972785663059619
"Wave_727",0.975761872721436
"Wave_728",0.978181596656413
"Wave_729",0.985905396295794
"Wave_730",0.98973942877507
"Wave_731",0.99432545937596
"Wave_732",1.00215863728256
"Wave_733",1.00803230676163
"Wave_734",1.0118451516685
"Wave_735",1.01947836994809
"Wave_736",1.03464312406438
"Wave_737",1.0401502149229
"Wave_738",1.0438284750574
"Wave_739",1.05273745244248
"Wave_740",1.06278859684249
"Wave_741",1.06413196038597
"Wave_742",1.07314620885268
"Wave_743",1.08776139976643
"Wave_744",1.09210872649579
"Wave_745",1.0999207978191
"Wave_746",1.1110731089963
"Wave_747",1.11579551900621
"Wave_748",1.11604756361091
"Wave_749",1.12561892981432
"Wave_750",1.13345703891236
"Wave_751",1.13497014969439
"Wave_752",1.14060985196685
"Wave_753",1.1445070981373
"Wave_754",1.15366959182147
"Wave_755",1.15680939558738
"Wave_756",1.16112400594955
"Wave_757",1.16468252918957
"Wave_758",1.16772896212619
"Wave_759",1.16747849401522
"Wave_760",1.17144952161498
"Wave_761",1.17076449126358
"Wave_762",1.16882263497699
"Wave_763",1.16449376443227
"Wave_764",1.16760161374338
"Wave_765",1.16600600754627
"Wave_766",1.1641886829646
"Wave_767",1.16690808465125
"Wave_768",1.16927024172307
"Wave_769",1.16915989574707
"Wave_770",1.16634999461057
"Wave_771",1.16297703966153
"Wave_772",1.16355131297526
"Wave_773",1.15626255873798
"Wave_774",1.15019868728026
"Wave_775",1.15724846457241
"Wave_776",1.16170356855841
"Wave_777",1.15028176279824
"Wave_778",1.14658007694226
"Wave_779",1.14643587271895
"Wave_780",1.14929531002511
"Wave_781",1.15577425927852
"Wave_782",1.15582229636134
"Wave_783",1.15474810416015
"Wave_784",1.14974013056869
"Wave_785",1.13485379180898
"Wave_786",1.14010854232867
"Wave_787",1.14650536125581
"Wave_788",1.14844311893095
"Wave_789",1.14987419924609
"Wave_790",1.14810702454941
"Wave_791",1.13817321659065
"Wave_792",1.13486921109254
"Wave_793",1.13637212197713
"Wave_794",1.13391854293479
"Wave_795",1.14232245826253
"Wave_796",1.14711355004807
"Wave_797",1.14550633082782
"Wave_798",1.13813056271498
"Wave_799",1.12951123398174
"Wave_800",1.13556627437468
"Wave_801",1.13937168623145
"Wave_802",1.13923604150302
"Wave_803",1.139891114043
"Wave_804",1.14434610733778
"Wave_805",1.14436378102974
"Wave_806",1.14262312006855
"Wave_807",1.14143224389356
"Wave_808",1.13211128524783
"Wave_809",1.14039909074484
"Wave_810",1.14058508010025
"Wave_811",1.13943165834125
"Wave_812",1.13383443475865
"Wave_813",1.13696458757504
"Wave_814",1.14051767200956
"Wave_815",1.13606171463989
"Wave_816",1.13904829529123
"Wave_817",1.13763374061617
"Wave_818",1.13889248668072
"Wave_819",1.13451845164078
"Wave_820",1.12933544916729
"Wave_821",1.12613050700925
"Wave_822",1.12175922201119
"Wave_823",1.12234348057633
"Wave_824",1.12254491253007
"Wave_825",1.1243677959811
"Wave_826",1.12801826012531
"Wave_827",1.12619836387274
"Wave_828",1.13112527447708
"Wave_829",1.12119678259362
"Wave_830",1.11670112997572
"Wave_831",1.11121587640956
"Wave_832",1.10399850425718
"Wave_833",1.10635073468454
"Wave_834",1.11325897629362
"Wave_835",1.11168839977163
"Wave_836",1.10790629084956
"Wave_837",1.11356910593468
"Wave_838",1.11956463399836
"Wave_839",1.11659904992124
"Wave_840",1.11309387244872
"Wave_841",1.10402354292667
"Wave_842",1.09561691532222
"Wave_843",1.10132034428445
"Wave_844",1.09724546848087
"Wave_845",1.0952077840701
"Wave_846",1.09214076977912
"Wave_847",1.09149632504694
"Wave_848",1.08605074937696
"Wave_849",1.10382980649725
"Wave_850",1.09933445273573
"Wave_851",1.095265471256
"Wave_852",1.08841565357469
"Wave_853",1.08614106308892
"Wave_854",1.09941526795224
"Wave_855",1.0983263634771
"Wave_856",1.09153874773494
"Wave_857",1.08101024317374
"Wave_858",1.07315676975811
